"pop","longpop","Region","PopName","Latitude","Longitude","source","N_usat","N_matK","N_ITS"
"Bir","Birch","America","Birch Bay WA",48.90194444,-122.7738889,"PNW",31,11,12
"Coo","Coos","America","Coos Bay OR",43.31472222,-124.3191667,"PNW",32,12,12
"Hum","Humb","America","Humboldt Bay CA",40.85805556,-124.1575,"Cali",6,6,3
"Net","Neta","America","Netarts Bay OR",45.41027778,-123.9352778,"PNW",32,11,12
"Pad","Padi","America","Padilla WA",48.48055556,-122.4769444,"PNW",31,12,10
"Wil","Willa","America","Willapa Bay WA",46.72777778,-123.9516667,"PNW",31,12,12
"Yaq","Yaqu","America","Yaquina Bay OR",44.58083333,-123.9947222,"PNW",32,12,12
"Ago","Ago","Japan","Ago Bay Mie",34.30083333,136.8472222,"tok",32,13,13
"Hir","Hir","Japan","Jigozen Hiroshima bay Japan ",34.33388889,132.3208333,"sea",9,7,0
"Kat","Kat","Japan","Katsura-jima Island Miyagi",38.33555556,141.0872222,"hon",31,14,16
"Not","Not","Japan","Notoro Lake Abashiri Hokaido",44.09972222,143.87,"hok",32,11,12
"Onn","Onn","Japan","Onneto Lake Nemuro Hokaido",43.26305556,145.4911111,"hok",31,12,12
"Sar","Sar","Japan","Saroma Lake Abashiri Hokaido",44.06888889,144.1938889,"hok",32,4,0
"Tok","Tok","Japan","Tokyo Bay Tokyo",35.31277778,139.8136111,"tok",31,11,12
