"species","type","chosen","post","oob","prior","plotpost","BF","lx"
"---Palaemon_macrodactylus","untrans","g1",0.964,0.000280007466865783,"jim_priors3",0.036,0.037344398340249,1.08979396444083
"---Hemigrapsus_sanguineus","untrans","g1",0.954783333333333,0.00711491997383632,"jim_priors3",0.045216666666667,0.0473580393457507,1.11521355467687
"---Didemnum_vexillum","untrans","g1",0.939123333333333,0.0413976199370297,"flat_priors",0.060876666666667,0.0648228667161222,1.16097499682222
"---Palaemon_macrodactylus","untrans","g1",0.919743333333333,0.00191621866184063,"jim_priors1",0.080256666666667,0.0872598514803047,1.22253091847776
"---Palaemon_macrodactylus","untrans","g1",0.915956666666667,0.00786666666666667,"flat_priors",0.084043333333333,0.0917547045529807,1.2352495505816
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.90721,0.00898582798938766,"flat_priors",0.09279,0.102280618599883,1.26555381866708
"---Didemnum_vexillum","untrans","g1",0.88041,0.019065355448967,"jim_priors2",0.11959,0.135834440771913,1.36720752730076
"---Didemnum_vexillum","untrans","g1",0.87876,0.00614308035416194,"jim_priors3",0.12124,0.137967135509127,1.37393800067419
"---Palaemon_macrodactylus","untrans","g1",0.86619,0.00128047804513685,"jim_priors2",0.13381,0.154481118461308,1.42718777990129
"---Cercaria_batillaria_HL1","untrans","g1",0.854773333333333,0.0522683757047123,"flat_priors",0.145226666666667,0.169900792412804,1.47877054824225
"---Acanthogobius_flavimanus","untrans","g1",0.85254,0.0100715399064786,"jim_priors3",0.14746,0.172965491355244,1.48924273913512
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.8485,0.00881820119352089,"jim_priors2",0.1515,0.178550383028874,1.50851760534416
"---Cercaria_batillaria_HL1","untrans","g1",0.84443,0.0522049805364475,"jim_priors1",0.15557,0.184230782894971,1.52837801836381
"---Undaria_pinnatifida","untrans","g1",0.838386666666667,0.0255321421894613,"jim_priors2",0.161613333333333,0.192767060544856,1.55871624098731
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.829236666666667,0.00937642117653353,"jim_priors1",0.170763333333333,0.205928343737815,1.60667613818939
"---Mutimo_cylindricus","untrans","g1",0.824506666666667,0.0100110789273463,"jim_priors3",0.175493333333333,0.212846469808208,1.6324747393938
"---Undaria_pinnatifida","untrans","g1",0.79382,0.0258550678329406,"flat_priors",0.20618,0.259731425260135,1.81857587402395
"---Cercaria_batillaria_HL1","untrans","g1",0.78926,0.0525437753576767,"jim_priors2",0.21074,0.267009603932798,1.8493095139207
"---Hemigrapsus_sanguineus","untrans","g1",0.779276666666667,0.0256927288509047,"jim_priors2",0.220723333333333,0.283241296415907,1.91973505983232
"---Hemigrapsus_takanoi","untrans","g1",0.774363333333333,0.00586002530465472,"jim_priors3",0.225636666666667,0.291383459099734,1.9560657963607
"---Undaria_pinnatifida","untrans","g1",0.769046666666667,0.0257813433926176,"jim_priors3",0.230953333333333,0.300311207815737,1.99669259737793
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.749673333333333,0.00869959704320444,"jim_priors3",0.250326666666667,0.33391432712915,2.15731879489
"---Cercaria_batillaria_HL6","untrans","g1",0.740073333333333,0.0496767471681983,"flat_priors",0.259926666666667,0.351217446919675,2.24500569441033
"---Mutimo_cylindricus","untrans","g1",0.69048,0.0512139098848856,"jim_priors2",0.30952,0.448267871625536,2.80716455535512
"---Gracilaria_vermiculophylla_SNP","untrans","g1",0.657533333333333,0.333506867966842,"jim_priors2",0.342466666666667,0.520835445604786,3.3176872639886
"---Acanthogobius_flavimanus","untrans","g1",0.651216666666667,0.0516041824036894,"jim_priors2",0.348783333333333,0.535587234151459,3.4323157575957
"---Ulva_pertusa","untrans","g1",0.630876666666667,0.01222350014711,"jim_priors2",0.369123333333333,0.585095871881984,3.84676691270616
"---Ulva_pertusa","untrans","g1",0.624408205128205,0.0115269939303589,"flat_priors",0.375591794871795,0.601516430737289,3.99499675361809
"---Acanthogobius_flavimanus","untrans","g1",0.610586666666666,0.0983650424125659,"jim_priors1",0.389413333333334,0.637769140062019,4.3427931092972
"---Ulva_pertusa","untrans","g1",0.61049,0.011755611238471,"jim_priors1",0.38951,0.63802846893479,4.34538708182314
"---Mutimo_cylindricus","untrans","g1",0.606103333333333,0.0994969256567915,"jim_priors1",0.393896666666667,0.649883683200335,4.4656397320366
"---Hemigrapsus_sanguineus","untrans","g1",0.599043333333333,0.0334592408047363,"jim_priors1",0.400956666666667,0.669328317929143,4.67012298841203
"---Acanthogobius_flavimanus","untrans","g2",0.505976666666667,0.322467676001012,"flat_priors",0.505976666666667,1.02419588818342,10.5729429343589
"---Mutimo_cylindricus","untrans","g2",0.516173333333334,0.319437964086225,"flat_priors",0.516173333333334,1.06685589880674,11.6642252771589
"---Ulva_pertusa","untrans","g2",0.623498888888889,0.0115103499786598,"jim_priors3",0.623498888888889,1.65603465830114,45.293372424279
"---Gracilaria_vermiculophylla_SNP","untrans","g2",0.673243333333333,0.336875976340841,"jim_priors3",0.673243333333333,2.06038132351291,114.916217733962
"---Gracilaria_vermiculophylla_SNP","untrans","g2",0.685396666666666,0.337590050201739,"jim_priors1",0.685396666666666,2.17860586346828,150.871032841374
"---Hemigrapsus_sanguineus","untrans","g2",0.72647,0.0392925213589774,"flat_priors",0.72647,2.65590611633093,452.799685288868
"---Batillaria_attramentaria","untrans","g2",0.76551,0.0493142690399767,"flat_priors",0.76551,3.2645741822679,1838.96804297972
"---Cercaria_batillaria_HL6","untrans","g2",0.770343333333333,0.0107091671532459,"jim_priors1",0.770343333333333,3.35432602290375,2261.13255524159
"---Gracilaria_vermiculophylla_mtDNA","untrans","g2",0.774838333333333,0.0113186871926449,"jim_priors3",0.774838333333333,3.44125332168737,2762.18855647704
"---Undaria_pinnatifida","untrans","g2",0.795453333333333,0.0258957502700252,"jim_priors1",0.795453333333333,3.88885991786715,7742.1203463409
"---Cercaria_batillaria_HL1","untrans","g2",0.81241,0.0522653678379319,"jim_priors3",0.81241,4.33077456154379,21417.7853406215
"---Cercaria_batillaria_HL6","untrans","g2",0.814093333333333,0.00516837169650469,"jim_priors2",0.814093333333333,4.3790432475077,23935.540972079
"---Gracilaria_vermiculophylla_mtDNA","untrans","g2",0.814813333333333,0.0113290226046064,"jim_priors1",0.814813333333333,4.39995680034559,25116.3658438155
"---Gracilaria_vermiculophylla_mtDNA","untrans","g2",0.829446666666667,0.0107713226864319,"flat_priors",0.829446666666667,4.86326857678929,72990.8761550076
"---Hemigrapsus_takanoi","untrans","g2",0.843763333333333,0.0223323739473404,"jim_priors2",0.843763333333333,5.40054617994067,251504.743192731
"---Hemigrapsus_takanoi","untrans","g2",0.84781,0.0313040700614901,"jim_priors1",0.84781,5.57073395098232,372163.648769533
"---Gracilaria_vermiculophylla_mtDNA","untrans","g2",0.858373333333333,0.010586102074556,"jim_priors2",0.858373333333333,6.06081717190734,1150316.03013124
"---Hemigrapsus_takanoi","untrans","g2",0.85903,0.0391117840020187,"flat_priors",0.85903,6.09370788110945,1240817.41755259
"---Didemnum_vexillum","untrans","g2",0.885823333333333,0.0303946509676474,"jim_priors1",0.885823333333333,7.75835693223948,57326698.656259
"---Haminoea_japonica","untrans","g2",0.922433333333333,0.013726115496027,"flat_priors",0.922433333333333,11.8921357971637,780073989457.347
"---Batillaria_attramentaria","untrans","g2",0.92274,0.01071191833488,"jim_priors1",0.92274,11.9433083096039,877623633049.323
"---Gracilaria_vermiculophylla_SNP","untrans","g2",0.925453333333333,0.336418072945019,"flat_priors",0.925453333333333,12.4144160257556,2596665607196.21
"---Batillaria_attramentaria","untrans","g2",0.931146666666667,0.00551099543184957,"jim_priors2",0.931146666666667,13.5236250968242,33390667182390.8
"---Haminoea_japonica","untrans","g2",0.95434,0.00189045983438507,"jim_priors2",0.95434,20.9010074463425,7.96173001353012e+20
"---Batillaria_attramentaria","untrans","g2",0.958533333333333,0.00122056384742952,"jim_priors3",0.958533333333333,23.1157556270095,1.30543612609142e+23
"---Polydora_hoplura","untrans","g2",0.95911,0.000267791390506795,"jim_priors3",0.95911,23.4558571777941,2.85665094984821e+23
"---Haminoea_japonica","untrans","g2",0.96823,0.00323127662131307,"jim_priors1",0.96823,30.4762354422411,2.99388726024564e+30
"---Haminoea_japonica","untrans","g2",0.97486,0.000426183658520344,"jim_priors3",0.97486,38.7772474144788,5.98752603017455e+38
"---Cercaria_batillaria_HL6","untrans","g2",0.989766666666667,0.000890507456338552,"jim_priors3",0.989766666666667,96.7198697068437,5.24650035812902e+96
"---Polydora_hoplura","untrans","g2",0.993056666666667,0.00162303107705407,"jim_priors2",0.993056666666667,143.023043686997,1.0544929656979e+143
"---Polydora_hoplura","untrans","g2",0.996033333333333,0.00270392668762321,"jim_priors1",0.996033333333333,251.100840336113,1.26136372197466e+251
"---Polydora_hoplura","untrans","g2",0.998233333333333,0.011641520981347,"flat_priors",0.998233333333333,565.037735848941,Inf
