"species","type","chosen","post","oob","prior","plotpost","BF","lx"
"---Cercaria_batillaria_HL1","untrans","g1",0.94002,0.0526582616236409,"flat_priors",0.05998,0.0638071530392971,1.15826291930844
"---Palaemon_macrodactylus","untrans","g1",0.93993,0.000265971594233736,"jim_priors3",0.06007,0.0639090145010798,1.15853461557941
"---Didemnum_vexillum","untrans","g1",0.91982,0.0192472084201528,"jim_priors2",0.08018,0.0871692287621492,1.22227584381921
"---Didemnum_vexillum","untrans","g1",0.915106666666667,0.00581745235707121,"jim_priors3",0.084893333333333,0.0927687846954086,1.23813723553875
"---Didemnum_vexillum","untrans","g1",0.913393333333333,0.0407915454618238,"flat_priors",0.0866066666666671,0.0948185885598761,1.2439948675648
"---Hemigrapsus_sanguineus","untrans","g1",0.89942,0.00703037120359955,"jim_priors3",0.10058,0.111827622245447,1.29368225835299
"---Palaemon_macrodactylus","untrans","g1",0.896046666666667,0.00828311253882709,"flat_priors",0.103953333333333,0.11601330287857,1.306210898078
"---Acanthogobius_flavimanus","untrans","g1",0.877073333333333,0.010394566537235,"jim_priors3",0.122926666666667,0.140155517212548,1.38087865714758
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.87552,0.0088811609710426,"jim_priors3",0.12448,0.142178362573099,1.38732547952809
"---Mutimo_cylindricus","untrans","g1",0.873066666666667,0.00984846460165166,"jim_priors3",0.126933333333333,0.145387904703726,1.39761613152035
"---Didemnum_vexillum","untrans","g1",0.849053333333333,0.0299308466611486,"jim_priors1",0.150946666666667,0.177782314420767,1.50585208433837
"---Palaemon_macrodactylus","untrans","g1",0.842196666666667,0.00274115476158639,"jim_priors1",0.157803333333333,0.1873711207596,1.53946961231913
"---Palaemon_macrodactylus","untrans","g1",0.82967,0.00128797535585298,"jim_priors2",0.17033,0.205298492171586,1.60434768582063
"---Undaria_pinnatifida","untrans","g1",0.826883333333333,0.0252578629814446,"jim_priors1",0.173116666666667,0.209360449882088,1.61942354736644
"---Hemigrapsus_sanguineus","untrans","g1",0.808136666666667,0.0355852432569364,"jim_priors1",0.191863333333333,0.237414463725195,1.72748571082712
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.79497,0.00954058417730809,"jim_priors2",0.20503,0.257909103488182,1.81096102432746
"---Undaria_pinnatifida","untrans","g1",0.793363333333333,0.0261328218652601,"jim_priors2",0.206636666666667,0.260456537357832,1.82161476326365
"---Hemigrapsus_sanguineus","untrans","g1",0.78963,0.0264863341786419,"jim_priors2",0.21037,0.266415916315236,1.84678320489509
"---Cercaria_batillaria_HL1","untrans","g1",0.785216666666667,0.052729337876662,"jim_priors2",0.214783333333333,0.273533844161908,1.87730070895945
"---Undaria_pinnatifida","untrans","g1",0.785016666666667,0.0249296821100674,"flat_priors",0.214983333333333,0.273858304494596,1.878703759716
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.773863333333333,0.0089065479126945,"flat_priors",0.226136666666667,0.292217833467581,1.95982743745064
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.746903333333333,0.00875605471868846,"jim_priors1",0.253096666666667,0.338861343056442,2.18203314418329
"---Hemigrapsus_takanoi","untrans","g1",0.745096666666667,0.0058161975111466,"jim_priors3",0.254903333333333,0.342107735461617,2.19840516366509
"---Cercaria_batillaria_HL1","untrans","g1",0.710736666666667,0.0527365300506494,"jim_priors1",0.289263333333333,0.406990868629262,2.5526476307453
"---Mutimo_cylindricus","untrans","g1",0.710406666666667,0.0525194984960204,"jim_priors2",0.289593333333333,0.407644447781083,2.55649205738762
"---Acanthogobius_flavimanus","untrans","g1",0.677473333333334,0.0496069612566563,"jim_priors2",0.322526666666666,0.476072858956317,2.99276667284383
"---Ulva_pertusa","untrans","g1",0.657583333333333,0.0112160251793764,"jim_priors3",0.342416666666667,0.520719807375492,3.31680399140689
"---Mutimo_cylindricus","untrans","g1",0.644076666666666,0.0977770128030293,"jim_priors1",0.355923333333334,0.552610196508699,3.56952309744206
"---Acanthogobius_flavimanus","untrans","g1",0.631966666666666,0.101061993893535,"jim_priors1",0.368033333333334,0.582361938920831,3.82262714024233
"---Ulva_pertusa","untrans","g1",0.62202,0.0116817456093667,"jim_priors2",0.37798,0.607665348381081,4.05196185596793
"---Ulva_pertusa","untrans","g1",0.617176666666666,0.0109256043809269,"flat_priors",0.382823333333334,0.620281604942941,4.17139777297206
"---Acanthogobius_flavimanus","untrans","g1",0.499996666666666,0.325917314733157,"flat_priors",0.500003333333334,1.00001333342223,10.0003070181055
"---Ulva_pertusa","untrans","g2",0.560796666666667,0.010910544195031,"jim_priors1",0.560796666666667,1.27684975068495,18.9168905321175
"---Mutimo_cylindricus","untrans","g2",0.59096,0.321021893917171,"flat_priors",0.59096,1.44474867983571,27.8450934555203
"---Gracilaria_vermiculophylla_SNP","untrans","g2",0.640366666666666,0.334916991405541,"jim_priors3",0.640366666666666,1.78060988043377,60.3406355883289
