"pop","country","long","lat","source"
"Otaru_Hokkaido_Pref","1_Asia",141.023689,43.191469,"hok"
"Miyagi_Prefa","1_Asia",141.083333,38.35,"hon"
"Fukushima_Prefa","1_Asia",140.983333,37.083333,"hon"
"Urayasu_Chiba_Pref","1_Asia",139.9,35.633333,"tok"
"Tokyo_Prefa","1_Asia",139.716667,35.533333,"tok"
"Yokohama_Kanagawa_Pref","1_Asia",139.633333,35.45,"tok"
"Shimizu_Shizuoka_Pref","1_Asia",138.483333,35,"tok"
"Hamamatsu_Shizuoka_Pref","1_Asia",137.616667,34.683333,"tok"
"Handa_Aichi_Pref","1_Asia",136.95,34.9,"tok"
"Yokkaichi_Mie_Pref","1_Asia",136.633333,34.933333,"tok"
"Osaka_Osaka_Pref","1_Asia",135.466667,34.7,"sea"
"Komatsushima_Tokushima_Pref","1_Asia",134.6,34,"sea"
"Aki_Hiroshima_Pref","1_Asia",132.516667,34.366667,"sea"
"Niigata_Niigata_Pref","1_Asia",139.133333,37.95,"nonSource"
"Mikata_Fukui_Pref","1_Asia",135.9,35.6,"nonSource"
"Matsue_Shimane_Pref","1_Asia",133.05,35.466667,"nonSource"
"Shimonoseki_Yamaguchi_Pref","1_Asia",130.916667,34.016667,"sea"
"Kitakyushu_Fukuoka_Pref","1_Asia",130.866667,33.9,"sea"
"Fukuoka_Fukuoka_Pref","1_Asia",130.4,33.583333,"sea"
"Seikai_Nagasaki_Pref","1_Asia",129.65,32.916667,"kag"
"Busan_Korea","1_Asia",128.983333,35.116667,"nonSource"
"Northern_California_SF_Bay","2_wNA",-122.416667,37.833333,"Cali"
"Southern_California_LA","2_wNA",-118.133333,33.533333,"Cali"
