pop,vars.lat,vars.lon,source,reg
Ariake,32.5,130.5,kag,1_Asia
Bolinus,37.5,-122.5,Cali,Cali
Boundary,49.5,-123.5,PNW,PNW
Elkhorn,36.5,-121.5,Cali,Cali
Ibo,34.5,134.5,sea,1_Asia
Kasuga,34.5,134.5,sea,1_Asia
Kumode,34.5,136.5,tok,1_Asia
Mangoku,38.5,141.5,hon,1_Asia
Matsukawa,37.5,140.5,hon,1_Asia
Matsushima,38.5,141.5,hon,1_Asia
Nagazura,38.5,141.5,hon,1_Asia
Padila,48.5,-122.5,PNW,PNW
Tanabe,33.5,135.5,sea,1_Asia
Toga,39.5,139.5,nonSource,1_Asia
Torinoumi,38.5,140.5,hon,1_Asia
Yamada,39.5,141.5,hon,1_Asia
Hiroshima,34.343409,132.326668,sea,1_Asia
