gridIDs,pop,vars.lat,vars.lon,vars.coastline,vars.grid.for.model,vars.reg,vars.gridID,vars.plotted.Var1,vars.plotted.Var2
34282,AKK,43.5, 144.5,1,1,1_Asia,34282, 6, 8
 1417,ALA,33.5,-118.5,1,1,2_wNA, 1417, 1,11
 1417,ALB,33.5,-118.5,1,1,2_wNA, 1417, 1,11
33665,BAN,35.5, 139.5,1,1,1_Asia,33665,20, 6
16030,BOU,45.5,  -1.5,1,1,3_Eur,16030, 1,18
16029,ESN,46.5,  -1.5,1,1,3_Eur,16029,22,17
15282,ESP,43.5,  -7.5,1,1,3_Eur,15282,10,14
15157,GAN,43.5,  -8.5,1,1,3_Eur,15157,16,13
32291,GOS,34.5, 128.5,1,1,1_Asia,32291,16, 3
 1543,GRC,32.5,-117.5,1,1,2_wNA, 1543, 6,11
32166,GWA,34.5, 127.5,1,1,1_Asia,32166,11, 3
32166,GWG,34.5, 127.5,1,1,1_Asia,32166,11, 3
32791,HIR,34.5, 132.5,1,1,1_Asia,32791, 3, 5
  778,HOD,47.5,-123.5,1,1,2_wNA,  778, 1,10
33789,IWA,36.5, 140.5,1,1,1_Asia,33789, 9, 7
33541,IZU,34.5, 138.5,1,1,1_Asia,33541,13, 6
33665,KIS,35.5, 139.5,1,1,1_Asia,33665,20, 6
32291,KOJ,34.5, 128.5,1,1,1_Asia,32291,16, 3
  777,LDY,48.5,-123.5,1,1,2_wNA,  777,22, 9
16031,LHE,44.5,  -1.5,1,1,3_Eur,16031, 2,18
15270,LOS,55.5,  -7.5,1,1,3_Eur,15270, 6,14
33165,MAI,35.5, 135.5,1,1,1_Asia,33165,20, 5
33788,MAL,37.5, 140.5,1,1,1_Asia,33788, 8, 7
33912,MAT,38.5, 141.5,1,1,1_Asia,33912,19, 7
33912,MON,38.5, 141.5,1,1,1_Asia,33912,19, 7
 1542,NEW,33.5,-117.5,1,1,2_wNA, 1542, 5,11
33541,OHK,34.5, 138.5,1,1,1_Asia,33541,13, 6
32916,OKA,34.5, 133.5,1,1,1_Asia,32916, 9, 5
32667,OTA,33.5, 131.5,1,1,1_Asia,32667,17, 4
 1543,PES,32.5,-117.5,1,1,2_wNA, 1543, 6,11
  903,QB2,47.5,-122.5,1,1,2_wNA,  903, 9,10
  903,QUI,47.5,-122.5,1,1,2_wNA,  903, 9,10
33789,SAM,36.5, 140.5,1,1,1_Asia,33789, 9, 7
34156,SAR,44.5, 143.5,1,1,1_Asia,34156, 2, 8
17642,SVA,58.5,  11.5,1,1,3_Eur,17642,13,20
 1543,TJE,32.5,-117.5,1,1,2_wNA, 1543, 6,11
17267,TRO,58.5,   8.5,1,1,3_Eur,17267,14,19
17270,WAD,55.5,   8.5,1,1,3_Eur,17270,17,19
  654,WLB,46.5,-124.5,1,1,2_wNA,  654,12, 9
32544,YOJ,31.5, 130.5,1,1,1_Asia,32544,12, 4
33041,YUR,34.5, 134.5,1,1,1_Asia,33041,15, 5
