pop,country,long,lat,source
pop1,2_wNA,-135.3715,57.0455,PNW
pop2,2_wNA,-124.051667,49.713333,PNW
pop3,2_wNA,-124.741667,49.46,PNW
pop4,2_wNA,-125.875,49.203333,PNW
pop5,2_wNA,-125.866667,49.2,PNW
pop6,2_wNA,-122.825,47.818333,PNW
pop7,2_wNA,-122.385,47.815,PNW
pop8,2_wNA,-122.64,47.723333,PNW
pop9,2_wNA,-122.521667,47.621667,PNW
pop10,2_wNA,-122.643333,47.578333,PNW
pop11,2_wNA,-122.33,47.396667,PNW
pop12,2_wNA,-122.755,47.21,PNW
pop13,2_wNA,-122.98,47.14,PNW
pop14,2_wNA,-124.211667,43.665,PNW
pop15,2_wNA,-123.058333,38.33,Cali
pop16,2_wNA,-122.485,37.863333,Cali
pop17,2_wNA,-117.261667,32.788333,Cali
pop18,3_Eur,-1.148333,44.658333,EU
pop19,3_Eur,-4.425,48.39,EU
pop20,3_Eur,-3.915,47.87,EU
pop21,3_Eur,-4.596667,48.28,EU
pop22,3_Eur,-6.15,53.433333,EU
pop23,3_Eur,-4.641667,53.32,EU
pop24,3_Eur,0.093333,49.488333,EU
pop25,3_Eur,-1.153333,46.158333,EU
pop26,3_Eur,3.831667,51.74,EU
pop27,3_Eur,-2.105,47.115,EU
pop28,3_Eur,-3.441667,48.805,EU
pop29,1_Asia,138.936667,34.66,tok
pop30,1_Asia,140.86,40.891667,hon
pop31,1_Asia,139.611667,35.158333,tok
pop32,1_Asia,136.6,34.9,tok
pop33,1_Asia,141.91833,39.353333,hon
pop34,1_Asia,140.948117,41.935917,hok
pop35,1_Asia,136.875917,34.484633,tok
pop36,1_Asia,141.486283,38.642567,hon
