"gridIDs","pop","vars.lat","vars.lon","vars.coastline","vars.grid.for.model","vars.reg","vars.gridID","vars.plotted.Var1","vars.plotted.Var2","source","reg"
15157,"gal",43.5,-8.5,1,1,"3_Eur",15157,16,13,"EU","EU"
15396,"car",54.5,-6.5,1,1,"3_Eur",15396,18,14,"EU","EU"
16027,"fdm",48.5,-1.5,1,1,"3_Eur",16027,20,17,"EU","EU"
15160,"est",40.5,-8.5,1,1,"3_Eur",15160,19,13,"EU","EU"
15163,"far",37.5,-8.5,1,1,"3_Eur",15163,22,13,"EU","EU"
15160,"gaf",40.5,-8.5,1,1,"3_Eur",15160,19,13,"EU","EU"
17521,"dhd",54.5,10.5,1,1,"3_Eur",17521,10,20,"EU","EU"
17521,"hei",54.5,10.5,1,1,"3_Eur",17521,10,20,"EU","EU"
16025,"bom",50.5,-1.5,1,1,"3_Eur",16025,18,17,"EU","EU"
16029,"frl",46.5,-1.5,1,1,"3_Eur",16029,22,17,"EU","EU"
17270,"man",55.5,8.5,1,1,"3_Eur",17270,17,19,"EU","EU"
16030,"fme",45.5,-1.5,1,1,"3_Eur",16030,1,18,"EU","EU"
17394,"nib",56.5,9.5,1,1,"3_Eur",17394,1,20,"EU","EU"
17271,"nor",54.5,8.5,1,1,"3_Eur",17271,18,19,"EU","EU"
15043,"dia",32.5,-9.5,1,1,"3_Eur",15043,8,13,"EU","EU"
15653,"fpa",47.5,-4.5,1,1,"3_Eur",15653,7,16,"EU","EU"
15777,"pol",48.5,-3.5,1,1,"3_Eur",15777,19,16,"EU","EU"
32039,"dae",36.5,126.5,1,1,"1_Asia",32039,2,3,"nonSource","Native C"
33665,"ftr",35.5,139.5,1,1,"1_Asia",33665,20,6,"tok","Native C"
32040,"gye",35.5,126.5,1,1,"1_Asia",32040,3,3,"nonSource","Native C"
32544,"hik",31.5,130.5,1,1,"1_Asia",32544,12,4,"kag","Native C"
32544,"hir",31.5,130.5,1,1,"1_Asia",32544,12,4,"kag","Native C"
32791,"ikn",34.5,132.5,1,1,"1_Asia",32791,3,5,"sea","Native C"
32791,"ikt",34.5,132.5,1,1,"1_Asia",32791,3,5,"sea","Native C"
32917,"isu",33.5,133.5,1,1,"1_Asia",32917,10,5,"sea","Native C"
32791,"jig",34.5,132.5,1,1,"1_Asia",32791,3,5,"sea","Native C"
32041,"jin",34.5,126.5,1,1,"1_Asia",32041,4,3,"nonSource","Native C"
32669,"kae",31.5,131.5,1,1,"1_Asia",32669,19,4,"kag","Native C"
32414,"odo",36.5,129.5,1,1,"1_Asia",32414,21,3,"nonSource","Native C"
32543,"ori",32.5,130.5,1,1,"1_Asia",32543,11,4,"kag","Native C"
31289,"qin",36.5,120.5,1,1,"1_Asia",31289,16,1,"nonSource","Native C"
31538,"ron",37.5,122.5,1,1,"1_Asia",31538,11,2,"nonSource","Native C"
32542,"shk",33.5,130.5,1,1,"1_Asia",32542,10,4,"kag","Native C"
32544,"shb",31.5,130.5,1,1,"1_Asia",32544,12,4,"kag","Native C"
33041,"shm",34.5,134.5,1,1,"1_Asia",33041,15,5,"sea","Native C"
32543,"tan",32.5,130.5,1,1,"1_Asia",32543,11,4,"kag","Native C"
33665,"ten",35.5,139.5,1,1,"1_Asia",33665,20,6,"tok","Native C"
33041,"tsu",34.5,134.5,1,1,"1_Asia",33041,15,5,"sea","Native C"
32542,"waj",33.5,130.5,1,1,"1_Asia",32542,10,4,"kag","Native C"
33790,"yos",35.5,140.5,1,1,"1_Asia",33790,10,7,"tok","Native C"
33041,"yur",34.5,134.5,1,1,"1_Asia",33041,15,5,"sea","Native C"
34282,"akk",43.5,144.5,1,1,"1_Asia",34282,6,8,"hok","Native T"
32413,"don",37.5,129.5,1,1,"1_Asia",32413,20,3,"nonSource","Native T"
34281,"fut",44.5,144.5,1,1,"1_Asia",34281,5,8,"hok","Native T"
33165,"hay",35.5,135.5,1,1,"1_Asia",33165,20,5,"nonSource","Native T"
33912,"hit",38.5,141.5,1,1,"1_Asia",33912,19,7,"hon","Native T"
33165,"jon",35.5,135.5,1,1,"1_Asia",33165,20,5,"nonSource","Native T"
34156,"sar",44.5,143.5,1,1,"1_Asia",34156,2,8,"hok","Native T"
33912,"mng",38.5,141.5,1,1,"1_Asia",33912,19,7,"hon","Native T"
33912,"mou",38.5,141.5,1,1,"1_Asia",33912,19,7,"hon","Native T"
33790,"nag",35.5,140.5,1,1,"1_Asia",33790,10,7,"tok","Native T"
33784,"shr",41.5,140.5,1,1,"1_Asia",33784,4,7,"hok","Native T"
33912,"sou",38.5,141.5,1,1,"1_Asia",33912,19,7,"hon","Native T"
33783,"usu",42.5,140.5,1,1,"1_Asia",33783,3,7,"hok","Native T"
527,"bam",48.5,-125.5,1,1,"2_wNA",527,7,9,"PNW","PNW"
787,"bob",38.5,-123.5,1,1,"2_wNA",787,5,10,"Cali","Cali"
903,"eld",47.5,-122.5,1,1,"2_wNA",903,9,10,"PNW","PNW"
1039,"elk",36.5,-121.5,1,1,"2_wNA",1039,15,10,"Cali","Cali"
1669,"ens",31.5,-116.5,1,1,"2_wNA",1669,8,11,"Cali","Cali"
903,"ptw",47.5,-122.5,1,1,"2_wNA",903,9,10,"PNW","PNW"
901,"moo",49.5,-122.5,1,1,"2_wNA",901,7,10,"PNW","PNW"
912,"tmb",38.5,-122.5,1,1,"2_wNA",912,10,10,"Cali","Cali"
