indID,popID,country,lonInd,latInd,hapInd,notes
ind_1,akk,1_Asia,144.9498,43.04774,6,TableS2b_KH2017
ind_2,akk,1_Asia,144.9498,43.04774,6,TableS2b_KH2017
ind_3,akk,1_Asia,144.9498,43.04774,6,TableS2b_KH2017
ind_4,akk,1_Asia,144.9498,43.04774,6,TableS2b_KH2017
ind_5,akk,1_Asia,144.9498,43.04774,6,TableS2b_KH2017
ind_6,akk,1_Asia,144.9498,43.04774,6,TableS2b_KH2017
ind_7,akk,1_Asia,144.9498,43.04774,6,TableS2b_KH2017
ind_8,akk,1_Asia,144.9498,43.04774,6,TableS2b_KH2017
ind_9,akk,1_Asia,144.9498,43.04774,6,TableS2b_KH2017
ind_10,akk,1_Asia,144.9498,43.04774,6,TableS2b_KH2017
ind_11,akk,1_Asia,144.9498,43.04774,26,TableS2b_KH2017
ind_12,akk,1_Asia,144.9498,43.04774,26,TableS2b_KH2017
ind_13,akk,1_Asia,144.9498,43.04774,26,TableS2b_KH2017
ind_14,fut,1_Asia,144.2579,44.04927,6,TableS2b_KH2017
ind_15,fut,1_Asia,144.2579,44.04927,6,TableS2b_KH2017
ind_16,fut,1_Asia,144.2579,44.04927,6,TableS2b_KH2017
ind_17,fut,1_Asia,144.2579,44.04927,6,TableS2b_KH2017
ind_18,fut,1_Asia,144.2579,44.04927,6,TableS2b_KH2017
ind_19,fut,1_Asia,144.2579,44.04927,6,TableS2b_KH2017
ind_20,fut,1_Asia,144.2579,44.04927,6,TableS2b_KH2017
ind_21,hik,1_Asia,130.671644,31.7321,27,TableS2b_KH2017
ind_22,hik,1_Asia,130.671644,31.7321,27,TableS2b_KH2017
ind_23,hik,1_Asia,130.671644,31.7321,27,TableS2b_KH2017
ind_24,hik,1_Asia,130.671644,31.7321,27,TableS2b_KH2017
ind_25,hik,1_Asia,130.671644,31.7321,27,TableS2b_KH2017
ind_26,hik,1_Asia,130.671644,31.7321,27,TableS2b_KH2017
ind_27,hik,1_Asia,130.671644,31.7321,27,TableS2b_KH2017
ind_28,hit,1_Asia,141.0515,38.35053,6,TableS2b_KH2017
ind_29,hit,1_Asia,141.0515,38.35053,6,TableS2b_KH2017
ind_30,hit,1_Asia,141.0515,38.35053,6,TableS2b_KH2017
ind_31,hit,1_Asia,141.0515,38.35053,6,TableS2b_KH2017
ind_32,hit,1_Asia,141.0515,38.35053,6,TableS2b_KH2017
ind_33,hit,1_Asia,141.0515,38.35053,6,TableS2b_KH2017
ind_34,hit,1_Asia,141.0515,38.35053,28,TableS2b_KH2017
ind_35,mng,1_Asia,141.413173,38.418195,6,TableS2b_KH2017
ind_36,mng,1_Asia,141.413173,38.418195,6,TableS2b_KH2017
ind_37,mng,1_Asia,141.413173,38.418195,6,TableS2b_KH2017
ind_38,mng,1_Asia,141.413173,38.418195,6,TableS2b_KH2017
ind_39,mng,1_Asia,141.413173,38.418195,6,TableS2b_KH2017
ind_40,mng,1_Asia,141.413173,38.418195,6,TableS2b_KH2017
ind_41,mng,1_Asia,141.413173,38.418195,6,TableS2b_KH2017
ind_42,mng,1_Asia,141.413173,38.418195,18,TableS2b_KH2017
ind_43,mou,1_Asia,141.622668,38.901194,6,TableS2b_KH2017
ind_44,mou,1_Asia,141.622668,38.901194,6,TableS2b_KH2017
ind_45,mou,1_Asia,141.622668,38.901194,6,TableS2b_KH2017
ind_46,mou,1_Asia,141.622668,38.901194,6,TableS2b_KH2017
ind_47,mou,1_Asia,141.622668,38.901194,6,TableS2b_KH2017
ind_48,mou,1_Asia,141.622668,38.901194,6,TableS2b_KH2017
ind_49,mou,1_Asia,141.622668,38.901194,6,TableS2b_KH2017
ind_50,mou,1_Asia,141.622668,38.901194,6,TableS2b_KH2017
ind_51,mou,1_Asia,141.622668,38.901194,6,TableS2b_KH2017
ind_52,mou,1_Asia,141.622668,38.901194,6,TableS2b_KH2017
ind_53,mou,1_Asia,141.622668,38.901194,6,TableS2b_KH2017
ind_54,nag,1_Asia,140.8654,35.69428,6,TableS2b_KH2017
ind_55,nag,1_Asia,140.8654,35.69428,6,TableS2b_KH2017
ind_56,nag,1_Asia,140.8654,35.69428,6,TableS2b_KH2017
ind_57,nag,1_Asia,140.8654,35.69428,6,TableS2b_KH2017
ind_58,nag,1_Asia,140.8654,35.69428,6,TableS2b_KH2017
ind_59,nag,1_Asia,140.8654,35.69428,6,TableS2b_KH2017
ind_60,nag,1_Asia,140.8654,35.69428,6,TableS2b_KH2017
ind_61,nag,1_Asia,140.8654,35.69428,6,TableS2b_KH2017
ind_62,shk,1_Asia,130.2962,33.66313,2,TableS2b_KH2017
ind_63,shk,1_Asia,130.2962,33.66313,2,TableS2b_KH2017
ind_64,shk,1_Asia,130.2962,33.66313,2,TableS2b_KH2017
ind_65,shk,1_Asia,130.2962,33.66313,2,TableS2b_KH2017
ind_66,shk,1_Asia,130.2962,33.66313,2,TableS2b_KH2017
ind_67,shk,1_Asia,130.2962,33.66313,2,TableS2b_KH2017
ind_68,shk,1_Asia,130.2962,33.66313,2,TableS2b_KH2017
ind_69,shk,1_Asia,130.2962,33.66313,2,TableS2b_KH2017
ind_70,shr,1_Asia,140.83,41.76467,6,TableS2b_KH2017
ind_71,shr,1_Asia,140.83,41.76467,6,TableS2b_KH2017
ind_72,shr,1_Asia,140.83,41.76467,6,TableS2b_KH2017
ind_73,shr,1_Asia,140.83,41.76467,6,TableS2b_KH2017
ind_74,shr,1_Asia,140.83,41.76467,6,TableS2b_KH2017
ind_75,shr,1_Asia,140.83,41.76467,6,TableS2b_KH2017
ind_76,shr,1_Asia,140.83,41.76467,6,TableS2b_KH2017
ind_77,shr,1_Asia,140.83,41.76467,6,TableS2b_KH2017
ind_78,sar,1_Asia,143.58341,44.07916,6,TableS2b_KH2017
ind_79,sar,1_Asia,143.58341,44.07916,6,TableS2b_KH2017
ind_80,sar,1_Asia,143.58341,44.07916,6,TableS2b_KH2017
ind_81,sar,1_Asia,143.58341,44.07916,6,TableS2b_KH2017
ind_82,sar,1_Asia,143.58341,44.07916,6,TableS2b_KH2017
ind_83,sar,1_Asia,143.58341,44.07916,6,TableS2b_KH2017
ind_84,usu,1_Asia,140.78618,42.515497,6,TableS2b_KH2017
ind_85,usu,1_Asia,140.78618,42.515497,6,TableS2b_KH2017
ind_86,usu,1_Asia,140.78618,42.515497,6,TableS2b_KH2017
ind_87,usu,1_Asia,140.78618,42.515497,6,TableS2b_KH2017
ind_88,usu,1_Asia,140.78618,42.515497,6,TableS2b_KH2017
ind_89,usu,1_Asia,140.78618,42.515497,6,TableS2b_KH2017
ind_90,usu,1_Asia,140.78618,42.515497,6,TableS2b_KH2017
ind_91,usu,1_Asia,140.78618,42.515497,6,TableS2b_KH2017
ind_92,usu,1_Asia,140.78618,42.515497,6,TableS2b_KH2017
ind_93,waj,1_Asia,130.4266,33.67412,2,TableS2b_KH2017
ind_94,waj,1_Asia,130.4266,33.67412,2,TableS2b_KH2017
ind_95,waj,1_Asia,130.4266,33.67412,30,TableS2b_KH2017
ind_96,waj,1_Asia,130.4266,33.67412,30,TableS2b_KH2017
ind_97,waj,1_Asia,130.4266,33.67412,30,TableS2b_KH2017
ind_98,waj,1_Asia,130.4266,33.67412,30,TableS2b_KH2017
ind_99,waj,1_Asia,130.4266,33.67412,30,TableS2b_KH2017
ind_100,waj,1_Asia,130.4266,33.67412,31,TableS2b_KH2017
ind_101,bam,2_wNA,-125.1544733,48.81139,6,TableS2b_KH2017
ind_102,bam,2_wNA,-125.1544733,48.81139,6,TableS2b_KH2017
ind_103,bam,2_wNA,-125.1544733,48.81139,6,TableS2b_KH2017
ind_104,bam,2_wNA,-125.1544733,48.81139,6,TableS2b_KH2017
ind_105,bam,2_wNA,-125.1544733,48.81139,15,TableS2b_KH2017
ind_106,bam,2_wNA,-125.1544733,48.81139,15,TableS2b_KH2017
ind_107,bam,2_wNA,-125.1544733,48.81139,15,TableS2b_KH2017
ind_108,bam,2_wNA,-125.1544733,48.81139,29,TableS2b_KH2017
ind_109,bam,2_wNA,-125.1544733,48.81139,29,TableS2b_KH2017
ind_110,bam,2_wNA,-125.1544733,48.81139,29,TableS2b_KH2017
ind_111,bam,2_wNA,-125.1544733,48.81139,29,TableS2b_KH2017
ind_112,bam,2_wNA,-125.1544733,48.81139,29,TableS2b_KH2017
ind_113,bob,2_wNA,-123.055447,38.317774,6,TableS2b_KH2017
ind_114,bob,2_wNA,-123.055447,38.317774,6,TableS2b_KH2017
ind_115,bob,2_wNA,-123.055447,38.317774,6,TableS2b_KH2017
ind_116,bob,2_wNA,-123.055447,38.317774,6,TableS2b_KH2017
ind_117,bob,2_wNA,-123.055447,38.317774,6,TableS2b_KH2017
ind_118,bob,2_wNA,-123.055447,38.317774,6,TableS2b_KH2017
ind_119,bob,2_wNA,-123.055447,38.317774,6,TableS2b_KH2017
ind_120,eld,2_wNA,-122.978715,47.084893,6,TableS2b_KH2017
ind_121,eld,2_wNA,-122.978715,47.084893,6,TableS2b_KH2017
ind_122,eld,2_wNA,-122.978715,47.084893,6,TableS2b_KH2017
ind_123,eld,2_wNA,-122.978715,47.084893,6,TableS2b_KH2017
ind_124,eld,2_wNA,-122.978715,47.084893,6,TableS2b_KH2017
ind_125,eld,2_wNA,-122.978715,47.084893,6,TableS2b_KH2017
ind_126,eld,2_wNA,-122.978715,47.084893,6,TableS2b_KH2017
ind_127,moo,2_wNA,-122.8367,49.28135,6,TableS2b_KH2017
ind_128,moo,2_wNA,-122.8367,49.28135,6,TableS2b_KH2017
ind_129,moo,2_wNA,-122.8367,49.28135,6,TableS2b_KH2017
ind_130,moo,2_wNA,-122.8367,49.28135,6,TableS2b_KH2017
ind_131,moo,2_wNA,-122.8367,49.28135,6,TableS2b_KH2017
ind_132,moo,2_wNA,-122.8367,49.28135,6,TableS2b_KH2017
ind_133,moo,2_wNA,-122.8367,49.28135,6,TableS2b_KH2017
ind_134,ptw,2_wNA,-122.842044,47.210495,6,TableS2b_KH2017
ind_135,ptw,2_wNA,-122.842044,47.210495,6,TableS2b_KH2017
ind_136,ptw,2_wNA,-122.842044,47.210495,6,TableS2b_KH2017
ind_137,ptw,2_wNA,-122.842044,47.210495,6,TableS2b_KH2017
ind_138,ptw,2_wNA,-122.842044,47.210495,6,TableS2b_KH2017
ind_139,ptw,2_wNA,-122.842044,47.210495,6,TableS2b_KH2017
ind_140,ptw,2_wNA,-122.842044,47.210495,6,TableS2b_KH2017
ind_141,tmb,2_wNA,-122.9093435,38.179647,6,TableS2b_KH2017
ind_142,tmb,2_wNA,-122.9093435,38.179647,6,TableS2b_KH2017
ind_143,tmb,2_wNA,-122.9093435,38.179647,6,TableS2b_KH2017
ind_144,tmb,2_wNA,-122.9093435,38.179647,6,TableS2b_KH2017
ind_145,tmb,2_wNA,-122.9093435,38.179647,6,TableS2b_KH2017
ind_146,tmb,2_wNA,-122.9093435,38.179647,6,TableS2b_KH2017
ind_147,tmb,2_wNA,-122.9093435,38.179647,6,TableS2b_KH2017
ind_148,fme,3_Eur,-1.139809,45.821349,6,TableS2b_KH2017
ind_149,fme,3_Eur,-1.139809,45.821349,6,TableS2b_KH2017
ind_150,fme,3_Eur,-1.139809,45.821349,18,TableS2b_KH2017
ind_151,fme,3_Eur,-1.139809,45.821349,18,TableS2b_KH2017
ind_152,fme,3_Eur,-1.139809,45.821349,18,TableS2b_KH2017
ind_153,fme,3_Eur,-1.139809,45.821349,18,TableS2b_KH2017
ind_154,fme,3_Eur,-1.139809,45.821349,18,TableS2b_KH2017
ind_155,fme,3_Eur,-1.139809,45.821349,18,TableS2b_KH2017
ind_156,frl,3_Eur,-1.461794,46.231,6,TableS2b_KH2017
ind_157,frl,3_Eur,-1.461794,46.231,6,TableS2b_KH2017
ind_158,frl,3_Eur,-1.461794,46.231,6,TableS2b_KH2017
ind_159,frl,3_Eur,-1.461794,46.231,6,TableS2b_KH2017
ind_160,Hirakawa,1_Asia,130.3079,31.2768,27,TableS3_KH2021
ind_161,Hirakawa,1_Asia,130.3079,31.2768,55,TableS3_KH2021
ind_162,Origuchi,1_Asia,130.2076,32.0603,13,TableS3_KH2021
ind_163,Tanoura,1_Asia,130.5079,32.3538,60,TableS3_KH2021
