pop,country,long,lat,source
Shimoda,1_Asia,138,34,tok
Ikutsushima,1_Asia,132.1896,33.178,sea
SouthPrimorye,1_Asia,131,42,nonSource
Nashiro,1_Asia,139.99954,40.20988,nonSource
Baegryongdo,1_Asia,124.65,37.91666667,nonSource
Junchun,1_Asia,129.1333333,37.48333333,nonSource
Nou,1_Asia,137.999727,37.109351,nonSource
Ku,1_Asia,136.90604,37.07784,nonSource
Weihai,1_Asia,122,37,nonSource
Ockdo,1_Asia,126.35,36.93333333,nonSource
Hackampo,1_Asia,126.2,36.88333333,nonSource
Solsum,1_Asia,126.2,36.68333333,nonSource
Bangpo,1_Asia,126.3333333,36.5,nonSource
Myodo,1_Asia,126.4166667,36.46666667,nonSource
Daecheon,1_Asia,126.5,36.31666667,nonSource
Odo-eeri,1_Asia,129.3833333,36.15,nonSource
Qingdaobeach,1_Asia,120.3333333,36.03333333,nonSource
Konami,1_Asia,133,36,nonSource
Geokpo,1_Asia,126.4666667,35.61666667,nonSource
Hayase,1_Asia,135.907583,35.616333,nonSource
Taehwagang,1_Asia,129.35,35.45,nonSource
Gijang,1_Asia,129.2333333,35.21666667,nonSource
Yoshio,1_Asia,130.1719,35.082,nonSource
Sangjokam,1_Asia,128.1333333,34.9,nonSource
Yegye,1_Asia,127.8166667,34.81666667,nonSource
Dolsando,1_Asia,127.7333333,34.58333333,nonSource
Hoidong,1_Asia,126.3333333,34.41666667,nonSource
Suguchado,1_Asia,125.9166667,34.25,nonSource
Chujado,1_Asia,126.2833333,33.95,nonSource
Kimnyung,1_Asia,126.75,33.55,nonSource
Haengwon,1_Asia,126.8,33.55,nonSource
Dodoo-samri,1_Asia,126.4833333,33.5,nonSource
Hado,1_Asia,126.8833333,33.5,nonSource
Oidodong,1_Asia,126.4166667,33.48333333,nonSource
Dodoo-ilri,1_Asia,126.45,33.48333333,nonSource
Sungsan,1_Asia,126.9333333,33.45,nonSource
Pyosun,1_Asia,126.8333333,33.31666667,nonSource
Ilgwo-eeri,1_Asia,126.2166667,33.23333333,nonSource
Daejung,1_Asia,126.2333333,33.21666667,nonSource
Tanoura,1_Asia,130.5079,32.3538,kag
Origuchi,1_Asia,130.2076,32.0603,kag
Nagasaki,1_Asia,129,32,kag
hik,1_Asia,130.671644,31.7321,kag
Hirakawa,1_Asia,130.3079,31.2768,kag
Miyako,1_Asia,141.95918,39.58736,hon
mou,1_Asia,141.622668,38.901194,hon
mng,1_Asia,141.413173,38.418195,hon
Nomoku-ura,1_Asia,141.43002,38.39931,hon
Soukanzan,1_Asia,141.054495,38.350787,hon
hit,1_Asia,141.0515,38.35053,hon
nag,1_Asia,140.8654,35.69428,hon
sar,1_Asia,143.58341,44.07916,hok
fut,1_Asia,144.2579,44.04927,hok
akk,1_Asia,144.9498,43.04774,hok
usu,1_Asia,140.78618,42.515497,hok
shr,1_Asia,140.83,41.76467,hok
Koön,3_Eur,11.58333333,57.88333333,EU
Öckerö,3_Eur,11.65,57.7,EU
Askim,3_Eur,11.91666667,57.61666667,EU
Vallda,3_Eur,11.93333333,57.48333333,EU
Buaharbour,3_Eur,12.1,57.23333333,EU
HorsensFjord,3_Eur,9.933333333,55.85,EU
Rantum,3_Eur,8.3,54.85,EU
Strande,3_Eur,10.16666667,54.43333333,EU
Kiel-Wik,3_Eur,10.13333333,54.35,EU
Carlingford,3_Eur,-6.1,54.03,EU
Christchurch,3_Eur,-1.744148,50.722223,EU
Brownsea,3_Eur,-1.95627,50.688411,EU
Batson,3_Eur,-3.76979,50.231171,EU
St.-Pol-de-Léon,3_Eur,3.966666667,48.66666667,EU
PontdelaCorde,3_Eur,3.933333333,48.63333333,EU
Locquenolé,3_Eur,3.85,48.61666667,EU
EstuaireduBelon,3_Eur,3.65,47.81666667,EU
frl,3_Eur,-1.461794,46.231,EU
fme,3_Eur,-1.139809,45.821349,EU
ElJadida,3_Eur,-8.483333333,33.25,EU
akg,2_wNA,-133.29,55.73361,PNW
acr,2_wNA,-133.13944,55.47063,PNW
asb,2_wNA,-132.995,55.26366,PNW
moo,2_wNA,-122.8367,49.28135,PNW
bam,2_wNA,-125.1544733,48.81139,PNW
ptw,2_wNA,-122.842044,47.210495,PNW
eld,2_wNA,-122.978715,47.084893,PNW
bdw,2_wNA,-124.071706,46.862046,PNW
spt,2_wNA,-123.954527,46.606635,PNW
oam,2_wNA,-123.951716,46.402931,PNW
ohp,2_wNA,-123.906143,45.548187,PNW
onb,2_wNA,-123.934626,45.414974,PNW
oy1,2_wNA,-124.011176,44.611046,PNW
oy2,2_wNA,-123.979097,44.575109,PNW
oar,2_wNA,-124.038232,44.444814,PNW
hvs,2_wNA,-124.171951,40.832755,Cali
bob,2_wNA,-123.055447,38.317774,Cali
tmb,2_wNA,-122.9093435,38.179647,Cali
spm,2_wNA,-122.411937,37.943616,Cali
bwe,2_wNA,-122.69612,37.930314,Cali
boe,2_wNA,-122.671522,37.920133,Cali
sfs,2_wNA,-122.508211,37.883698,Cali
ElkhornSlough,2_wNA,-121.7833333,36.8,Cali
mbm,2_wNA,-120.840446,35.34436,Cali
mbv,2_wNA,-120.841503,35.326904,Cali
boc,2_wNA,-118.04635,33.695513,Cali
ahd,2_wNA,-117.319872,33.141852,Cali
dac,2_wNA,-117.211103,32.796799,Cali
cpt,2_wNA,-117.230001,32.794887,Cali
fie,2_wNA,-117.220474,32.772265,Cali
Tenjinjima,1_Asia,139.3618,35.1335,tok
Inuwaka,1_Asia,139,35,tok
Funabashi,1_Asia,140,35,tok
waj,1_Asia,130.4266,33.67412,kag
shk,1_Asia,130.2962,33.66313,kag
Shinmaiko,1_Asia,133.3329,33.3626,sea
Jigozen,1_Asia,132.3265,33.3336,sea
Tsui,1_Asia,133.7013,33.3239,sea
Ikuno Island,1_Asia,132.9237,33.2904,sea
Isumi,1_Asia,133.2377,33.2664,sea
Yura,1_Asia,133.5717,33.166,sea
