"indID","popID","country","latInd","lonInd","acc"
"ind1","Amakusa","Japan",32.294101,130.173582,"JN830648"
"ind2","Amakusa","Japan",32.294101,130.173582,"JN830649"
"ind3","Amakusa","Japan",32.294101,130.173582,"JN830650"
"ind4","Amakusa","Japan",32.294101,130.173582,"JN830651"
"ind5","Atsumi Peninsula","Japan",34.689028,137.213472,"KF572952"
"ind6","Atsumi Peninsula","Japan",34.689028,137.213472,"KF572953"
"ind7","Atsumi Peninsula","Japan",34.689028,137.213472,"KF572954"
"ind8","Boundary Bay","Canada",49.007418,-123.033322,"JN830721"
"ind9","Boundary Bay","Canada",49.007418,-123.033322,"JN830722"
"ind10","Hachinohe","Japan",40.560435,141.501177,"JN830652"
"ind11","Hachinohe","Japan",40.560435,141.501177,"JN830653"
"ind12","Hachinohe","Japan",40.560435,141.501177,"JN830654"
"ind13","Hachinohe","Japan",40.560435,141.501177,"JN830655"
"ind14","Hakodate","Japan",41.795049,140.710577,"JN830656"
"ind15","Hakodate","Japan",41.795049,140.710577,"JN830657"
"ind16","Hakodate","Japan",41.795049,140.710577,"JN830658"
"ind17","Hakodate","Japan",41.795049,140.710577,"JN830659"
"ind18","Hakodate","Japan",41.795049,140.710577,"JN830660"
"ind19","Hakodate","Japan",41.795049,140.710577,"JN830661"
"ind20","Hakodate","Japan",41.795049,140.710577,"JN830662"
"ind21","Hakodate","Japan",41.795049,140.710577,"JN830663"
"ind22","Hiroshima","Japan",34.35445,132.407081,"JQ693573"
"ind23","Hiroshima","Japan",34.35445,132.407081,"JQ693574"
"ind24","Hitachinaka","Japan",36.399848,140.614541,"JN830692"
"ind25","Hitachinaka","Japan",36.399848,140.614541,"JN830693"
"ind26","Hitachinaka","Japan",36.399848,140.614541,"JN830694"
"ind27","Hitachinaka","Japan",36.399848,140.614541,"JN830695"
"ind28","Hitachinaka","Japan",36.399848,140.614541,"JN830696"
"ind29","Hitachinaka","Japan",36.399848,140.614541,"JN830697"
"ind30","Hitachinaka","Japan",36.399848,140.614541,"JN830698"
"ind31","Hitachinaka","Japan",36.399848,140.614541,"JN830699"
"ind32","Hitachinaka","Japan",36.399848,140.614541,"JN830700"
"ind33","Lago di Sabaudia","Italy",41.262849,13.028559,"JX679602"
"ind34","Lago di Sabaudia","Italy",41.262849,13.028559,"JX679603"
"ind35","Lago di Sabaudia","Italy",41.262849,13.028559,"JX679604"
"ind36","Lago di Sabaudia","Italy",41.262849,13.028559,"JX679605"
"ind37","Lago Fusaro","Italy",40.818779,14.050359,"JX679598"
"ind38","Lago Fusaro","Italy",40.818779,14.050359,"JX679599"
"ind39","Lago Fusaro","Italy",40.818779,14.050359,"JX679600"
"ind40","Lago Fusaro","Italy",40.818779,14.050359,"JX679601"
"ind41","Laguna di Orbetello","Italy",42.430591,11.197302,"KF572955"
"ind42","Latina","Italy",41.413064,12.837185,"KF572956"
"ind43","Latina","Italy",41.413064,12.837185,"KF572957"
"ind44","Le Barcarès","France",42.809764,3.023064,"KF615822"
"ind45","Le Barcarès","France",42.809764,3.023064,"KF615823"
"ind46","Le Barcarès","France",42.809764,3.023064,"KF615824"
"ind47","Mangokuura","Japan",38.418102,141.38455,"JQ693575"
"ind48","Mangokuura","Japan",38.418102,141.38455,"KF572970"
"ind49","Mangokuura","Japan",38.418102,141.38455,"KF572971"
"ind50","Mangokuura","Japan",38.418102,141.38455,"KF572972"
"ind51","Mangokuura","Japan",38.418102,141.38455,"KF572973"
"ind52","Mangokuura","Japan",38.418102,141.38455,"KF572974"
"ind53","Mangokuura","Japan",38.418102,141.38455,"KF572975"
"ind54","Mangokuura","Japan",38.418102,141.38455,"KF572976"
"ind55","Mangokuura","Japan",38.418102,141.38455,"KF572977"
"ind56","Mangokuura","Japan",38.418102,141.38455,"KF572978"
"ind57","Mangokuura","Japan",38.418102,141.38455,"KF572979"
"ind58","Mangokuura","Japan",38.418102,141.38455,"KF572980"
"ind59","Mangokuura","Japan",38.418102,141.38455,"KF572981"
"ind60","Mangokuura","Japan",38.418102,141.38455,"KF572982"
"ind61","Mangokuura","Japan",38.418102,141.38455,"KF572983"
"ind62","Mangokuura","Japan",38.418102,141.38455,"KF572984"
"ind63","Matsushima Bay","Japan",38.332336,141.0971,"KF572958"
"ind64","Matsushima Bay","Japan",38.332336,141.0971,"KF572959"
"ind65","Matsushima Bay","Japan",38.332336,141.0971,"KF572960"
"ind66","Matsushima Bay","Japan",38.332336,141.0971,"KF572961"
"ind67","Matsushima Bay","Japan",38.332336,141.0971,"KF572962"
"ind68","Matsushima Bay","Japan",38.332336,141.0971,"KF572963"
"ind69","Matsushima Bay","Japan",38.332336,141.0971,"KF572964"
"ind70","Matsushima Bay","Japan",38.332336,141.0971,"KF572965"
"ind71","Matsushima Bay","Japan",38.332336,141.0971,"KF572966"
"ind72","Matsushima Bay","Japan",38.332336,141.0971,"KF572967"
"ind73","Matsushima Bay","Japan",38.332336,141.0971,"KF572968"
