pop,country,long,lat,source
GUR,1_Asia,129.516666666667,36.05,nonSource
BUA,1_Asia,126.583333333333,35.7333333333333,nonSource
HAE,1_Asia,126.483333333333,34.3333333333333,nonSource
GUJ,1_Asia,128.733333333333,34.9,nonSource
JEJ,1_Asia,126.9,33.4833333333333,nonSource
OSY,1_Asia,141.05,43.0666666666667,hok
TOM,1_Asia,140.483333333333,43.05,hok
AKI,1_Asia,139.766666666667,39.85,nonSource
KES,1_Asia,139.616666666667,38.85,nonSource
JPA,1_Asia,141.45,38.4333333333333,hon
SEN,1_Asia,140.95,38.1666666666667,hon
HI1,1_Asia,137,36.8833333333333,nonSource
HI2,1_Asia,137,36.8833333333333,nonSource
TOK,1_Asia,139.75,35.5833333333333,tok
HY1,1_Asia,139.566666666667,35.25,tok
HY2,1_Asia,139.566666666667,35.25,tok
SUG,1_Asia,136.866666666667,34.4833333333333,tok
IWA,1_Asia,133.666666666667,34.2333333333333,sea
NB1,1_Asia,133.3,33.35,sea
NB2,1_Asia,133.3,33.35,sea
SAN,1_Asia,130.416666666667,32.5333333333333,kag
AMA,1_Asia,130.416666666667,32.55,kag
TMP,1_Asia,130.016666666667,32.45,kag
SHI,1_Asia,131.083333333333,31.45,kag
North Sea: Helgoland,3_Eur,7.9,54.2,EU
