pop,country,long,lat,source
pop1,1_Asia,141.645,45.449,hok
pop2,1_Asia,144.394,43.935,hok
pop3,1_Asia,140.775,43.205,hok
pop4,1_Asia,144.896,43.053,hok
pop5,1_Asia,140.601,41.742,hok
pop6,1_Asia,141.948,39.588,hon
pop7,1_Asia,141.68,38.996,hon
pop8,1_Asia,141.459,38.646,hon
pop9,1_Asia,141.055,38.351,hon
pop10,1_Asia,141.063,38.355,hon
pop11,1_Asia,141.42,38.434,hon
pop12,1_Asia,140.915,38.031,hon
pop13,1_Asia,140.979,37.781,hon
pop14,1_Asia,140.61,36.489,hon
pop15,1_Asia,139.898,35.413,tok
pop16,1_Asia,140.077,35.532,tok
pop17,1_Asia,139.922,35.672,tok
pop18,1_Asia,139.629,35.467,tok
pop19,1_Asia,139.663,35.144,tok
pop20,1_Asia,139.628,35.163,tok
pop21,1_Asia,137.59,36.974,nonSource
pop22,1_Asia,137.399,36.835,nonSource
pop23,1_Asia,137.234,36.765,nonSource
pop24,1_Asia,135.185,35.559,nonSource
pop25,1_Asia,136.574,34.607,tok
pop26,1_Asia,136.848,34.312,tok
pop27,1_Asia,136.835,34.29,tok
pop28,1_Asia,135.338,34.442,sea
pop29,1_Asia,135.358,34.457,sea
pop30,1_Asia,134.924,34.45,sea
pop31,1_Asia,135.18,34.185,sea
pop32,1_Asia,135.151,34.008,sea
pop33,1_Asia,135.494,33.549,sea
pop34,1_Asia,135.924,33.613,tok
pop35,1_Asia,133.215,35.547,nonSource
pop36,1_Asia,132.454,34.393,sea
pop37,1_Asia,131.019,34.033,sea
pop38,1_Asia,130.754,33.92,sea
pop39,1_Asia,133.511,33.475,sea
pop40,1_Asia,133.421,33.45,sea
pop41,1_Asia,133.396,33.444,sea
pop42,1_Asia,133.36,33.427,sea
pop43,1_Asia,131.909,32.948,sea
pop44,1_Asia,130.178,33.03,kag
pop45,1_Asia,129.664,33.185,kag
pop46,1_Asia,130.64,32.636,kag
pop47,1_Asia,131.469,31.759,kag
pop48,1_Asia,130.622,31.707,kag
pop49,1_Asia,126.241,37.635,nonSource
pop50,1_Asia,126.376,37.622,nonSource
pop51,1_Asia,126.661,36.041,nonSource
pop52,1_Asia,127.733,34.893,nonSource
pop53,3_Eur,8.434,55.029,EU
pop54,3_Eur,7.88,54.11,EU
pop55,3_Eur,9.123,53.889,EU
pop56,3_Eur,4.055,51.491,EU
pop57,3_Eur,4.036,51.382,EU
pop58,3_Eur,0.229,49.428,EU
pop59,3_Eur,-0.248,49.287,EU
pop60,3_Eur,-1.236,44.582,EU
