"pop","country","long","lat","source"
"Santa Catalina Island","2_wNA",-118.4239288,33.38890375,"Cali"
"Ohma","1_Asia",140.89993,41.526416,"hon"
"Sado","1_Asia",138.467984,38.109547,"nonSource"
"Iwaki","1_Asia",140.943319,36.953541,"hon"
"Miura","1_Asia",139.6416053,35.4474589,"tok"
"Shimoda","1_Asia",138.945379,34.679545,"tok"
"Kobe","1_Asia",135.019251,34.634081,"sea"
"Awaji","1_Asia",134.8261495,34.3653794,"sea"
"Tokushima","1_Asia",134.3005836,33.5665502,"sea"
"Yamaguchi","1_Asia",132.205534,33.966396,"sea"
"Oita","1_Asia",135.3435984,35.496164,"sea"
"Fukuoka","1_Asia",130.3176677,33.66505755,"kag"
"Kumamoto","1_Asia",130.498497,32.487335,"kag"
"Miyazaki","1_Asia",131.294542,32.097681,"kag"
"Dadaepo","1_Asia",128.9662119,35.0480653,"nonSource"
