,indID,popID,country,lonInd,latInd,hapInd
1,ind_1,Gorishoek,3_Eur,4.076128,51.525986,H5
2,ind_2,Berghse Diepsluis,3_Eur,4.175259,51.51456,H5
3,ind_3,Roscoff,3_Eur,-3.982898,48.725582,H42
4,ind_4,Thau Lagoon,3_Eur,3.61638,43.392462,H42
5,ind_5,Thau Lagoon,3_Eur,3.61638,43.392462,H42
6,ind_6,Grays Harbor,2_wNA,-123.865883,47.174417,H10
7,ind_7,Port of Peninsula,2_wNA,-122.92179,49.195198,H5
8,ind_8,La Jolla,2_wNA,-117.274078,32.840162,H5
9,ind_9,Lake Notoro,1_Asia,144.150412,44.05796,H33
10,ind_10,Lake Notoro,1_Asia,144.150412,44.05796,H33
11,ind_11,Lake Notoro,1_Asia,144.150412,44.05796,H44
12,ind_12,Lake Akkeshi,1_Asia,144.896732,43.046188,H26
13,ind_13,Zenibako,1_Asia,141.159717,43.14348,H16
14,ind_14,Zenibako,1_Asia,141.159717,43.14348,H16
15,ind_15,Zenibako,1_Asia,141.159717,43.14348,H47
16,ind_16,Kikonai,1_Asia,140.43763,41.678439,H20
17,ind_17,Asamushi,1_Asia,140.865612,40.889545,H9
18,ind_18,Asamushi,1_Asia,140.865612,40.889545,H9
19,ind_19,Asamushi,1_Asia,140.865612,40.889545,H9
20,ind_20,Shiriya,1_Asia,141.433867,41.417539,H50
21,ind_21,Shiriya,1_Asia,141.433867,41.417539,H50
22,ind_22,Shiriya,1_Asia,141.433867,41.417539,H50
23,ind_23,Ahigezaki,1_Asia,141.488296,40.512239,H50
24,ind_24,Ahigezaki,1_Asia,141.488296,40.512239,H50
25,ind_25,Nakano,1_Asia,141.826102,40.273087,H9
26,ind_26,Hiraiga,1_Asia,142.028678,39.698323,H9
27,ind_27,Hiraiga,1_Asia,142.028678,39.698323,H9
28,ind_28,Hiraiga,1_Asia,142.028678,39.698323,H9
29,ind_29,Sanouiwa,1_Asia,141.9827,39.867747,H10
30,ind_30,Sanouiwa,1_Asia,141.9827,39.867747,H10
31,ind_31,Koujin Beach,1_Asia,141.978199,39.870912,H9
32,ind_32,Koujin Beach,1_Asia,141.978199,39.870912,H49
33,ind_33,Kirikiri,1_Asia,141.946058,39.374257,H9
34,ind_34,Kirikiri,1_Asia,141.946058,39.374257,H9
35,ind_35,Ainohama,1_Asia,139.831684,34.92479,H49
36,ind_36,Ainohama,1_Asia,139.831684,34.92479,H49
37,ind_37,Shidugawa,1_Asia,141.277271,38.691529,H5
38,ind_38,Shidugawa,1_Asia,141.277271,38.691529,H9
39,ind_39,Shidugawa,1_Asia,141.277271,38.691529,H9
40,ind_40,Ogatsu,1_Asia,139.511966,35.658158,H5
41,ind_41,Ogatsu,1_Asia,139.511966,35.658158,H5
42,ind_42,Souma,1_Asia,140.964706,37.838577,H10
43,ind_43,Ouse,1_Asia,140.665039,36.583312,H5
44,ind_44,Ouse,1_Asia,140.665039,36.583312,H5
45,ind_45,Kanazawa,1_Asia,136.648025,36.57805,H6
46,ind_46,Kanazawa,1_Asia,136.648025,36.57805,H6
47,ind_47,Hayama,1_Asia,139.593177,35.272909,H7
48,ind_48,Futamachiya,1_Asia,139.601886,35.273166,H6
49,ind_49,Oura,1_Asia,138.94131,34.666218,H6
50,ind_50,Touji,1_Asia,135.747719,34.980631,H5
51,ind_51,Gamagori,1_Asia,137.225163,34.833929,H7
52,ind_52,Toba,1_Asia,136.829358,34.471446,H6
53,ind_53,Toba,1_Asia,136.829358,34.471446,H6
54,ind_54,Toba,1_Asia,136.829358,34.471446,H6
55,ind_55,Benten Cape,1_Asia,138.546623,38.007667,H34
