"species","type","chosen","post","oob","prior","plotpost","BF","lx"
"---Palaemon_macrodactylus","untrans","g1",0.9143,0.00247626908790755,"jim_priors1",0.0857,0.0937329104232746,1.24088893055767
"---Undaria_pinnatifida","untrans","g1",0.822016666666667,0.0253461753955337,"flat_priors",0.177983333333333,0.216520346302791,1.64634309420316
"---Cercaria_batillaria_HL1","untrans","g1",0.799916666666667,0.0526027981914454,"flat_priors",0.200083333333333,0.250130221898114,1.7788127017366
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.756536666666666,0.00870811730503865,"flat_priors",0.243463333333334,0.321812998709031,2.09803630323546
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.75134,0.00896759104577347,"jim_priors1",0.24866,0.330955359757234,2.14267034909176
"---Hemigrapsus_sanguineus","untrans","g1",0.748663333333333,0.0346223201763174,"jim_priors1",0.251336666666667,0.33571387227904,2.16627641925511
"---Cercaria_batillaria_HL6","untrans","g1",0.744736666666667,0.0506145385301676,"flat_priors",0.255263333333333,0.342756500060423,2.2016916739106
"---Hemigrapsus_sanguineus","untrans","g1",0.62338,0.0396774452379042,"flat_priors",0.37662,0.604157977477622,4.01936991487652
"---Acanthogobius_flavimanus","untrans","g1",0.602776666666667,0.0971444531634458,"jim_priors1",0.397223333333333,0.658989233159876,4.56025610222337
"---Mutimo_cylindricus","untrans","g1",0.60194,0.0975006647168306,"jim_priors1",0.39806,0.661295145695584,4.58453344881813
"---Gracilaria_vermiculophylla_SNP","untrans","g2",0.483386666666666,0.334802113979153,"jim_priors1",0.483386666666666,0.935683683477002,8.62350229887523
"---Acanthogobius_flavimanus","untrans","g2",0.511823333333333,0.324917058611914,"flat_priors",0.511823333333333,1.04843874826736,11.1799213484267
"---Mutimo_cylindricus","untrans","g2",0.542856666666667,0.31906728847435,"flat_priors",0.542856666666667,1.18749772135654,15.3991844643968
"---Gracilaria_vermiculophylla_SNP","untrans","g2",0.562606666666667,0.337407954832954,"flat_priors",0.562606666666667,1.28627170052889,19.3317736080451
"---Batillaria_attramentaria","untrans","g2",0.737473333333333,0.049603306004053,"flat_priors",0.737473333333333,2.80913684958988,644.372280275864
"---Undaria_pinnatifida","untrans","g2",0.780316666666666,0.0257633079341397,"jim_priors1",0.780316666666666,3.55200667627644,3564.56613082783
"---Gracilaria_vermiculophylla_mtDNA","untrans","g2",0.811526666666667,0.0104908655966429,"jim_priors1",0.811526666666667,4.30579038590783,20220.4299540371
"---Gracilaria_vermiculophylla_mtDNA","untrans","g2",0.8248,0.0112857448859377,"flat_priors",0.8248,4.70776255707762,51022.5966568677
"---Cercaria_batillaria_HL6","untrans","g2",0.84406,0.0106221142811391,"jim_priors1",0.84406,5.41272284211876,258656.169739812
"---Cercaria_batillaria_HL1","untrans","g2",0.849483333333333,0.011199936152383,"jim_priors1",0.849483333333333,5.64378252685194,440334.310695288
"---Hemigrapsus_takanoi","untrans","g2",0.866586666666667,0.0314766424914676,"jim_priors1",0.866586666666667,6.49550269838099,3129699.91711701
"---Hemigrapsus_takanoi","untrans","g2",0.884376666666667,0.0376181827893809,"flat_priors",0.884376666666667,7.64877331565142,44542369.43585
"---Palaemon_macrodactylus","untrans","g2",0.888733333333333,0.00797205780408468,"flat_priors",0.888733333333333,7.9874176153385,97144365.347681
"---Batillaria_attramentaria","untrans","g2",0.915756666666667,0.00975156104689784,"jim_priors1",0.915756666666667,10.870375499545,74195146987.5304
"---Haminoea_japonica","untrans","g2",0.96351,0.013790428292448,"flat_priors",0.96351,26.4047684297068,2.53961819386933e+26
"---Haminoea_japonica","untrans","g2",0.968253333333333,0.00364886022875036,"jim_priors1",0.968253333333333,30.4993700125994,3.1576937869537e+30
"---Polydora_hoplura","untrans","g2",0.983343333333333,0.00285500827151929,"jim_priors1",0.983343333333333,59.0360216129666,1.0864796916884e+59
"---Polydora_hoplura","untrans","g2",0.99754,0.0117905675459632,"flat_priors",0.99754,405.504065040648,Inf
