"species","type","chosen","post","oob","prior","plotpost","BF","lx"
"---Hemigrapsus_sanguineus","untrans","g1",0.967453333333333,0.00701997891337133,"jim_priors3",0.0325466666666669,0.0336415882247553,1.08054184056443
"---Palaemon_macrodactylus","untrans","g1",0.965123333333333,0.000266389621460348,"jim_priors3",0.034876666666667,0.0361370049423739,1.0867684075263
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.931816666666667,0.0087143928035982,"jim_priors3",0.068183333333333,0.0731724767032138,1.18351148486088
"---Didemnum_vexillum","untrans","g1",0.90524,0.0299941370855985,"jim_priors1",0.09476,0.104679422031726,1.27256338133069
"---Cercaria_batillaria_HL1","untrans","g1",0.895643333333333,0.0540998253123708,"jim_priors2",0.104356666666667,0.116515874994883,1.30772333994642
"---Acanthogobius_flavimanus","untrans","g1",0.87345,0.0095327227755866,"jim_priors3",0.12655,0.144885225256168,1.39599937951968
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.872713333333333,0.00925839334143832,"flat_priors",0.127286666666667,0.145851635130284,1.39910927338123
"---Palaemon_macrodactylus","untrans","g1",0.86723,0.00235817810868816,"jim_priors1",0.13277,0.153096641029485,1.42264532490693
"---Didemnum_vexillum","untrans","g1",0.864916666666667,0.0187870533568338,"jim_priors2",0.135083333333333,0.156180749590519,1.43278408749094
"---Hemigrapsus_takanoi","untrans","g1",0.86142,0.031705432552687,"jim_priors1",0.13858,0.160873905876344,1.44835127463503
"---Didemnum_vexillum","untrans","g1",0.858313333333333,0.00579822187862389,"jim_priors3",0.141686666666667,0.165075691084065,1.46243203245054
"---Palaemon_macrodactylus","untrans","g1",0.8548,0.00123932250369798,"jim_priors2",0.1452,0.169864295741694,1.47864628248037
"---Mutimo_cylindricus","untrans","g1",0.854636666666667,0.00973333333333333,"jim_priors3",0.145363333333333,0.170087873599307,1.47940769597301
"---Cercaria_batillaria_HL1","untrans","g1",0.843726666666667,0.0520194855598084,"flat_priors",0.156273333333333,0.185217961583135,1.53185606919934
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.83662,0.00873321689044146,"jim_priors1",0.16338,0.195285792833066,1.56778242925975
"---Gracilaria_vermiculophylla_SSR","untrans","g1",0.832023333333333,0.00889786852562988,"jim_priors2",0.167976666666667,0.201889370089782,1.59180318776269
"---Undaria_pinnatifida","untrans","g1",0.80206,0.0253589284282009,"jim_priors1",0.19794,0.246789516993741,1.76518210894796
"---Hemigrapsus_takanoi","untrans","g1",0.79512,0.00560959360426382,"jim_priors3",0.20488,0.257671797967602,1.80997175626983
"---Cercaria_batillaria_HL1","untrans","g1",0.791946666666667,0.0524854133009333,"jim_priors3",0.208053333333333,0.26271129368981,1.83109675794109
