lat,lon,coastline,grid.for.model,reg,gridID,plotted.Var1,plotted.Var2,lat.sq1,lat.sq2,lon.sq1,lon.sq2,sourceID
42.5,139.5,1,1,1_Asia,33658,14,6,42,43,139,140,hok
41.5,139.5,1,1,1_Asia,33659,15,6,41,42,139,140,hok
43.5,140.5,1,1,1_Asia,33782,2,7,43,44,140,141,hok
42.5,140.5,1,1,1_Asia,33783,3,7,42,43,140,141,hok
41.5,140.5,1,1,1_Asia,33784,4,7,41,42,140,141,hok
44.5,141.5,1,1,1_Asia,33906,13,7,44,45,141,142,hok
43.5,141.5,1,1,1_Asia,33907,14,7,43,44,141,142,hok
42.5,141.5,1,1,1_Asia,33908,15,7,42,43,141,142,hok
41.5,141.5,1,1,1_Asia,33909,16,7,41,42,141,142,hok
44.5,142.5,1,1,1_Asia,34031,21,7,44,45,142,143,hok
42.5,142.5,1,1,1_Asia,34033,22,7,42,43,142,143,hok
44.5,143.5,1,1,1_Asia,34156,2,8,44,45,143,144,hok
42.5,143.5,1,1,1_Asia,34158,3,8,42,43,143,144,hok
41.5,143.5,1,1,1_Asia,34159,4,8,41,42,143,144,hok
44.5,144.5,1,1,1_Asia,34281,5,8,44,45,144,145,hok
43.5,144.5,1,1,1_Asia,34282,6,8,43,44,144,145,hok
42.5,144.5,1,1,1_Asia,34283,7,8,42,43,144,145,hok
38.5,140.5,1,1,1_Asia,33787,7,7,38,39,140,141,hon
37.5,140.5,1,1,1_Asia,33788,8,7,37,38,140,141,hon
36.5,140.5,1,1,1_Asia,33789,9,7,36,37,140,141,hon
40.5,141.5,1,1,1_Asia,33910,17,7,40,41,141,142,hon
39.5,141.5,1,1,1_Asia,33911,18,7,39,40,141,142,hon
38.5,141.5,1,1,1_Asia,33912,19,7,38,39,141,142,hon
37.5,141.5,1,1,1_Asia,33913,20,7,37,38,141,142,hon
39.5,142.5,1,1,1_Asia,34036,1,8,39,40,142,143,hon
34.5,136.5,1,1,1_Asia,33291,5,6,34,35,136,137,tok
33.5,136.5,1,1,1_Asia,33292,6,6,33,34,136,137,tok
34.5,137.5,1,1,1_Asia,33416,9,6,34,35,137,138,tok
35.5,138.5,1,1,1_Asia,33540,12,6,35,36,138,139,tok
34.5,138.5,1,1,1_Asia,33541,13,6,34,35,138,139,tok
35.5,139.5,1,1,1_Asia,33665,20,6,35,36,139,140,tok
34.5,139.5,1,1,1_Asia,33666,21,6,34,35,139,140,tok
35.5,140.5,1,1,1_Asia,33790,10,7,35,36,140,141,tok
33.5,131.5,1,1,1_Asia,32667,17,4,33,34,131,132,sea
34.5,132.5,1,1,1_Asia,32791,3,5,34,35,132,133,sea
33.5,132.5,1,1,1_Asia,32792,4,5,33,34,132,133,sea
32.5,132.5,1,1,1_Asia,32793,5,5,32,33,132,133,sea
34.5,133.5,1,1,1_Asia,32916,9,5,34,35,133,134,sea
33.5,133.5,1,1,1_Asia,32917,10,5,33,34,133,134,sea
32.5,133.5,1,1,1_Asia,32918,11,5,32,33,133,134,sea
34.5,134.5,1,1,1_Asia,33041,15,5,34,35,134,135,sea
33.5,134.5,1,1,1_Asia,33042,16,5,33,34,134,135,sea
34.5,135.5,1,1,1_Asia,33166,21,5,34,35,135,136,sea
33.5,135.5,1,1,1_Asia,33167,22,5,33,34,135,136,sea
32.5,128.5,1,1,1_Asia,32293,17,3,32,33,128,129,kag
33.5,129.5,1,1,1_Asia,32417,2,4,33,34,129,130,kag
32.5,129.5,1,1,1_Asia,32418,3,4,32,33,129,130,kag
31.5,129.5,1,1,1_Asia,32419,4,4,31,32,129,130,kag
30.5,129.5,1,1,1_Asia,32420,5,4,30,31,129,130,kag
33.5,130.5,1,1,1_Asia,32542,10,4,33,34,130,131,kag
32.5,130.5,1,1,1_Asia,32543,11,4,32,33,130,131,kag
31.5,130.5,1,1,1_Asia,32544,12,4,31,32,130,131,kag
30.5,130.5,1,1,1_Asia,32545,13,4,30,31,130,131,kag
32.5,131.5,1,1,1_Asia,32668,18,4,32,33,131,132,kag
31.5,131.5,1,1,1_Asia,32669,19,4,31,32,131,132,kag
30.5,131.5,1,1,1_Asia,32670,20,4,30,31,131,132,kag
39.5,117.5,1,1,1_Asia,30911,1,1,39,40,117,118,nonSource
38.5,117.5,1,1,1_Asia,30912,2,1,38,39,117,118,nonSource
39.5,118.5,1,1,1_Asia,31036,3,1,39,40,118,119,nonSource
38.5,118.5,1,1,1_Asia,31037,4,1,38,39,118,119,nonSource
37.5,118.5,1,1,1_Asia,31038,5,1,37,38,118,119,nonSource
40.5,119.5,1,1,1_Asia,31160,6,1,40,41,119,120,nonSource
39.5,119.5,1,1,1_Asia,31161,7,1,39,40,119,120,nonSource
37.5,119.5,1,1,1_Asia,31163,8,1,37,38,119,120,nonSource
35.5,119.5,1,1,1_Asia,31165,9,1,35,36,119,120,nonSource
34.5,119.5,1,1,1_Asia,31166,10,1,34,35,119,120,nonSource
32.5,119.5,1,1,1_Asia,31168,11,1,32,33,119,120,nonSource
31.5,119.5,1,1,1_Asia,31169,12,1,31,32,119,120,nonSource
40.5,120.5,1,1,1_Asia,31285,13,1,40,41,120,121,nonSource
38.5,120.5,1,1,1_Asia,31287,14,1,38,39,120,121,nonSource
37.5,120.5,1,1,1_Asia,31288,15,1,37,38,120,121,nonSource
36.5,120.5,1,1,1_Asia,31289,16,1,36,37,120,121,nonSource
35.5,120.5,1,1,1_Asia,31290,17,1,35,36,120,121,nonSource
34.5,120.5,1,1,1_Asia,31291,18,1,34,35,120,121,nonSource
33.5,120.5,1,1,1_Asia,31292,19,1,33,34,120,121,nonSource
32.5,120.5,1,1,1_Asia,31293,20,1,32,33,120,121,nonSource
31.5,120.5,1,1,1_Asia,31294,21,1,31,32,120,121,nonSource
30.5,120.5,1,1,1_Asia,31295,22,1,30,31,120,121,nonSource
