"","n","Ho","Hs","Fis"
"AKK",27,0.186251653655082,0.142146444286729,-0.136019160866202
"ALB",19,0.191884982256918,0.146431554293822,-0.149461488195615
"BAN",23,0.190748828956706,0.145887735982967,-0.140000019731649
"BBH",18,0.184533683463448,0.140011511710433,-0.172011862308074
"BOI",20,0.189063165365504,0.144162413058905,-0.15000145330199
"BOU",7,0.185670376153305,0.141512164655787,-0.190061453879048
"CHI",18,0.186126202980837,0.137603662171754,-0.19739989313385
"CLE",18,0.190615869410928,0.144860752306602,-0.155865578831313
"ESN",9,0.186006132008518,0.141877189496094,-0.17574420589045
"ESP",20,0.184435770049676,0.141127494677073,-0.140890522807751
"GAN",10,0.191540099361248,0.146778481192338,-0.168066675159238
"GOS",13,0.186759006387515,0.143085550035487,-0.15840303395136
"GRC",10,0.18887154009936,0.144699134137689,-0.171875574940525
"GWG",25,0.187173882185943,0.143168800567777,-0.137634932180067
"HIR",24,0.19269307310149,0.146649311568487,-0.143466087985794
"HOD",10,0.190503903477642,0.145372661462033,-0.17225051840332
"KOJ",26,0.197460127750185,0.149790986515257,-0.14467400419287
"LDY",19,0.189119999999999,0.144059886444283,-0.148784899257688
"LHE",15,0.186433882185949,0.142585706174591,-0.152083870967744
"LOS",16,0.182372249822569,0.138020766501065,-0.181518568768289
"MAH",18,0.195663420865862,0.149012448545069,-0.153656123535677
"MAI",4,0.185911994322214,0.134689921930447,-0.298342689804775
"MAL",24,0.18620529453513,0.142406841731723,-0.136754077421888
"MAT",27,0.187171767210795,0.142917941802698,-0.134900685844922
"MON",29,0.188583491838175,0.144190134847403,-0.133003757440476
"NEW",19,0.190174222853086,0.145315046132005,-0.150186500964217
"OHK",15,0.192414691270406,0.146758836053938,-0.155424771052045
"OKA",23,0.194495017743079,0.148171639460611,-0.143714880251274
"OTA",27,0.193685251951747,0.14815327182399,-0.135907453531597
"PES",16,0.187127395315827,0.143649226401704,-0.148650122195067
"QB2",20,0.184435770049676,0.140611171043291,-0.148189928679492
"SAM",25,0.187429382540804,0.143542285308729,-0.135923818745159
"SAR",26,0.185038977998587,0.140693058907024,-0.142766060238527
"SBB",16,0.182975514549326,0.139537970191626,-0.166811403073871
"SVA",18,0.187073456352022,0.142611611071682,-0.163902740373258
"TJE",11,0.188471880766498,0.144411951738822,-0.166961946001017
"TRO",16,0.186896735273243,0.142075330021292,-0.171331435643564
"WAD",19,0.190863009226401,0.144402143364085,-0.172519005708848
"WLB",12,0.180856593328603,0.138549240596169,-0.15969722782258
"YOJ",1,0.185947480482612,NA,NA
"YUR",13,0.191050134847416,0.145648005677787,-0.160689477417829
