,Var1,Freq,stratum,S,num.comp,mean.rsq,mean.E.rsq,Ne,param.lci,param.uci,hs,ho,NatNon,lat,region
1,AKK,27,AKK,26706267,989121,0.0420693653621541,0.0414831275720165,566.519894139929,471.585947160215,708.29875444759,0.192199871603452,0.606215712523296,Native,43.02131,Akkeshi
2,ALB,19,ALB,18580119,977901,0.062258165813758,0.0618360110803324,787.52444003431,556.240966637151,1341.92633154812,0.195895377624329,0.617814912902384,Introduced,33.746239,soCalifornia
3,BAN,23,BAN,22782144,990528,0.0497240372663281,0.04962797731569,3467.98398566768,1417.3697263048,Inf,0.195596893813537,0.613625858934459,Native,35.41246,Tokyo
4,BBH,18,BBH,17152020,952890,0.0666446121543136,0.0658925925925926,441.17112275032,351.901635073831,589.793089438293,0.190323420317636,0.601779667690369,Introduced,-38.78497,Argentina
5,BOI,20,BOI,19670060,983503,0.058433700300191,0.05825,1812.47738071733,957.532127663756,16082.4300298118,0.195782516109393,0.615024805102764,Introduced,-35.31,New Zealand
6,BOU,7,BOU,6103020,871860,0.227115454948853,0.221983673469388,62.8141612254929,55.2465777922524,72.622932183277,0.192210482580233,0.602713374506429,Introduced,45.85504,soEurope
7,CHI,18,CHI,16756740,930930,0.083097193127197,0.0658925925925926,17.0180092068039,16.7469964160495,17.2952459839736,0.190770081918091,0.61268603827073,Introduced,-30.244331,Chile
8,CLE,18,CLE,17551908,975106,0.0660733754814369,0.0658925925925926,1841.75999074241,907.078419682031,Inf,0.195501454109337,0.618237656508386,Introduced,-36.94,New Zealand
9,ESN,9,ESN,8280414,920046,0.158485102797818,0.157392592592593,303.023514783833,212.756970184296,522.422319892292,0.193122050077627,0.608709347192692,Introduced,46.24123,soEurope
10,ESP,20,ESP,19642020,982101,0.0583925857346567,0.05825,2335.70293589133,1086.35507655334,Inf,0.191555171631312,0.603543586109142,Introduced,43.72127,soEurope
11,GAN,10,GAN,9295660,929566,0.137743121268109,0.1369,393.275380521983,266.735670827929,742.005820930733,0.19651765674683,0.619206236711552,Introduced,43.34252,soEurope
12,GOS,13,GOS,12369630,951510,0.0978326965182105,0.0978414201183432,Inf,1233.08971505844,Inf,0.193362823511885,0.60829744316633,Native,34.9555,nonSource
13,GRC,10,GRC,9200460,920046,0.137176962328848,0.1369,1201.45953866653,492.310671257855,Inf,0.19554988296734,0.613394755492559,Introduced,32.62674,soCalifornia
14,GWG,25,GWG,24798400,991936,0.0453790409966007,0.045184,1706.96988878856,1034.4149232429,4827.92808541888,0.193729778716596,0.611934798015592,Native,34.94519,nonSource
15,HIR,24,HIR,23705160,987715,0.0474073767260931,0.0473,3102.26365825222,1387.54619194758,Inf,0.196625655633432,0.621604063312072,Native,34.27547,Seto
16,HOD,10,HOD,9282030,928203,0.139374659217038,0.1369,132.595853373885,113.772704751285,158.580479716519,0.194561346708108,0.613961729270021,Introduced,47.54666,PNW
17,KOJ,26,KOJ,25790336,991936,0.0435194376160984,0.0432526627218935,1247.41944850589,856.708020435773,2282.41691313551,0.198157317722997,0.630785585782042,Native,34.7991,nonSource
18,LDY,19,LDY,18739890,986310,0.0620027259449432,0.0618360110803324,1997.34964436322,977.94986311079,Inf,0.192905244574916,0.611324555186691,Introduced,48.99065,PNW
19,LHE,15,LHE,14522040,968136,0.0820549967676603,0.082,6058.8915547777,1160.81913638976,Inf,0.193231417308414,0.606661941885188,Introduced,44.68641,soEurope
20,LOS,16,LOS,14938576,933661,0.0772989329677593,0.07583125,225.026133071233,195.157900297578,265.345806276358,0.187879167440071,0.597315733522325,Introduced,55.0206,noEurope
21,MAH,18,MAH,17677818,982101,0.0662373353217033,0.0658925925925926,964.830157305713,626.383807561569,2082.95807375243,0.198940624984585,0.626427277738405,Introduced,-36.46,New Zealand
22,MAI,4,MAI,2194512,548628,0.876466957522407,0.50605,0.449943403729255,0.445983240888917,0.45395165667028,0.190548263000534,0.600637845499646,Native,35.515338,nonSource
23,MAL,24,MAL,23772672,990528,0.0474376132857281,0.0473,2420.17497233636,1232.46638268543,57719.0968995959,0.191793840643042,0.607636428065202,Native,37.82314,Miyagi
24,MAT,27,MAT,26744256,990528,0.0415524946665444,0.0414831275720165,4803.28149546423,1796.47005881071,Inf,0.192609635841958,0.610678006142216,Native,38.35186,Miyagi
25,MON,29,MON,28766144,991936,0.0384252798623152,0.0383552913198573,4760.61341367317,1879.54339572784,Inf,0.193815204618999,0.608885847650236,Native,38.90008,Miyagi
26,NEW,19,NEW,18606700,979300,0.0622450477740658,0.0618360110803324,812.847528698718,568.942657533295,1416.01214772904,0.196009937493451,0.61553955761125,Introduced,33.60813,soCalifornia
27,OHK,15,OHK,14542920,969528,0.0819377568359298,0.082,Inf,1971.43409156331,Inf,0.196251161329484,0.62074179069218,Native,34.65528,Tokyo
28,OKA,23,OKA,22685130,986310,0.0499373708060784,0.04962797731569,1075.30269344616,740.213538194426,1955.12059739784,0.197384724547135,0.62573567929005,Native,34.45628,Seto
29,OTA,27,OTA,26820315,993345,0.0417924626213316,0.0414831275720165,1075.50623741651,780.751609574748,1721.91598202826,0.197607484118076,0.621964984119484,Native,33.62537,Seto
30,PES,16,PES,15713616,982101,0.0758058504781365,0.07583125,Inf,1779.75924877535,Inf,0.194401197987234,0.607769312544295,Introduced,32.93318,soCalifornia
31,QB2,20,QB2,19530060,976503,0.0583799033726891,0.05825,2563.93817331128,1131.70063697687,Inf,0.190937422186263,0.604642097802977,Introduced,47.793347,PNW
32,SAM,25,SAM,24728025,989121,0.0452399636809047,0.045184,5954.17318587929,1826.28410271354,Inf,0.193229547936212,0.610177179305457,Native,36.90936,Miyagi
33,SAR,26,SAR,25790336,991936,0.0433855364741667,0.0432526627218935,2506.5752388074,1310.92653881701,26918.0849404619,0.190802575455053,0.602627705391703,Native,44.12084,Akkeshi
