Group.1,PC1,PC2,pc1.cols,Longitude,Latitude,lon.pie,lat.pie,GeneticRegions,popTextCol
AKK,3.18881461336189,-1.78595560565561,#A63603,144.836622,43.02131,146.18,42.01,Akkeshi,black
BAN,-1.59283532735649,-0.560420735409268,#FDAE6B,139.902977,35.41246,143.4634,33.51674,Tokyo,black
GOS,-0.531160366031475,3.08442573262949,#FD8D3C,128.3257,34.9555,127.7598,36.086,nonSource,black
GWG,1.25365513784565,4.87459027663991,#D94801,127.77932,34.94519,124.8383,35.457,nonSource,black
HIR,-3.62799329104861,-0.357117390604066,#FEE6CE,132.266519,34.27547,134.5183,30.58034,Seto,black
KOJ,-0.163320806391463,3.48879059730227,#FD8D3C,128.5829,34.7991,130.61,36.51,nonSource,black
MAI,-2.74911263195379,-3.63290565057104,grey,135.336001,35.515338,134.3858,37.39699,nonSource,black
MAL,0.532533055537847,-1.53520814012217,#F16913,140.954988,37.82314,145.5175,36.76776,Miyagi,black
MAT,0.969303393792003,-1.47715897792572,#F16913,141.058982,38.35186,145.4512,38.419,Miyagi,black
MON,0.301543033831943,-0.642901868025677,#F16913,141.624736,38.90008,145.517,40.071,Miyagi,black
OHK,-0.813843954119188,-0.302410521212867,#FDAE6B,138.918478,34.65528,140.2829,32.62533,Tokyo,black
OKA,-4.25525930064813,-0.385479458488077,#FFF5EB,133.896859,34.45628,136.6386,31.31444,Seto,black
OTA,-2.34245705295351,-0.166228214613762,#FDD0A2,131.193653,33.62537,132.3317,29.84624,Seto,black
SAM,0.657359274005613,-1.10773650728171,#F16913,140.816924,36.90936,145.1199,35.08992,Miyagi,black
SAR,6.59815085753929,-0.488656279396419,#7F2704,143.966724,44.12084,145.7162,45.839,Akkeshi,white
YOJ,0.546268533509474,-2.25746294564119,#F16913,130.562861,31.55863,128.9525,29.53162,Kagoshima,black
YUR,-2.6529528622919,-0.964553902806975,#FDD0A2,134.953667,34.27394,137.765,32.99238,Seto,black
ALB,-1.19483162546342,-0.0688911042173246,#FDAE6B,-118.135526,33.746239,NA,NA,soCalifornia,black
BBH,2.50379277363122,-0.702453678414204,#A63603,-62.29695,-38.78497,NA,NA,Argentina,black
BOI,-3.74640236972506,0.133871872140359,#FEE6CE,174.18,-35.31,NA,NA,New Zealand,black
BOU,2.22400114162617,-0.780856906754278,#D94801,-1.170636,45.85504,-7.152,48.529,soEurope,black
CHI,1.58419204066343,-1.00900158278365,#D94801,-71.491032,-30.244331,NA,NA,Chile,black
CLE,-3.5757382019255,0.280755005695808,#FEE6CE,175.11,-36.94,NA,NA,New Zealand,black
ESN,1.99417220977283,-1.02711132697744,#D94801,-1.219623,46.24123,-1,48.52929,soEurope,black
ESP,2.17498242617486,-1.17557915956316,#D94801,-7.814205,43.72127,-10.603,45.35693,soEurope,black
GAN,1.3957827521681,-1.1955424183128,#D94801,-8.23345,43.34252,-12.703,42.953,soEurope,black
GRC,-0.941374835292733,-0.439166575376962,#FDAE6B,-117.129703,32.62674,NA,NA,soCalifornia,black
HOD,2.49554703002035,-1.56031945882267,#A63603,-123.041383,47.54666,NA,NA,PNW,black
LDY,2.57571934149299,-1.38698620837116,#A63603,-123.808072,48.99065,NA,NA,PNW,black
LHE,1.90466693981566,-1.18238494396118,#D94801,-1.233772,44.68641,-5.0519,45.261,soEurope,black
LOS,2.4872395652988,-0.581713346630031,#A63603,-7.577,55.0206,-10.903,56.508,noEurope,black
MAH,-3.7565483185693,-0.0328697251869416,#FFF5EB,174.71,-36.46,NA,NA,New Zealand,black
NEW,-1.56330223304489,-0.0873780370383182,#FDAE6B,-117.92009,33.60813,NA,NA,soCalifornia,black
PES,-1.16697599912696,-0.276299485035258,#FDAE6B,-117.259885,32.93318,NA,NA,soCalifornia,black
QB2,2.7541693275169,-1.57021333026298,#A63603,-122.856315,47.793347,NA,NA,PNW,black
SBB,2.66127993781119,-1.05677777710711,#A63603,-62.252666,-40.5394,NA,NA,Argentina,black
SVA,2.61405735502583,-1.18906945288284,#A63603,11.1551,58.8684,14.602,60.161,noEurope,black
TJE,-1.13002452683476,-0.494904572723818,#FDAE6B,-117.129165,32.5595,NA,NA,soCalifornia,black
TRO,2.36763905469785,-1.08597098336041,#A63603,8.9067,58.4748,8.301,60.642,noEurope,black
WAD,2.31754602077159,-1.02914255169139,#A63603,8.6222,55.1859,4.70026,55.259,noEurope,black
WLB,2.96138336100773,-1.47694624671556,#A63603,-124.023696,46.46874,NA,NA,PNW,black
