,n,reg
Aki Hiroshima Pref.,17,sea
Busan Korea,23,nonSource
Fukuoka Fukuoka Pref.,10,kag
Fukushima Pref.a,14,hon
Hamamatsu Shizuoka Pref.,34,tok
Handa Aichi Pref.,19,tok
Kitakyushu Fukuoka Pref.,16,kag
Komatsushima Tokushima Pref.,14,sea
Matsue Shimane Pref.,18,nonSource
Mikata Fukui Pref.,15,nonSource
Miyagi Pref.a,22,hon
Niigata Niigata Pref.,18,nonSource
Osaka Osaka Pref.,27,sea
Otaru Hokkaido Pref.,19,hok
Seikai Nagasaki Pref.,5,kag
Shimizu Shizuoka Pref.,25,tok
Shimonoseki Yamaguchi Pref.,17,nonSource
Tokyo Pref.a,50,tok
Urayasu Chiba Pref.,19,tok
Yokkaichi Mie Pref.,10,tok
Yokohama Kanagawa Pref.,12,tok
Northern California SF Bay,144,Cal
Southern California LA,57,Cal
