Site,latitude,longitude,source,gridIDs,sourceID
Toga,39.946263,139.712257,Miura,33661,nonSource
Yamada,39.448173,141.964818,Miura,33911,hon
Nagazura,38.557501,141.457761,Miura,33912,hon
Mangoku,38.426906,141.378696,Miura,33912,hon
Matsushima,38.348101,141.154629,Miura,33912,hon
Torinoumi,38.030071,140.913789,Miura,33787,hon
Matsukawa,37.823002,140.955967,Miura,33788,hon
Obitsu,35.412731,139.897644,Miura,33665,tok
Kumode,34.660896,136.537572,Miura,33291,tok
Tanabe,33.692187,135.389753,Miura,33167,sea
Ibo,34.7798,134.573087,Miura,33041,sea
Kasuga,34.340266,134.095662,Miura,33041,sea
Hiroshima,34.343409,132.326668,Miura,32791,sea
Ariake,32.534332,130.42247,Miura,32543,kag
Boundary,49.025473,-123.051411,GoogleMaps,776,NAm_north
Padila,48.519582,-122.487675,GoogleMaps,902,NAm_north
Bolinus,37.910122,-122.676271,GoogleMaps,913,NAm_south
Elkhorn,36.810362,-121.783331,GoogleMaps,1039,NAm_south
