,n,reg
akk,1,hok
Baegryongdo,1,nonSource
Bangpo,1,nonSource
Chujado,1,nonSource
Daecheon,1,nonSource
Daejung,1,nonSource
Dodooilri,1,nonSource
Dodoosamri,1,nonSource
Dolsando,1,nonSource
Funabashi,1,tok
fut,1,hok
Geokpo,1,nonSource
Gijang,1,nonSource
Hackampo,1,nonSource
Hado,1,nonSource
Haengwon,1,nonSource
Hayase,1,nonSource
hik,1,kag
Hirakawa,1,kag
hit,1,hon
Hoidong,1,nonSource
Ikuno Island,1,sea
Ikutsushima,1,sea
Ilgwoeeri,1,nonSource
Inuwaka,1,tok
Isumi,1,sea
Jigozen,1,sea
Junchun,1,nonSource
Kimnyung,1,nonSource
Konami,1,nonSource
Ku,1,nonSource
Miyako,1,hon
mng,1,hon
mou,1,hon
Myodo,1,nonSource
nag,1,hon
Nagasaki,1,kag
Nashiro,1,nonSource
Nomokuura,1,hon
Nou,1,nonSource
Ockdo,1,nonSource
Odoeeri,1,nonSource
Oidodong,1,nonSource
Origuchi,1,kag
Pyosun,1,nonSource
Qingdaobeach,1,nonSource
Sangjokam,1,nonSource
sar,1,hok
Shimoda,1,tok
Shinmaiko,1,sea
shk,1,kag
shr,1,hok
Solsum,1,nonSource
Soukanzan,1,hon
SouthPrimorye,1,nonSource
Suguchado,1,nonSource
Sungsan,1,nonSource
Taehwagang,1,nonSource
Tanoura,1,kag
Tenjinjima,1,tok
Tsui,1,sea
usu,1,hok
waj,1,kag
Weihai,1,nonSource
Yegye,1,nonSource
Yoshio,1,nonSource
Yura,1,sea
ahd,1,Cali
Askim,1,EU
bam,1,PNW
Batson,1,EU
bdw,1,PNW
bob,1,Cali
boc,1,Cali
boe,1,Cali
Brownsea,1,EU
Buaharbour,1,EU
bwe,1,Cali
Carlingford,1,EU
Christchurch,1,EU
cpt,1,Cali
dac,1,Cali
eld,1,PNW
ElJadida,1,EU
ElkhornSlough,1,Cali
EstuaireduBelon,1,EU
fie,1,Cali
fme,1,EU
frl,1,EU
HorsensFjord,1,EU
hvs,1,Cali
KielWik,1,EU
Koon,1,EU
Locquenole,1,EU
mbm,1,Cali
mbv,1,Cali
moo,1,PNW
oam,1,PNW
oar,1,PNW
Ockero,1,EU
ohp,1,PNW
onb,1,PNW
oy1,1,PNW
oy2,1,PNW
PontdelaCorde,1,EU
ptw,1,PNW
Rantum,1,EU
sfs,1,Cali
spm,1,Cali
spt,1,PNW
StPoldeLeon,1,EU
Strande,1,EU
tmb,1,Cali
Vallda,1,EU
