pop	haplotype	n
pop1	HTJP002	14
pop1	HTJP014	1
pop2	HTJP002	16
pop3	HTJP002	10
pop4	HTJP002	9
pop4	HTJP009	1
pop5	HTJP001	1
pop5	HTJP002	7
pop5	HTJP005	2
pop6	HTJP001	1
pop6	HTJP002	5
pop6	HTJP005	4
pop6	HTJP006	1
pop6	HTJP022	1
pop6	HTJP023	1
pop7	HTJP001	6
pop7	HTJP002	1
pop7	HTJP007	1
pop8	HTJP001	1
pop8	HTJP002	4
pop8	HTJP005	2
pop9	HTJP001	16
pop10	HTJP001	9
pop10	HTJP002	6
pop10	HTJP031	1
pop11	HTJP001	20
pop11	HTJP002	2
pop11	HTJP003	2
pop12	HTJP001	10
pop12	HTJP002	2
pop13	HTJP001	9
pop13	HTJP002	2
pop13	HTJP005	1
pop13	HTJP008	1
pop13	HTJP001	4
pop14	HTJP002	4
pop14	HTJP005	1
pop14	HTJP001	10
pop15	HTJP002	6
pop15	HTJP001	3
pop16	HTJP002	5
pop16	HTJP001	4
pop17	HTJP002	5
pop17	HTJP003	1
pop17	HTJP004	1
pop17	HTJP001	3
pop18	HTJP002	4
pop18	HTJP003	1
pop18	HTJP001	1
pop19	HTJP001	1
pop20	HTJP002	2
pop20	HTJP008	1
pop20	HTJP009	1
pop20	HTJP027	1
pop20	HTJP002	3
pop21	HTJP005	5
pop21	HTJP005	2
pop22	HTJP032	1
pop22	HTJP002	2
pop23	HTJP005	1
pop23	HTJP002	13
pop24	HTJP002sup	2
pop24	HTJP014	1
pop24	HTJP002	3
pop25	HTJP012	1
pop25	HTJP028	1
pop25	HTJP001	2
pop26	HTJP002	8
pop26	HTJP003	1
pop26	HTJP001	3
pop27	HTJP002	3
pop27	HTJP002	6
pop28	HTJP018	1
pop28	HTJP019	1
pop29	HTJP002	2
pop30	HTJP002	3
pop31	HTJP002	12
pop31	HTJP014	1
pop31	HTJP016 	1
pop32	HTJP002	4
pop33	HTJP001	2
pop33	HTJP002	3
pop33	HTJP020	1
pop33	HTJP021	1
pop34	HTJP001	1
pop34	HTJP002	4
pop34	HTJP024	1
pop35	HTJP002	5
pop36	HTJP002	8
pop37	HTJP002	9
pop37	HTJP002sub	1
pop37	HTJP011	1
pop38	HTJP002	12
pop39	HTJP002	2
pop40	HTJP002	4
pop41	HTJP001	1
pop41	HTJP002	1
pop42	HTJP001	1
pop42	HTJP002	5
pop42	HTJP009	1
pop42	HTJP015	1
pop43	HTJP002	7
pop43	HTJP010	1
pop44	HTJP002	8
pop45	HTJP002	13
pop45	HTJP017	1
pop46	HTJP002	14
pop47	HTJP002	10
pop47	HTJP012	1
pop48	HTJP002	14
pop48	HTJP025	1
pop48	HTJP026	1
pop49	HTAC002	6
pop49	HTAC012	1
pop50	HTAC002	6
pop50	HTAC002sub	1
pop51	HTAC001	1
pop51	HTAC002	9
pop51	HTAC003	1
pop51	HTAC004	1
pop51	HTAC008	1
pop52	HTAC002	15
pop52	HTAC002sup	1
pop52	HTAC005	1
pop52	HTAC006	1
pop52	HTAC007	1
pop53	HTJP001	18
pop53	HTJP002	4
pop54	HTJP001	6
pop55	HTJP001	20
pop55	HTJP002	2
pop56	HTJP001	12
pop56	HTJP002	3
pop57	HTJP001	12
pop57	HTJP002	3
pop58	HTJP001	4
pop58	HTJP002	2
pop58	HTJP005	1
pop58	HTAC002	8
pop59	HTJP001	5
pop59	HTJP005	1
pop58	HTAC002	9
pop60	HTJP001	20
pop60	HTJP002	1
pop60	HTJP005	2
