"pop","lat","long","source"
"Bay of Morlaix",48.7487,-3.9062,"EU"
"Jacquets",44.722,-1.1887,"EU"
"Arcachon, Legallais",44.663914,-1.175977,"EU"
"Leucate",42.8778,3.0229,"EU"
"Ischia Is.",40.74439,13.93948,"EU"
"Taranto",40.4323,17.2409,"EU"
"Hiroshima Bay, Oonoseto",34.26,132.25,"sea"
"Kitaibaraki",36.794,140.7575,"tok"
"Moune Bay",38.8965,141.6267,"hon"
"Onagawa Bay",38.4375,141.4617,"hon"
"Gobu-ura Bay",38.398,141.471,"hon"
"Tairacho",32.735,129.825,"kag"
"Carlsbad Aquafarm",33.1416,-117.3382,"Cali"
"San Pedro, Terminal Is.",33.73607,-118.26985,"Cali"
"Normandy",49.356118,0.024266,"EU"
