,n,reg
Ahigezaki,2,hon
Ainohama,2,tok
Akashi,1,sea
Akazumi,1,nonSource
Amagasaki,1,sea
Asamushi,3,nonSource
Bangpo,3,nonSource
Benten Cape,1,nonSource
Dae daepo,1,nonSource
Futamachiya,1,tok
Gamagori,1,tok
Gampo,1,nonSource
Geoje Island,1,nonSource
Hayama,1,tok
Hiraiga,3,hon
Ie-shima,2,sea
Imari,2,kag
Iwaya,3,sea
Izumo,1,nonSource
Kanazawa,2,nonSource
Keyano-oto,1,tok
Kikonai,1,hok
Kirikiri,2,hon
Kobe Port,2,sea
Koujin Beach,2,hon
Kuranomoto,2,kag
Kuryongp’o,3,nonSource
Lake Akkeshi,1,hok
Lake Notoro,3,hok
Maruyama,2,sea
Maze,2,nonSource
Nakai,1,tok
Nakano,1,hon
Nakaumi,3,nonSource
Obama,2,nonSource
Ogatsu,2,tok
Oki Island,3,nonSource
Onyu Is.,1,sea
Oura,1,tok
Ouse,2,hon
Sanouiwa,2,hon
Shidugawa,3,hon
Shikano-shima,2,kag
Shiriya,3,hok
Songdo,1,nonSource
Souma,1,hon
Tajiri,2,sea
Takeno,5,nonSource
Tamasaki,2,tok
Teguma,1,kag
Toba,3,tok
Tonoura,3,sea
Touji,1,sea
Tsuyazaki,1,kag
Wolpo,2,nonSource
Yashiro Is.,1,sea
Yosu,3,nonSource
Yura,1,sea
Zenibako,3,hok
Berghse Diepsluis,1,EuropeNorth
Gorishoek,1,EuropeNorth
Grays Harbor,1,USA
La Jolla,1,USA
Port of Peninsula,1,USA
Roscoff,1,EuropeSouth
Thau Lagoon,2,EuropeSouth
