Locality codea	Collection locality (collection date)	Origin	"Haplotyes (No. samples, Accession No.b)"	Haplotype	Number	Name1	Name2	Country	lat	lon
1	"Gorishoek, Netherlands (Oct, 2005)"	"Hanyuda et al., 2016"	"H5 (1, AB607177/AB607804)"	H5	1	Gorishoek	NA	Netherlands	51.525986	4.076128
2	"Berghse Diepsluis, Netherlands (Oct, 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Berghse Diepsluis	NA	Netherlands	51.514560	4.175259
3	"Roscoff, France (Nov, 2005)"	"Hanyuda et al., 2016"	"H42 (1, AB607185/AB607826)"	H42	1	Roscoff	NA	France	48.725582	-3.982898
4	"Thau Lagoon, France (s Apr. 2002)"	"Hanyuda et al., 2016"	H42 (2)	H42	2	Thau Lagoon	NA	France	43.392462	3.616380
9	"West Port, Grays Harbor, Washington, USA (27 Mar. 2015)"	Present study	"H10 (1, AB607184/AB607804)"	H10	1	Grays Harbor	Washington	USA	47.174417	-123.865883
10	"Port of Peninsula, Washington, USA (17 Jun. 2015)"	Present study	H5 (1)	H5	1	Port of Peninsula	Washington	USA	49.195198	-122.921790
11	"Bird Rock, La Jolla, San Diego, California, USA (14 Jun. 1999)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	La Jolla	San Diego	USA	32.840162	-117.274078
13	"Lake Notoro, Abashiri, Hokkaido, Japan (21 Sep. 2005)"	"Hanyuda et al., 2016"	"H33 (2, AB607185/AB607823), H44 (1, AB607185/AB607827)"	H33	2	Lake Notoro	Abashiri	Japan	44.057960	144.150412
13	"Lake Notoro, Abashiri, Hokkaido, Japan (21 Sep. 2005)"	"Hanyuda et al., 2016"	"H33 (2, AB607185/AB607823), H44 (1, AB607185/AB607827)"	H44	1	Lake Notoro	Abashiri	Japan	44.057960	144.150412
14	"Lake Akkeshi, Akkeshi, Hokkaido, Japan (22 Sep. 2005)"	"Hanyuda et al., 2016"	"H26 (1, AB607185/AB607813)"	H26	1	Lake Akkeshi	Akkeshi	Japan	43.046188	144.896732
15	"Zenibako, Otaru, Hokkaido, Japan (20 Sep. 2005)"	"Hanyuda et al., 2016"	"H16 (2, AB607176/AB607818), H47 (1, AB607176/AB607825)"	H16	2	Zenibako	Otaru	Japan	43.143480	141.159717
15	"Zenibako, Otaru, Hokkaido, Japan (20 Sep. 2005)"	"Hanyuda et al., 2016"	"H16 (2, AB607176/AB607818), H47 (1, AB607176/AB607825)"	H47	1	Zenibako	Otaru	Japan	43.143480	141.159717
