,n,reg
Aomori_Asamushi,5,nonSource
Aomori_Senjoujiki,4,nonSource
Boryong_Daechun,2,nonSource
Buan_Gyukpo,1,nonSource
Chiba_Nagasaki,2,tok
Fukuoka_Shikanoshima,1,kag
Hokkaido_Akkeshi,1,hok
Hokkaido_Asari,1,hok
Hokkaido_Harius,1,hok
Hokkaido_Kitami,1,hok
Hokkaido_Otamoi,2,hok
Hokkaido_Rishiri,1,hok
Hokkaido_Wakkanai,1,hok
Jindo_Hoidong,1,nonSource
Namhaedo_Seosang,1,nonSource
Niigata_Itoigawa,1,nonSource
Sachun_Daebang,1,nonSource
Sinan_Sudori,1,nonSource
Taean_Bangpo,1,nonSource
Taean_Hakampo,1,nonSource
Taean_Manripo,1,nonSource
Taean_Padori,1,nonSource
Tongyong_Songbang,3,nonSource
Oregon_Coos_Bay,2,NAm_north
Washington_San_Juan_Island,1,NAm_north
