,n,reg
AKK,27,hok
BAN,23,tok
GOS,13,nonSource
GWG,25,nonSource
HIR,24,sea
KOJ,26,nonSource
MAI,4,nonSource
MAL,24,hon
MAT,27,hon
MON,29,hon
OHK,15,tok
OKA,23,sea
OTA,27,sea
SAM,25,hon
SAR,26,hok
YOJ,1,kag
YUR,13,sea
ALB,19,soCal
BBH,18,Argentina
BOI,20,New Zealand
BOU,7,France
CHI,18,Chile
CLE,18,New Zealand
ESN,9,France
ESP,20,Spain
GAN,10,Spain
GRC,10,soCal
HOD,10,NW America
LDY,19,NW America
LHE,15,France
LOS,16,Ireland
MAH,18,New Zealand
NEW,19,soCal
PES,16,soCal
QB2,20,NW America
SBB,16,Argentina
SVA,18,Sweden
TJE,11,soCal
TRO,16,Norway
WAD,19,Denmark
WLB,12,NW America
