,n,reg
Amakusa, Japan,4,kag
Atsumi Peninsula, Japan,3,tok
Hachinohe, Japan,4,hon
Hakodate, Japan,8,hok
Hiroshima, Japan,2,sea
Hitachinaka, Japan,9,hon
Mangokuura, Japan,16,hon
Matsushima Bay, Japan,12,hon
Minamisatsuma, Japan,4,kag
Sado Island, Japan,4,nonSource
Sagami Bay, Japan,2,tok
Souma, Japan,1,hon
Tokyo Bay,12,tok
Uchiura Bay, Japan,9,hok
Wando, South Korea,1,nonSource
Boundary Bay, Canada,2,Canada
Lago di Sabaudia, Italy,4,Italy
Lago Fusaro, Italy,5,Italy
Laguna di Orbetello, Italy,1,Italy
Latina, Italy,2,Italy
Le Barcarès, France,3,France
Pléneuf-val-André, France,2,France
Po Delta (Piallassa Baiona, Sacca di Goro), Italy,5,Italy
Pontevedra, Spain,4,Spain
San Francisco Bay, California,12,California
San Juan Islands, Washington,9,Washington
Tomales Bay, California,3,California
