,n,reg
pop10,16,hon
pop11,24,hon
pop12,12,hon
pop13,17,hon
pop14,15,hon
pop15,9,tok
pop16,9,tok
pop17,10,tok
pop18,6,tok
pop19,1,tok
pop2,16,hok
pop20,8,tok
pop21,7,nonSource
pop22,3,nonSource
pop23,14,nonSource
pop24,6,nonSource
pop25,4,tok
pop26,12,tok
pop27,9,tok
pop28,2,sea
pop29,2,sea
pop3,10,hok
pop30,3,sea
pop31,14,sea
pop32,4,sea
pop33,7,sea
pop34,6,sea
pop35,5,nonSource
pop36,8,sea
pop37,11,nonSource
pop38,12,kag
pop39,2,sea
pop4,10,hok
pop40,4,sea
pop41,2,sea
pop42,8,sea
pop43,8,kag
pop44,8,kag
pop45,14,kag
pop46,14,kag
pop47,11,kag
pop48,16,kag
pop49,7,nonSource
pop5,10,hok
pop50,7,nonSource
pop51,13,nonSource
pop52,19,nonSource
pop6,13,hon
pop7,8,hon
pop8,7,hon
pop9,16,hon
pop53,22,NorthEurope
pop54,6,NorthEurope
pop55,22,NorthEurope
pop56,15,NorthEurope
pop57,15,NorthEurope
pop58,24,SouthEurope
pop59,6,SouthEurope
pop60,23,SouthEurope
