,n,reg
Ahigezaki,1,hon
Ainohama,1,tok
Akashi,1,sea
Amagasaki,1,sea
Asamushi,1,nonSource
Benten Cape,1,nonSource
Dae daepo,1,nonSource
Futamachiya,1,tok
Gamagori,1,tok
Geoje Island,1,nonSource
Hayama,1,tok
Hiraiga,1,hon
Imari,1,kag
Izumo,1,nonSource
Kanazawa,1,nonSource
Keyano-oto,1,tok
Kikonai,1,hok
Kobe Port,1,sea
Koujin Beach,1,hon
Kuranomoto,1,kag
Lake Akkeshi,1,hok
Lake Notoro,1,hok
Maruyama,1,hok
Nakai,1,tok
Nakano,1,tok
Nakaumi,1,nonSource
Obama,1,nonSource
Ogatsu,1,tok
Onyu Is.,1,sea
Sanouiwa,1,hon
Shidugawa,1,hon
Shikano-shima,1,kag
Songdo,1,nonSource
Tajiri,1,sea
Takeno,1,nonSource
Tamasaki,1,tok
Teguma,1,kag
Toba,1,tok
Tonoura,1,sea
Touji,1,sea
Tsuyazaki,1,kag
Wolpo,1,nonSource
Yashiro Is.,1,sea
Zenibako,1,hok
Acheron Passage,1,NZ
Aquarium point,1,NZ
Bait Pond,1,NZ
Bauza Island,1,NZ
Berghse Diepsluis,1,EuropeNorth
Blackhead,1,NZ
Boulder Bank,1,NZ
Bowen Channel,1,NZ
Brendan beach,1,NZ
Brighton Beach,1,NZ
Cave Rock,1,NZ
Constant Bay,1,NZ
Copper pad,1,NZ
Deep Cove,1,NZ
Eleanor Island,1,NZ
Evening Point,1,NZ
First Cove,1,NZ
Friendship Head,1,NZ
Gisborne,1,NZ
Gorishoek,1,EuropeNorth
Grays Harbor,1,NAm_south
Halfmoon Bay,1,NZ
Island Bay,1,NZ
Kaka Point,1,NZ
Kakanui Beach,1,NZ
Kemps Beach,1,NZ
Kiritehere,1,NZ
La Jolla,1,NAm_south
Labird Channel,1,NZ
Langs Beach,1,NZ
Lyall Bay west,1,NZ
Lyttelton Marina,1,NZ
Lyttelton Port,1,NZ
Malaspina Reach,1,NZ
Mana marina,1,NZ
Mangamaunu,1,NZ
Mangere Island,1,NZ
Marfells Beach,1,NZ
Marlborough Sounds,1,NZ
Mill Bay creek,1,NZ
Moeraki,1,NZ
Moeraki Boulders,1,NZ
Monkey Island,1,NZ
Napier,1,NZ
Napier Port,1,NZ
Ocean Beach,1,NZ
OiNeill Bay,1,NZ
Onaero,1,NZ
Oponoi,1,NZ
Otago Point,1,NZ
Picton floating dock,1,NZ
Picton Port,1,NZ
Pigeon Bay,1,NZ
Piha,1,NZ
Pohara Wharf,1,NZ
Porirua Harbour,1,NZ
Port Hutt,1,NZ
Port of Peninsula,1,NAm_south
Port Taranaki,1,NZ
Port William,1,NZ
Pukerua Bay,1,NZ
Red Head Island,1,NZ
Riverton Rocks,1,NZ
Roscoff,1,EuropeSouth
Scorching Bay,1,NZ
South of Charleston,1,NZ
Station Islet,1,NZ
Stella base site,1,NZ
Tapeka Point,1,NZ
Tauranga Port,1,NZ
Taylors Mistake,1,NZ
Te Henga,1,NZ
Thau Lagoon,1,EuropeSouth
The Cliff site,1,NZ
Timaru Port,1,NZ
Tirohanga,1,NZ
Titahi Bay,1,NZ
Tricky Cove,1,NZ
Waikawa Bay,1,NZ
Waitangi,1,NZ
Waitara,1,NZ
Wellington Port,1,NZ
Whangatere Inlet,1,NZ
Wharariki,1,NZ
