,ALB,BBH,BOI,BOU,CHI,CLE,ESN,ESP,GAN,GRC,HOD,LDY,LHE,LOS,MAH,NEW,PES,QB2,SBB,SVA,TJE,TRO,WAD,WLB
AKK,2,8,0,3,5,0,1,4,3,0,4,9,7,4,0,1,1,6,5,6,1,4,7,3
BAN,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,3,0,0,0,3,0,0,0
GOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWG,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIR,0,0,6,0,0,6,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0
KOJ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL,1,3,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,3,1
MAT,3,1,0,1,3,0,2,7,1,1,1,1,5,3,0,0,0,4,6,3,1,3,2,1
MON,4,3,3,1,2,1,1,3,2,2,2,5,0,2,3,3,9,2,0,2,3,2,5,0
OHK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OKA,1,0,5,0,2,7,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0
OTA,2,1,6,0,1,4,0,0,0,1,0,0,0,0,3,2,2,0,0,0,1,0,0,0
SAM,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,2,0,0,0,1,1
SAR,0,2,0,2,4,0,4,4,2,0,2,1,2,6,0,0,0,8,3,6,0,7,1,6
YOJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
