Number,Location,Country,Collector(s),Date of sampling,Nmsat,NRad-Seq,Latitude,Longitude,numpop
1,Muroran,Japan,K. Kogame,2006,32,16,42.366719,140.91943,pop01
2,Oshima,Japan,AH. Engelen J. Boavida D. Paulo,2007,32,NA,34.735306,139.355304,pop02
3,Kashikojima,Japan,AH. Engelen J. Boavida D. Paulo,2007,32,16,34.306881,136.818856,pop03
4,Inhoshima,Japan,AH. Engelen J. Boavida D. Paulo RO Santos,2007,29,NA,34.339758,133.188959,pop04
5,Arida,Japan,AH. Engelen J. Boavida D. Paulo RO Santos,2007,32,15,34.084412,135.092751,pop05
6,Anan,Japan,AH. Engelen J. Boavida D. Paulo RO Santos,2007,31,16,33.870628,134.659928,pop06
7,Hiroshima,Japan,AH. Engelen J. Boavida D. Paulo RO Santos,2007,32,15,34.355909,132.405638,pop07
8,Sobol Bay,Russia,A. Skriptsova,2009,11,NA,59.261915,151.499428,pop08
9,Craig,USA AK,D. Garza,2006,1,NA,55.484086,-133.132949,pop09
10,San Juan Island,USA WA,K. Britton-Simmons,2006,24,16,48.541261,-122.998534,pop10
11,Tatoosh Island,USA WA,C. Pfister,2005,18,14,48.391252,-124.73785,pop11
12,Coos Bay,USA OR,D. Haydar J. Carlton,2005,24,7,43.407188,-124.270909,pop12
13,San Francisco (Pier 39),"USA,CA",S. Le Cam S. Bouchemousse,2013,NA,2,37.808673,-122.408694,pop13
14,San Luis Obispo,USA CA,C. Roe BEll,2006,24,NA,35.334117,-120.85115,pop14
15,Crystal Cove,USA CA,J. Smith S. Murray,2005,24,16,33.575366,-117.844321,pop15
16,Laguna Beach,USA CA,J. Smith S. Murray,2005,24,16,33.524263,-117.772962,pop16
17,Enseñada (Playa La Esmeralda),Mexico,AH Engelen,2010,23,NA,28.680438,-114.492593,pop17
18,Punta Baja,Mexico,L. Aguilar-Rosas R. Aguilar-Rosas,2006,24,16,29.953883,-115.806793,pop18
19,Øygarden,Norway,K. Sjøtun T. Aires,2006-2014,46,14,60.267573,5.14246,pop19
20,Kircubbin,UK,F. Mineur,2006,22,16,54.484427,-5.534636,pop20
21,Carnson Point,Ireland,C. Golléty,2011,36,NA,54.6434,-5.870757,pop21
22,Lough Hyne,Ireland,C. Golléty,2011,19,15,51.494583,-9.294258,pop22
23,Widemouth,UK,N. Mieszkowska,2011,32,NA,50.790661,-4.558946,pop23
24,Newquay,UK,N. Mieszkowska,2011,24,NA,50.417064,-5.082209,pop24
25,Porthleven,UK,N. Mieszkowska,2011,24,NA,50.081574,-5.319438,pop25
26,Looe,UK,N. Mieszkowska,2011,24,NA,50.35145,-4.450444,pop26
27,Wembury,UK,N. Mieszkowska,2011,31,15,50.316844,-4.085598,pop27
28,Langerstone Point,UK,N. Mieszkowska,2011,23,NA,50.205259,-3.71057,pop28
29,Brixham,UK,N. Mieszkowska,2011,24,NA,50.403312,-3.510648,pop29
30,Torquay,UK,N. Mieszkowska,2011,24,NA,50.461329,-3.534315,pop30
31,Lyme Regis,UK,N. Mieszkowska,2011,32,NA,50.722306,-2.937423,pop31
32,Osmington Mills,UK,N. Mieszkowska,2011,23,NA,50.634108,-2.376709,pop32
33,Ostende,Belgium,F. Kerckhof,>2000,20,NA,51.241843,2.923782,pop33
34,Audresselles,France,F. Gevaert,2011,32,NA,50.827551,1.589779,pop34
35,Wimereux,France,F. Gevaert,2011,32,16,50.784014,1.602957,pop35
36,Blainville sur Mer,France,J.-C. Leclerc,2011,32,NA,49.073524,-1.60791,pop36
37,Saint-Malo,France,L. Levêque F. Viard,2011,32,NA,48.640607,-2.034789,pop37
38,Saint-Cast,France,R. Lasbleiz F. Riquet,2011,32,NA,48.621789,-2.239618,pop38
39,Bréhat,France,L. Levêque F. Viard and colleagues,2009,32,NA,48.853302,-3.002035,pop39
40,Perros-Guirec,France,L. Levêque F. Viard,2011,32,NA,48.809644,-3.430866,pop40
41,Trébeurden,France,L. Levêque F. Viard,2011,32,NA,48.792066,-3.572084,pop41
42,Carantec,France,C. Daguin-Thiébaut,2011,32,NA,48.663548,-3.902309,pop42
43,Roscoff,France,"L. Levêque, T. Aires",2006-2014,45,14,48.717083,-3.992663,pop43
44,Cléder,France,S. Bouchemousse L. Noel F. Viard,2011,32,NA,48.695061,-4.134866,pop44
45,Aber Wrac'h,France,M. Camusat Y. Fontana,2011,32,NA,48.595625,-4.559142,pop45
46,Plouzané,France,V. Stiger,2011,32,NA,48.355614,-4.563959,pop46
47,Camaret,France,L. Levêque W. Thomas,2011,32,NA,48.260686,-4.614037,pop47
48,Concarneau,France,S. Bouchemousse C. Daguin-Thiébaut,2011,32,NA,47.867958,-3.914412,pop48
49,Ploemeur,France,V. Stiger,2011,32,NA,47.714141,-3.477169,pop49
50,Quiberon,France,L. Levêque and colleagues,2011,32,NA,47.477966,-3.119577,pop50
51,Thau (Sète),France,N. Bierne,2011,32,16,43.418785,3.690447,pop51
52,La Coruña,Spain,L. Couceiro A. Geoffroy S. Krueger-Hadfield S. Mauger,2011,31,NA,43.374597,-8.405474,pop52
53,Viana de Castelo (Montedor),Portugal,L. Couceiro A. Geoffroy S. Krueger-Hadfield S. Mauger,2011,32,NA,41.745754,-8.877904,pop53
54,Porto (Leça de Palmeira North),Portugal,L. Couceiro A. Geoffroy S. Krueger-Hadfield S. Mauger,2011,31,16,41.184563,-8.708702,pop54
55,Sidi Bouzid,Morocco,T. Aires,2014,24,16,33.228509,-8.555216,pop55
