Locality codea	Collection locality (collection date)	Origin	"Haplotyes (No. samples, Accession No.b)"	Haplotype	Number	Name1	Name2	Country	lat	lon
1	"Gorishoek, Netherlands (Oct, 2005)"	"Hanyuda et al., 2016"	"H5 (1, AB607177/AB607804)"	H5	1	Gorishoek	NA	Netherlands	51.5259855	4.0761281
2	"Berghse Diepsluis, Netherlands (Oct, 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Berghse Diepsluis	NA	Netherlands	51.510006	4.174968
3	"Roscoff, France (Nov, 2005)"	"Hanyuda et al., 2016"	"H42 (1, AB607185/AB607826)"	H42	1	Roscoff	NA	France	48.7255816	-3.9828983
4	"Thau Lagoon, France (s Apr. 2002)"	"Hanyuda et al., 2016"	H42 (2)	H42	2	Thau Lagoon	NA	France	24.4699187	54.3809072
5	"Melbourne, Australia (21 Jul. 2004, 22 Jul. 2004)"	"Hanyuda et al., 2016"	H5 (2)	H5	2	Melbourne	NA	Australia	-37.8142176	144.9631608
6	"Hobart, Tasmania, Austalia (10 Feb. 2005)"	"Hanyuda et al., 2016"	H5 (3)	H5	3	Hobart	Tasmania	Austalia	-42.8825088	147.3281233
7	"Newcastle, Australia (8 Feb. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Newcastle	NA	Australia	54.9738474	-1.6131572
8	"Vancouver, Australia (16 Jul. 2006)"	"Hanyuda et al., 2016"	H5 (2)	H5	2	Vancouver	NA	Australia	49.2608724	-123.113952
9	"West Port, Grays Harbor, Washington, USA (27 Mar. 2015)"	Present study	"H10 (1, AB607184/AB607804)"	H10	1	Grays Harbor	Washington	USA	47.1744169	-123.8658829
10	"Port of Peninsula, Washington, USA (17 Jun. 2015)"	Present study	H5 (1)	H5	1	Port of Peninsula	Washington	USA	49.1951976	-122.9217901
11	"Bird Rock, La Jolla, San Diego, California, USA (14 Jun. 1999)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	La Jolla	San Diego	USA	32.8401623	-117.2740777
12	"Perto Montt, Mexico (2 Jan. 2007)"	"Hanyuda et al., 2016"	H5 (4)	H5	4	Perto Montt	NA	Mexico	-23.2335499	17.3231107
13	"Lake Notoro, Abashiri, Hokkaido, Japan (21 Sep. 2005)"	"Hanyuda et al., 2016"	"H33 (2, AB607185/AB607823), H44 (1, AB607185/AB607827)"	H33	2	Lake Notoro	Abashiri	Japan	44.05796015	144.1504122
13	"Lake Notoro, Abashiri, Hokkaido, Japan (21 Sep. 2005)"	"Hanyuda et al., 2016"	"H33 (2, AB607185/AB607823), H44 (1, AB607185/AB607827)"	H44	1	Lake Notoro	Abashiri	Japan	44.05796015	144.1504122
14	"Lake Akkeshi, Akkeshi, Hokkaido, Japan (22 Sep. 2005)"	"Hanyuda et al., 2016"	"H26 (1, AB607185/AB607813)"	H26	1	Lake Akkeshi	Akkeshi	Japan	43.0461882	144.8967318
15	"Zenibako, Otaru, Hokkaido, Japan (20 Sep. 2005)"	"Hanyuda et al., 2016"	"H16 (2, AB607176/AB607818), H47 (1, AB607176/AB607825)"	H16	2	Zenibako	Otaru	Japan	43.1434795	141.1597171
15	"Zenibako, Otaru, Hokkaido, Japan (20 Sep. 2005)"	"Hanyuda et al., 2016"	"H16 (2, AB607176/AB607818), H47 (1, AB607176/AB607825)"	H47	1	Zenibako	Otaru	Japan	43.1434795	141.1597171
16	"Kikonai, Hokkaido, Japan (3 Jul. 2000)"	"Hanyuda et al., 2016"	"H20 (1, AB607185/AB607817)"	H20	1	Kikonai	Hokkaido	Japan	41.6784387	140.43763
17	"Asamushi, Aomori Pref., Japan (19 Sep. 2005)"	"Hanyuda et al., 2016"	"H9 (3, AB607179/AB607804)"	H9	3	Asamushi	Aomori Pref.	Japan	40.8895447	140.8656119
18	"Shiriya, Aomori Pref., Japan (9 Aug. 2014)"	Present study	"H50 (3, AB607185/ LC217737)"	H50	3	Shiriya	Aomori Pref.	Japan	12.6693903	75.0856619
19	"Ahigezaki, Hachinohe, Aomori Pref., Japan (25 Fe. 2015)"	Present study	H50 (2)	H50	2	Ahigezaki	Hachinohe	Japan	40.5122388	141.4882959
20	"Nakano, Iwate Pref., Japan (24 Feb. 2015)"	Present study	H9 (1)	H9	1	Nakano	Iwate Pref.	Japan	35.718123	139.664468
21	"Hiraiga, Iwate Pref., Japan (22 Apr. 2015)"	Present study	H9 (3)	H9	3	Hiraiga	Iwate Pref.	Japan	39.698323	142.028678
22	"Sanouiwa, Iwate Pref., Japan (7 Jun. 2015)"	Present study	H10 (2)	H10	2	Sanouiwa	Iwate Pref.	Japan	39.867747	141.9827
23	"Koujin Beach, Iwate Pref., Japan (21 Apr. 2015)"	Present study	"H9 (1), H49 (1, AB607181/AB607804)"	H9	1	Koujin Beach	Iwate Pref.	Japan	39.870912	141.978199
23	"Koujin Beach, Iwate Pref., Japan (21 Apr. 2015)"	Present study	"H9 (1), H49 (1, AB607181/AB607804)"	H49	1	Koujin Beach	Iwate Pref.	Japan	39.870912	141.978199
24	"Kirikiri, Iwate Pref., Japan (21 Apr. 2015)"	Present study	H9 (2)	H9	2	Kirikiri	Iwate Pref.	Japan	12.845056	1.040959
25	"Ainohama, Iwate Pref., Japan (21 Apr. 2015)"	Present study	H49 (2)	H49	2	Ainohama	Iwate Pref.	Japan	34.9247898	139.8316843
26	"Shidugawa, Miyagi Pref., Japan (21 May 2015)"	Present study	"H5 (1), H9 (2)"	H5	1	Shidugawa	Miyagi Pref.	Japan	38.6915285	141.2772712
26	"Shidugawa, Miyagi Pref., Japan (21 May 2015)"	Present study	"H5 (1), H9 (2)"	H9	2	Shidugawa	Miyagi Pref.	Japan	38.6915285	141.2772712
27	"Ogatsu, Ishinomaki, Miyagi Pref., Japan (20 Jul. 2005)"	"Hanyuda et al., 2016"	H5 (2)	H5	2	Ogatsu	Ishinomaki	Japan	35.658158	139.5119656
28	"Souma, Fukushima Pref., Japan (21 Feb. 2005)"	"Hanyuda et al., 2016"	H10 (1)	H10	1	Souma	Fukushima Pref.	Japan	14.12338	14.036015
29	"Ouse, Hitachi, Ibaraki Pref., Japan (16 Nov. 2005)"	"Hanyuda et al., 2016"	H5 (2)	H5	2	Ouse	Hitachi	Japan	50.9867123	0.0065386
30	"Kanazawa, Yokohama, Konagwa Pref., Japan (5 Jun. 2005)"	"Hanyuda et al., 2016"	"H6 (2, AB607177/AB607802)"	H6	2	Kanazawa	Yokohama	Japan	36.5780499	136.6480247
31	"Hayama, Kanagawa Pref., Japan (28 Apr. 2005)"	"Hanyuda et al., 2016"	"H7 (1, AB607177/AB607803)"	H7	1	Hayama	Kanagawa Pref.	Japan	35.2729088	139.5931769
32	"Futamachiya, Miura, Kanagawa Pref., Japan (16 Sep. 2005)"	"Hanyuda et al., 2016"	H6 (1)	H6	1	Futamachiya	Miura	Japan	35.2731663	139.6018863
33	"Oura, Shimoda, Shizuoka Pref., Japan (17 Sep. 2005)"	"Hanyuda et al., 2016"	H6 (1)	H6	1	Oura	Shimoda	Japan	41.6158467	-7.5683924
34	"Touji, Shimoda, Shizuoka Pref., Japan (29 Apr. 2005)"	"Hanyuda et al., 2016"	H5 (1)	H5	1	Touji	Shimoda	Japan	34.9806311	135.7477192
35	"Gamagori, Aichi Pref., Japan (8 Jun. 2005)"	"Hanyuda et al., 2016"	H7 (1)	H7	1	Gamagori	Aichi Pref.	Japan	34.833929	137.225163
36	"Toba, Mie Pref., Japan (12 Jun. 2005)"	"Hanyuda et al., 2016"	H6 (3)	H6	3	Toba	Mie Pref.	Japan	34.4714464	136.8293576
37	"Benten Cape, Sado, Niigata Pref., Japan (12 Jun. 2005)"	"Hanyuda et al., 2016"	"H34 (1, AB607187/AB607823)"	H34	1	Benten Cape	Sado	Japan	38.0076668	138.5466233
38	"Tamasaki, Sado, Niigata Pref., Japan (13 Jun. 2005)"	"Hanyuda et al., 2016"	"H37 (1, AB607187/AB607824), H44 (1)"	H37	1	Tamasaki	Sado	Japan	35.5307615	140.0716478
38	"Tamasaki, Sado, Niigata Pref., Japan (13 Jun. 2005)"	"Hanyuda et al., 2016"	"H37 (1, AB607187/AB607824), H44 (1)"	H44	1	Tamasaki	Sado	Japan	35.5307615	140.0716478
39	"Maze, Niigata, Niigata Pref., Japan (2 Jan. 2006)"	"Hanyuda et al., 2016"	"H35 (1, AB607188/AB607822), H36 (1, AB607188/AB607824)"	H35	1	Maze	Niigata	Japan	47.4576317	-0.289374904
39	"Maze, Niigata, Niigata Pref., Japan (2 Jan. 2006)"	"Hanyuda et al., 2016"	"H35 (1, AB607188/AB607822), H36 (1, AB607188/AB607824)"	H36	1	Maze	Niigata	Japan	47.4576317	-0.289374904
40	"Nakai, Anamizu, Ishikawa Pref., Japan (20 Jun. 2006)"	"Hanyuda et al., 2016"	"H45 (1, AB607185/AB607828)"	H45	1	Nakai	Anamizu	Japan	35.334473	139.220648
41	"Akazumi, Shik, Ishikawa Pref., Japan (Sep. 2005)"	"Hanyuda et al., 2016"	"H43 (1, AB607181/AB607827)"	H43	1	Akazumi	Shik	Japan	29.6414426	129.684273
42	"Obama, Fukui Pref., Japan (9 Jun. 2005)"	"Hanyuda et al., 2016"	H44 (2)	H44	2	Obama	Fukui Pref.	Japan	35.4938281	135.7446614
43	"Takeno, Hyogo Pref., Japan (8 May 2005)"	"Hanyuda et al., 2016"	"H12 (1, AB607180/AB607813), H15 (1, AB607178/AB607818), H17 (1, AB607185/AB607818), H21 (1, AB607185/AB607816), H38 (1, AB607185/AB607824)"	H12	1	Takeno	Hyogo Pref.	Japan	35.6499609	134.7563763
43	"Takeno, Hyogo Pref., Japan (8 May 2005)"	"Hanyuda et al., 2016"	"H12 (1, AB607180/AB607813), H15 (1, AB607178/AB607818), H17 (1, AB607185/AB607818), H21 (1, AB607185/AB607816), H38 (1, AB607185/AB607824)"	H15	1	Takeno	Hyogo Pref.	Japan	35.6499609	134.7563763
43	"Takeno, Hyogo Pref., Japan (8 May 2005)"	"Hanyuda et al., 2016"	"H12 (1, AB607180/AB607813), H15 (1, AB607178/AB607818), H17 (1, AB607185/AB607818), H21 (1, AB607185/AB607816), H38 (1, AB607185/AB607824)"	H17	1	Takeno	Hyogo Pref.	Japan	35.6499609	134.7563763
43	"Takeno, Hyogo Pref., Japan (8 May 2005)"	"Hanyuda et al., 2016"	"H12 (1, AB607180/AB607813), H15 (1, AB607178/AB607818), H17 (1, AB607185/AB607818), H21 (1, AB607185/AB607816), H38 (1, AB607185/AB607824)"	H21	1	Takeno	Hyogo Pref.	Japan	35.6499609	134.7563763
43	"Takeno, Hyogo Pref., Japan (8 May 2005)"	"Hanyuda et al., 2016"	"H12 (1, AB607180/AB607813), H15 (1, AB607178/AB607818), H17 (1, AB607185/AB607818), H21 (1, AB607185/AB607816), H38 (1, AB607185/AB607824)"	H38	1	Takeno	Hyogo Pref.	Japan	35.6499609	134.7563763
44	"Amagasaki, Hyogo Pref., Japan (Mar. 2005)"	"Hanyuda et al., 2016"	"H41 (1, AB607185/AB607825)"	H41	1	Amagasaki	Hyogo Pref.	Japan	34.7288995	135.412989
45	"Kobe Port, Hyogo Pref., Japan (17 Nov. 2005, 25 may 2005)"	"Hanyuda et al., 2016"	"H30 (2, AB607185/AB607820), H33 (1)"	H30	2	Kobe Port	Hyogo Pref.	Japan	34.6662787	135.2188868
46	"Iwaya, Awaji I., Hyogo Pref., Japan (26 May 2005, 28 Apr. 2005)"	"Hanyuda et al., 2016"	"H32 (1, AB607185/AB607822), H33 (1), H41 (1)"	H32	1	Iwaya	Awaji I.	Japan	6.504167	3.391944
46	"Iwaya, Awaji I., Hyogo Pref., Japan (26 May 2005, 28 Apr. 2005)"	"Hanyuda et al., 2016"	"H32 (1, AB607185/AB607822), H33 (1), H41 (1)"	H33	1	Iwaya	Awaji I.	Japan	6.504167	3.391944
46	"Iwaya, Awaji I., Hyogo Pref., Japan (26 May 2005, 28 Apr. 2005)"	"Hanyuda et al., 2016"	"H32 (1, AB607185/AB607822), H33 (1), H41 (1)"	H41	1	Iwaya	Awaji I.	Japan	6.504167	3.391944
47	"Akashi, Hyogo Pref., Japan (28 Apr. 2005)"	"Hanyuda et al., 2016"	H32 (1)	H32	1	Akashi	Hyogo Pref.	Japan	34.6832635	134.9476925
48	"Yura, Sumoto, Hyogo Pref., Japan (25 Apr. 2005)"	"Hanyuda et al., 2016"	H7 (2)	H7	1	Yura	Sumoto	Japan	46.7833625	5.783285726
49	"Maruyama, Minamiawaji, Hyogo Pref., Japan (25 Apr. 2005, 12 May 2005)"	"Hanyuda et al., 2016"	"H30 (1), H42 (1)"	H30	2	Maruyama	Minamiawaji	Japan	43.0472847	141.3165501
