indID,popID,country,lonInd,latInd,hapInd
ind_1,Pop1,Korea,129.203815,35.179616,hap_11
ind_2,Pop2,Korea,129.195674,35.163099,hap_11
ind_3,Pop3,Korea,128.55348,38.276487,hap_10
ind_4,Pop3,Korea,128.55348,38.276487,hap_12
ind_5,Pop4,Korea,128.906105,37.800932,hap_1
ind_6,Pop5,Korea,128.681476,34.739157,hap_13
ind_7,Pop6,Korea,129.452771,35.657666,hap_10
ind_8,Pop7,Korea,126.945688,33.458297,hap_1
ind_9,Pop8,Korea,126.708384,37.120306,hap_10
ind_10,Pop9,Korea,126.055864,36.241214,hap_1
ind_11,Pop10,Korea,126.291042,36.800416,hap_10
ind_12,Pop11,Korea,126.406415,36.394663,hap_10
ind_13,Pop12,Korea,126.30467,34.568659,hap_10
ind_14,Pop13,Korea,126.219598,34.535096,hap_10
ind_15,Pop14,China Japan,122.210616,9.973612,hap_10
ind_16,Pop14,China Japan,122.210616,9.973612,hap_10
ind_17,Pop14,China Japan,122.210616,9.973612,hap_10
ind_18,Pop14,China Japan,122.210616,9.973612,hap_10
ind_19,Pop14,China Japan,122.210616,9.973612,hap_10
ind_20,Pop14,China Japan,122.210616,9.973612,hap_10
ind_21,Pop14,China Japan,122.210616,9.973612,hap_1
ind_22,Pop15,China Japan,141.248315,45.238924,hap_1
ind_23,Pop15,China Japan,141.248315,45.238924,hap_1
ind_24,Pop15,China Japan,141.248315,45.238924,hap_1
ind_25,Pop15,China Japan,141.248315,45.238924,hap_1
ind_26,Pop15,China Japan,141.248315,45.238924,hap_1
ind_27,Pop15,China Japan,141.248315,45.238924,hap_1
ind_28,Pop16,China Japan,140.875443,43.206947,hap_1
ind_29,Pop16,China Japan,140.875443,43.206947,hap_1
ind_30,Pop16,China Japan,140.875443,43.206947,hap_1
ind_31,Pop16,China Japan,140.875443,43.206947,hap_3
ind_32,Pop17,China Japan,140.438809,41.660986,hap_1
ind_33,Pop17,China Japan,140.438809,41.660986,hap_1
ind_34,Pop17,China Japan,140.438809,41.660986,hap_1
ind_35,Pop17,China Japan,140.438809,41.660986,hap_2
ind_36,Pop17,China Japan,140.438809,41.660986,hap_2
