,n,reg
akk,44,hok
dae,22,nonSource
don,21,nonSource
ftr,9,tok
fut,34,hok
gye,31,nonSource
hay,16,nonSource
hik,11,kag
hir,24,kag
hit,8,hon
ikn,15,sea
ikt,13,sea
isu,16,sea
jig,23,sea
jin,44,nonSource
jon,26,nonSource
kae,18,kag
mng,15,hon
mou,8,hon
nag,23,tok
odo,9,nonSource
ori,14,kag
qin,23,nonSource
ron,13,nonSource
sar,6,hok
shb,22,kag
shk,26,kag
shm,5,sea
shr,26,hok
sou,16,hon
tan,20,kag
ten,24,tok
tsu,6,sea
usu,16,hok
waj,41,kag
yos,11,tok
yur,15,sea
bam,28,PNW
bob,7,Cali
bom,26,EuropeNorth
car,10,EuropeNorth
dhd,14,EuropeNorth
dia,15,EuropeSouth
eld,1,PNW
elk,46,Cali
ens,12,Cali
est,16,EuropeSouth
far,24,EuropeSouth
fdm,12,EuropeSouth
fme,10,EuropeSouth
fpa,11,EuropeSouth
frl,23,EuropeSouth
gaf,20,EuropeSouth
gal,9,EuropeSouth
hei,19,EuropeNorth
man,25,EuropeNorth
moo,14,PNW
nib,5,EuropeNorth
nor,29,EuropeNorth
pol,23,EuropeSouth
ptw,7,PNW
tmb,15,Cali
