,n,reg
32791,31,sea
32916,29,sea
33042,31,sea
33166,31,sea
33291,32,tok
33666,32,tok
33783,32,hok
652,19,PNW
902,24,PNW
1165,24,Cali
1542,48,Cali
15024,19,EuropeNorth
15157,31,EuropeSouth
15159,63,EuropeSouth
15521,58,EuropeNorth
15525,48,EuropeNorth
15650,87,EuropeNorth
15652,128,EuropeSouth
15775,71,EuropeNorth
15777,173,EuropeSouth
15778,96,EuropeSouth
15900,55,EuropeNorth
15902,64,EuropeSouth
16026,32,EuropeSouth
16400,64,EuropeSouth
16524,20,EuropeNorth
16657,32,EuropeSouth
16890,46,EuropeNorth
