,n,reg
Pop1,1,nonSource
Pop10,1,nonSource
Pop11,1,nonSource
Pop12,1,nonSource
Pop13,1,nonSource
Pop16,4,hok
Pop17,5,hok
Pop18,7,hok
Pop19,6,hok
Pop2,1,nonSource
Pop20,11,hok
Pop21,3,nonSource
Pop22,5,kag
Pop23,1,kag
Pop24,3,kag
Pop25,3,sea
Pop26,2,sea
Pop27,7,sea
Pop28,4,sea
Pop29,5,sea
Pop3,2,nonSource
Pop30,4,tok
Pop31,3,tok
Pop32,2,tok
Pop33,1,tok
Pop34,2,tok
Pop35,5,tok
Pop36,3,hon
Pop37,8,hon
Pop4,1,nonSource
Pop5,1,nonSource
Pop6,1,nonSource
Pop7,1,nonSource
Pop8,1,nonSource
Pop9,1,nonSource
Pop38,4,USA
Pop39,5,USA
Pop40,2,USA
Pop42,2,New Zealand
Pop43,2,New Zealand
Pop44,1,New Zealand
Pop45,2,New Zealand
Pop46,5,New Zealand
Pop47,5,New Zealand
Pop48,5,New Zealand
Pop49,6,New Zealand
Pop50,7,New Zealand
Pop51,3,New Zealand
Pop52,4,New Zealand
Pop53,4,New Zealand
Pop54,3,New Zealand
Pop55,3,New Zealand
Pop56,6,New Zealand
Pop57,3,New Zealand
Pop58,3,New Zealand
Pop59,3,New Zealand
Pop60,3,New Zealand
Pop61,1,New Zealand
Pop62,4,New Zealand
Pop70,2,France
Pop71,2,France
