,ALB,BBH,BOI,BOU,CHI,CLE,ESN,ESP,GAN,GRC,HOD,LDY,LHE,LOS,MAH,NEW,PES,QB2,SBB,SVA,TJE,TRO,WAD,WLB
AKK,2,8,0,4,7,0,1,5,4,0,3,5,2,6,0,1,0,8,6,4,1,5,10,5
BAN,3,0,2,0,1,0,0,0,0,6,0,0,0,0,0,9,8,0,0,0,3,1,0,0
GOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIR,1,0,5,0,0,4,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0
KOJ,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAL,0,0,0,0,2,0,1,1,0,0,0,1,2,1,1,0,2,0,3,0,1,0,1,0
MAT,2,2,0,0,1,0,3,3,2,1,1,4,4,4,0,2,0,3,2,3,1,2,2,0
MON,5,3,2,0,0,1,2,6,3,0,1,5,2,1,3,4,2,4,1,3,1,3,1,2
OHK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OKA,1,0,6,0,2,10,0,0,0,1,0,0,0,0,8,0,2,0,0,0,0,0,0,0
OTA,2,0,5,0,0,2,0,0,0,1,0,0,0,0,1,3,1,0,0,0,4,0,0,0
SAM,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0
SAR,0,4,0,3,5,0,2,5,1,0,4,3,3,4,0,0,0,5,4,7,0,5,5,5
YOJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
