Sample,BioSample.x,SampleName.x,location,Region,pop,Latitude,Longitude,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,BioSample.y,SampleType,TaxID,ScientificName,SampleName.y,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRS2533224,SAMN07347681,  13_9, China:Canada,China,ANG,,,SRR6063108,2018-07-30 10:46:14,2017-09-23 16:27:01,51602428,9288437040,51602428,180,6229,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063108/SRR6063108.1,SRX3208127,wHAIPI013880-96,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347681,simple,29159,Crassostrea gigas,13_9,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,24FB2D3E097EC6ACC52D2DD9364678CE,5CDCDD27E8950151FDFFA74C1FDFBD7D
SRS2533226,SAMN07347677,  13_5, China:Canada,China,ANG,,,SRR6063104,2018-07-30 10:46:14,2017-09-23 16:12:47,46726829,8410829220,46726829,180,5515,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063104/SRR6063104.1,SRX3208131,wHAIPI012677-25,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347677,simple,29159,Crassostrea gigas,13_5,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,BA7EB148E12C234E0B08A66C601D8CA8,EB6A8AD8FC81B6B47DD67D0AE6325BC3
SRS2533227,SAMN07347678,  13_6, China:Canada,China,ANG,,,SRR6063105,2018-07-30 10:46:14,2017-09-23 16:11:28,43922719,7906089420,43922719,180,5169,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063105/SRR6063105.1,SRX3208130,wHAIPI012678-26,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347678,simple,29159,Crassostrea gigas,13_6,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,66B92D0B4CEFB8BC81A9F955406872CA,57AE029ABF6A1A08F49FEE8BD01A76D4
SRS2533228,SAMN07347680,  13_8, China:Canada,China,ANG,,,SRR6063103,2018-07-30 10:46:14,2017-09-23 16:38:24,47345183,8522132940,47345183,180,5572,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063103/SRR6063103.1,SRX3208132,wHAIPI012680-30,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347680,simple,29159,Crassostrea gigas,13_8,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,DBE1A9CE26737264424160022579638E,BFE5306CAB0D3FE788242853C54E249D
SRS2533229,SAMN07347679,  13_7, China:Canada,China,ANG,,,SRR6063102,2018-07-30 10:46:14,2017-09-23 16:28:12,40191950,7234551000,40191950,180,4724,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6063102/SRR6063102.1,SRX3208133,wHAIPI012679-29,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347679,simple,29159,Crassostrea gigas,13_7,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,E7DC4ED438EE5A68DC2B2CCD4268E95B,6F46C13365FC086DFD86B21A08BAD1EB
SRS2533347,SAMN07347671,  13_2, China:Canada,China,ANG,,,SRR6062984,2018-07-30 10:46:17,2017-09-23 16:17:47,46125707,8302627260,46125707,180,5427,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6062984/SRR6062984.1,SRX3208251,wHAIPI012676-24,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347671,simple,29159,Crassostrea gigas,13_2,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,A747ED50EACBEE4ADFB59D2ED9B211E2,2863D423A4502B54B0B8A733979E000C
SRS2533348,SAMN07347667,  13_1, China:Canada,China,ANG,,,SRR6062987,2018-07-30 10:46:17,2017-09-23 15:59:09,44914749,8084654820,44914749,180,5293,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6062987/SRR6062987.1,SRX3208252,wHAIPI012675-21,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347667,simple,29159,Crassostrea gigas,13_1,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,6E2612E626D6D85DB68543CE68E7E3AF,62778C579FD394E9EFE28D7BD710511E
SRS2533349,SAMN07347674,  13_24, China:Canada,China,ANG,,,SRR6062981,2018-07-30 10:46:17,2017-09-23 16:14:11,84307882,15175418760,84307882,180,10144,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6062981/SRR6062981.1,SRX3208254,wHAIPI012889-43,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347674,simple,29159,Crassostrea gigas,13_24,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,69019793F6820DAB0F3D8D9FF4D3B90A,7204D4452AABA3802882E2819D003707
SRS2533350,SAMN07347668,  13_10, China:Canada,China,ANG,,,SRR6062986,2018-07-30 10:46:17,2017-09-23 16:56:22,93921098,16905797640,93921098,180,11423,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6062986/SRR6062986.1,SRX3208253,wHAIPI012888-41,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347668,simple,29159,Crassostrea gigas,13_10,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,86875E6A81E763AEC51FF062E05C78EC,AAB196EDA040A1DE7B675B290DAFFB6E
SRS2533351,SAMN07347669,  13_11, China:Canada,China,ANG,,,SRR6062985,2018-07-30 10:46:17,2017-09-23 16:19:20,62861309,11315035620,62861309,180,7642,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6062985/SRR6062985.1,SRX3208255,wHAIPI013879-95,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP118736,PRJNA394055,NA,394055,SAMN07347669,simple,29159,Crassostrea gigas,13_11,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,BGI,SRA612020,NA,public,C76488B0B09C50E3428B050B27A62082,44E59A01A981916948200BF3B156C42E
