"pop","file","mapped","unmapped","mappedMQ0","id","mappedProp","mappedPropMQ0","fullpath","lib","paralogRemoved","PopID.alt","truepop","Abbreviation","Region","Date_of_Collection","Latitude","Longitude","Collector","Notes"
"AKK","AKK_01_bwa.np.bam",2050132,158803,668984,"AKK_01",0.928,0.326,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_01_bwa.np.bam","finalFastq",TRUE,"","AKK","Akkeshi","Japan","August2017",43.021313,144.836622,"Yorisue/Nakaoka",""
"AKK","AKK_07_bwa.np.bam",1110278,88857,320272,"AKK_07",0.926,0.288,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_07_bwa.np.bam","finalFastq",TRUE,"","AKK","Akkeshi","Japan","August2017",43.021313,144.836622,"Yorisue/Nakaoka",""
"AKK","AKK_02_bwa.np.bam",2917377,256423,887411,"AKK_02",0.919,0.304,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_02_bwa.np.bam","finalFastq",TRUE,"","AKK","Akkeshi","Japan","August2017",43.021313,144.836622,"Yorisue/Nakaoka",""
"AKK","AKK_05_bwa.np.bam",2468146,205007,763269,"AKK_05",0.923,0.309,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_05_bwa.np.bam","finalFastq",TRUE,"","AKK","Akkeshi","Japan","August2017",43.021313,144.836622,"Yorisue/Nakaoka",""
"AKK","AKK_06_bwa.np.bam",943791,79907,268545,"AKK_06",0.922,0.285,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_06_bwa.np.bam","finalFastq",TRUE,"","AKK","Akkeshi","Japan","August2017",43.021313,144.836622,"Yorisue/Nakaoka",""
"AKK","AKK_11_bwa.np.bam",2831914,243382,873172,"AKK_11",0.921,0.308,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_11_bwa.np.bam","finalFastq",TRUE,"","AKK","Akkeshi","Japan","August2017",43.021313,144.836622,"Yorisue/Nakaoka",""
"AKK","AKK_12_bwa.np.bam",975979,76081,279954,"AKK_12",0.928,0.287,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_12_bwa.np.bam","finalFastq",TRUE,"","AKK","Akkeshi","Japan","August2017",43.021313,144.836622,"Yorisue/Nakaoka",""
"AKK","AKK_13_bwa.np.bam",1133175,90117,338385,"AKK_13",0.926,0.299,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_13_bwa.np.bam","finalFastq",TRUE,"","AKK","Akkeshi","Japan","August2017",43.021313,144.836622,"Yorisue/Nakaoka",""
"AKK","AKK_14_bwa.np.bam",2731338,224164,852998,"AKK_14",0.924,0.312,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_14_bwa.np.bam","finalFastq",TRUE,"","AKK","Akkeshi","Japan","August2017",43.021313,144.836622,"Yorisue/Nakaoka",""
"AKK","AKK_15_bwa.np.bam",2512116,185928,788874,"AKK_15",0.931,0.314,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_15_bwa.np.bam","finalFastq",TRUE,"","AKK","Akkeshi","Japan","August2017",43.021313,144.836622,"Yorisue/Nakaoka",""
"AKK","AKK_16_bwa.np.bam",2615258,211605,819039,"AKK_16",0.925,0.313,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_16_bwa.np.bam","finalFastq",TRUE,"","AKK","Akkeshi","Japan","August2017",43.021313,144.836622,"Yorisue/Nakaoka",""
"AKK","AKK_17_bwa.np.bam",2600899,210908,813972,"AKK_17",0.925,0.313,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_17_bwa.np.bam","finalFastq",TRUE,"","AKK","Akkeshi","Japan","August2017",43.021313,144.836622,"Yorisue/Nakaoka",""
"AKK","AKK_18_bwa.np.bam",2611078,213448,810349,"AKK_18",0.924,0.31,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_18_bwa.np.bam","finalFastq",TRUE,"","AKK","Akkeshi","Japan","August2017",43.021313,144.836622,"Yorisue/Nakaoka",""
"AKK","AKK_19_bwa.np.bam",2280966,207286,743572,"AKK_19",0.917,0.326,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_19_bwa.np.bam","finalFastq",TRUE,"","AKK","Akkeshi","Japan","August2017",43.021313,144.836622,"Yorisue/Nakaoka",""
"AKK","AKK_20_bwa.np.bam",3139552,259812,965054,"AKK_20",0.924,0.307,"/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_20_bwa.np.bam","finalFastq",TRUE,"","AKK","Akkeshi","Japan","August2017",43.021313,144.836622,"Yorisue/Nakaoka",""
