pop,file,mapped,unmapped,mappedMQ0,id,mappedProp,mappedPropMQ0,fullpath,lib,paralogRemoved,PopID.alt,truepop,Abbreviation,Region,Date_of_Collection,Latitude,Longitude,Collector,Notes
AKK,AKK_04.run1+2_bwa.bam,614470,54557,173868,AKK_04,0.918,0.283,/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_04.run1+2_bwa.bam,2017,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,AKK_04.run1+2_bwa.np.bam,480096,54557,116070,AKK_04,0.898,0.242,/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_04.run1+2_bwa.np.bam,2017,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,AKK_06.run1+2_bwa.bam,943791,79907,268545,AKK_06,0.922,0.285,/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_06.run1+2_bwa.bam,2017,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,AKK_06.run1+2_bwa.np.bam,738781,79907,179177,AKK_06,0.902,0.243,/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_06.run1+2_bwa.np.bam,2017,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,AKK_07.run1+2_bwa.bam,1110278,88857,320272,AKK_07,0.926,0.288,/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_07.run1+2_bwa.bam,2017,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,AKK_07.run1+2_bwa.np.bam,876417,88857,220871,AKK_07,0.908,0.252,/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_07.run1+2_bwa.np.bam,2017,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,AKK_10.run1+2_bwa.bam,1171152,101918,339642,AKK_10,0.92,0.29,/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_10.run1+2_bwa.bam,2017,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,AKK_10.run1+2_bwa.np.bam,917818,101918,228768,AKK_10,0.9,0.249,/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_10.run1+2_bwa.np.bam,2017,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,AKK_12.run1+2_bwa.bam,975979,76081,279954,AKK_12,0.928,0.287,/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_12.run1+2_bwa.bam,2017,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,AKK_12.run1+2_bwa.np.bam,762094,76081,185863,AKK_12,0.909,0.244,/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_12.run1+2_bwa.np.bam,2017,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,AKK_13.run1+2_bwa.bam,1133175,90117,338385,AKK_13,0.926,0.299,/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_13.run1+2_bwa.bam,2017,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,AKK_13.run1+2_bwa.np.bam,887915,90117,231404,AKK_13,0.908,0.261,/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_13.run1+2_bwa.np.bam,2017,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,AKK_22.run1+2_bwa.bam,825657,74423,236725,AKK_22,0.917,0.287,/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_22.run1+2_bwa.bam,2017,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,AKK_22.run1+2_bwa.np.bam,651293,74423,161291,AKK_22,0.897,0.248,/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_22.run1+2_bwa.np.bam,2017,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,AKK_30.run1+2_bwa.bam,886431,74869,240817,AKK_30,0.922,0.272,/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_30.run1+2_bwa.bam,2017,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,AKK_30.run1+2_bwa.np.bam,696632,74869,160011,AKK_30,0.903,0.23,/home/stranda/projects/oyster/sotka/roslin/bwa/out/AKK_30.run1+2_bwa.np.bam,2017,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_28_bwa.bam,2230687,261276,685267,AKK_28,0.895,0.307,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_28_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_28_bwa.np.bam,1749972,261276,463840,AKK_28,0.87,0.265,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_28_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_01_bwa.bam,2050132,158803,668984,AKK_01,0.928,0.326,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_01_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_01_bwa.np.bam,1584199,158803,450685,AKK_01,0.909,0.284,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_01_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_02_bwa.bam,2917377,256423,887411,AKK_02,0.919,0.304,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_02_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_02_bwa.np.bam,2276046,256423,585564,AKK_02,0.899,0.257,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_02_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_05_bwa.bam,2468146,205007,763269,AKK_05,0.923,0.309,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_05_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
