pop,Abbreviation,Region,Region2,NatNon,Date_of_Collection,Latitude,n,Ho,Hs,Fis,mean rsq,mean exp rsq,Ne,Ne.lci,Ne.hci
AKK,Akkeshi,Japan,Akkeshi,Native,17-Aug,43.02131,27,0.186,0.142,-0.136,0.042,0.041,567,472,708
ALB,Alamitos Bay LA County - 2nd street,soCal,soCalifornia,Introduced,,33.74624,19,0.192,0.146,-0.149,0.062,0.062,788,556,1340
BAN,Banzu Tidalflat in Tokyo Bay (Kisarazu city),Japan,Tokyo,Native,9-Jun-17,35.41246,23,0.191,0.146,-0.140,0.050,0.050,3468,1417,         Inf
BBH,Bahia Blanca Harbor (BB),Argentina,Argentina,Introduced,,-38.78497,18,0.185,0.140,-0.172,0.067,0.066,441,352,590
BOI,Waikare Inlet Bay of Islands (from Oyster World),New Zealand,New Zealand,Introduced,10-Sep-17,-35.31,20,0.189,0.144,-0.150,0.058,0.058,1812,958,16100
BOU,Boursefranc (Pertuis d'Antioche),France,soEurope,Introduced,11-Jul-17,45.85504,7,0.186,0.142,-0.190,0.227,0.222,63,55,73
CHI,Chile,Chile,Chile,Introduced,8-Oct-19,-30.24433,18,0.186,0.138,-0.197,0.083,0.066,17,17,17
CLE,Clevedon (from Clevedon Coast Oysters),New Zealand,New Zealand,Introduced,4-Oct-17,-36.94,18,0.191,0.145,-0.156,0.066,0.066,1842,907,         Inf
ESN,Esnandes (Aiguillon Bay Pertuis Breton),France,soEurope,Introduced,11-Jul-17,46.24123,9,0.186,0.142,-0.176,0.158,0.157,303,213,522
ESP,Espasante_Galicia,Spain,soEurope,Introduced,,43.72127,20,0.184,0.141,-0.141,0.058,0.058,2336,1086,         Inf
GAN,Gandario,Spain,soEurope,Introduced,,43.34252,10,0.192,0.147,-0.168,0.138,0.137,393,267,742
GOS,GoseongBay,Korea,nonSource,Native,1-Jun-17,34.9555,13,0.187,0.143,-0.158,0.098,0.098,         Inf,1233,         Inf
GRC,Grand Caribe San Diego Bay,soCal,soCalifornia,Introduced,,32.62674,10,0.189,0.145,-0.172,0.137,0.137,1201,492,         Inf
GWG,Gwanyang,Korea,nonSource,Native,1-Jun-17,34.94519,25,0.187,0.143,-0.138,0.045,0.045,1707,1034,4830
HIR,Hiroshima_Japan,Japan,Seto,Native,,34.27547,24,0.193,0.147,-0.143,0.047,0.047,3102,1388,         Inf
HOD,HoodCanal_HammaHammaRiver_NorthShore,NW America,PNW,Introduced,25-Jun-17,47.54666,10,0.191,0.145,-0.172,0.139,0.137,133,114,159
KOJ,Koje Bay,Korea,nonSource,Native,1-Jun-17,34.7991,26,0.197,0.150,-0.145,0.044,0.043,1247,857,2280
LDY,Ladysmith British Columbia,NW America,PNW,Introduced,8-Aug-17,48.99065,19,0.189,0.144,-0.149,0.062,0.062,1997,978,         Inf
LHE,L’Herbe (Arcachon Bay),France,soEurope,Introduced,24-Jul-17,44.68641,15,0.186,0.143,-0.152,0.082,0.082,6059,1161,         Inf
LOS,Lough Swill,Ireland,noEurope,Introduced,year 2008,55.0206,16,0.182,0.138,-0.182,0.077,0.076,225,195,265
MAH,Dyers Creek Mahurangi (from Matakana Oysters),New Zealand,New Zealand,Introduced,26-Sep-17,-36.46,18,0.196,0.149,-0.154,0.066,0.066,965,626,2080
MAI,Maizuru,Japan,nonSource,Native,Fall 2021,35.51534,4,0.186,0.135,-0.298,0.876,0.506,0,0,0
MAL,Matsukawaura Lagoon (A branch Bay of Sendai Bay),Japan,Miyagi,Native,28-May-17,37.82314,24,0.186,0.142,-0.137,0.047,0.047,2420,1232,57700
MAT,Matsushima Bay (A branch Bay of Sendai Bay),Japan,Miyagi,Native,24-Jul-17,38.35186,27,0.187,0.143,-0.135,0.042,0.041,4803,1796,         Inf
MON,Nishi Mone Bay (A branch Bay of Kesennuma Bay),Japan,Miyagi,Native,30-May-17,38.90008,29,0.189,0.144,-0.133,0.038,0.038,4761,1880,         Inf
NEW,NewportBay Orange County - 15th street,soCal,soCalifornia,Introduced,,33.60813,19,0.190,0.145,-0.150,0.062,0.062,813,569,1420
