pop,Abbreviation,Region,GeneticRegions,NatNon,Date_of_Collection,Latitude,Longitude,lon.pie,lat.pie,Collector,Notes,BO_sstmax,BO_sstmin,BO_sstmean,BO_sstrange,BO_salinity,BO_chlomax,BO_chlomin,BO_chlomean,BO_chlorange,MeanAirTemp,MaxAirTemp,MinAirTemp,RangeAirTemp
AKK,Akkeshi,Japan,Akkeshi,Native,17-Aug,43.02131,144.836622,146.18,42.01,Yorisue/Nakaoka,,19.37999916,0.328000009,8.44299984,19.05200005,32.57400131,6.402999878,6.402999878,6.402999878,0,5.800000191,21.39999962,-10.80000019,32.20000076
ALB,Alamitos Bay LA County - 2nd street,soCal,soCalifornia,Introduced,,33.746239,-118.135526,,,Zacherl,,20.37400055,14.37899971,17.18400002,5.994999886,33.48500061,8.805000305,2.153000116,5.734000206,6.65199995,17.39999962,27.5,7.300000191,20.20000076
BAN,Banzu Tidalflat in Tokyo Bay (Kisarazu city),Japan,Tokyo_wJap,Native,9-Jun-17,35.41246,139.902977,143.4634,33.51674,Kanaya,Stranded objects on muddy sand flat,26.01000023,11.28100014,18.20400047,14.72900009,32.67699814,36.39599991,8.01099968,21.66699982,28.38500023,15.80000019,30.20000076,1.600000024,28.60000038
BBH,Bahia Blanca Harbor (BB),Argentina,Argentina,Introduced,,-38.78497,-62.29695,,,Schwindt,,25.07999992,8.210000038,16.77199936,16.87000084,33.66899872,16.65099907,6.026000023,10.78299999,10.625,15.80000019,31.10000038,3.5,27.60000038
BOI,Waikare Inlet Bay of Islands (from Oyster World),New Zealand,New Zealand,Introduced,10-Sep-17,-35.31,174.18,,,Taylor,,22.27499962,13.86900043,18.2159996,8.406000137,35.37900162,4.102000237,0.741999984,1.430999994,3.359999895,15.80000019,24.5,7.900000095,16.60000038
BOU,Boursefranc (Pertuis d'Antioche),France,soEurope,Introduced,11-Jul-17,45.85504,-1.170636,-7.152,48.529,Pante,,21.01799965,8.001000404,14.9090004,13.0170002,33.48500061,9.262999535,3.519000053,5.288000107,5.743999958,12.69999981,24,3.200000048,20.79999924
CHI,Chile,Chile,Chile,Introduced,8-Oct-19,-30.244331,-71.491032,,,Martin Thiel & Jim Carlton,Estero Tongoy (brackish water),18.50099945,13.69099998,15.65400028,4.809999943,34.44800186,19.9640007,1.13499999,4.732999802,18.82900047,15.60000038,23.5,8.300000191,15.19999981
CLE,Clevedon (from Clevedon Coast Oysters),New Zealand,New Zealand,Introduced,4-Oct-17,-36.94,175.11,,,Taylor,,22.97999954,12.60099983,18.10099983,10.37899971,35.28099823,5.196000099,2.523999929,3.700999975,2.671999931,14.69999981,24,6.099999905,17.89999962
ESN,Esnandes (Aiguillon Bay Pertuis Breton),France,soEurope,Introduced,11-Jul-17,46.24123,-1.219623,-1,48.52929,Pante,,21.15299988,6.893000126,14.6960001,14.26000023,33.49499893,8.347999573,3.759000063,5.120999813,4.589000225,12.60000038,23.70000076,3.099999905,20.60000038
ESP,Espasante_Galicia,Spain,soEurope,Introduced,,43.72127,-7.814205,-10.603,45.35693,Couceiro,,19.22800064,12.46899986,15.14599991,6.758999825,35.61199951,0.55400002,0.55400002,0.55400002,0,13.5,23,5.800000191,17.20000076
GAN,Gandario,Spain,soEurope,Introduced,,43.34252,-8.23345,-12.703,42.953,Couceiro,,20.46999931,12.4989996,15.91600037,7.971000195,35.56600189,5.775000095,0.783999979,2.144999981,4.991000175,14,23.20000076,6.400000095,16.79999924
GOS,GoseongBay,Korea,Korea,Native,1-Jun-17,34.9555,128.3257,127.7598,36.086,Lee,,29.87700081,9.694000244,18.24500084,20.18300056,32.79800034,11.10099983,2.321000099,4.653999805,8.779999733,13.69999981,29.5,-3.5,33
GRC,Grand Caribe San Diego Bay,soCal,soCalifornia,Introduced,,32.62674,-117.129703,,,Zacherl,,20.72400093,14.62100029,17.29899979,6.103000164,33.49599838,16.95999908,1.36500001,5.43200016,15.59500027,17.10000038,25.60000038,7.699999809,17.89999962
GWG,Gwanyang,Korea,Korea,Native,1-Jun-17,34.94519,127.77932,124.8383,35.457,Lee,,26.69000053,7.842999935,17.81800079,18.84700012,32.76900101,5.09800005,5.09800005,5.09800005,0,14,30.39999962,-3.400000095,33.79999924
HIR,Hiroshima_Japan,Japan,Seto,Native,,34.27547,132.266519,134.5183,30.58034,Hori,,30.17499924,11.34799957,19.8239994,18.82699966,33.97399902,18.5720005,2.513000011,8.498000145,16.05900002,14.60000038,30.5,-0.100000001,30.60000038
HOD,HoodCanal_HammaHammaRiver_NorthShore,NW America,PNW,Introduced,25-Jun-17,47.54666,-123.041383,,,Ruesink,,18.87999916,-0.79400003,9.414999962,19.67399979,29.23200035,13.94200039,6.428999901,9.079999924,7.513000011,10,24.20000076,0.100000001,24.10000038
KOJ,Koje Bay,Korea,Korea,Native,1-Jun-17,34.7991,128.5829,130.61,36.51,Lee,,26.96800041,10.16300011,17.79400063,16.80500031,32.90800095,3.812999964,1.13499999,2.128999949,2.677999973,14.30000019,29.29999924,-1.5,30.79999924
LDY,Ladysmith British Columbia,NW America,PNW,Introduced,8-Aug-17,48.99065,-123.808072,,,Ruesink,near Transfer Park,17.50300026,6.703000069,11.45100021,10.80000019,27.71999931,16.05500031,6.501999855,9.762000084,9.55300045,8.699999809,22.39999962,-1.200000048,23.60000038
LHE,L’Herbe (Arcachon Bay),France,soEurope,Introduced,24-Jul-17,44.68641,-1.233772,-5.0519,45.261,Pante,,23.18300056,8.880000114,15.74300003,14.30300045,34.29499817,14.76200008,6.144999981,10.03100014,8.616999626,13,25.10000038,2.799999952,22.29999924
LOS,Lough Swill,Ireland,noEurope,Introduced,year 2008,55.0206,-7.577,-10.903,56.508,Strand,in Faust et al. 2017 MEPS,16.06500053,5.329999924,10.12199974,10.73499966,34.84400177,16.87199974,3.996000051,11.42199993,12.8760004,9,17.20000076,1.899999976,15.30000019
MAH,Dyers Creek Mahurangi (from Matakana Oysters),New Zealand,New Zealand,Introduced,26-Sep-17,-36.46,174.71,,,Taylor,,22.58499908,14.33399963,17.70299911,8.251000404,35.30899811,3.480999947,1.498000026,2.236999989,1.98300004,15.19999981,24.10000038,6.900000095,17.20000076
MAI,Maizuru,Japan,Tokyo_wJap,Native,Fall 2021,35.515338,135.336001,134.3858,37.39699,Yorisue,Spat collectors,28.16600037,10.91399956,18.65800095,17.25200081,33.01499939,2.976000071,1.187999964,2.082000017,1.787999988,13.69999981,30.5,-0.699999988,31.20000076
MAL,Matsukawaura Lagoon (A branch Bay of Sendai Bay),Japan,Miyagi,Native,28-May-17,37.82314,140.954988,145.5175,36.76776,Kanaya,Gravels on mud flat,24.36000061,6.68200016,14.81799984,17.6779995,33.01699829,8.984999657,1.786999941,3.688999891,7.197999954,12.60000038,28.29999924,-2.099999905,30.39999962
MAT,Matsushima Bay (A branch Bay of Sendai Bay),Japan,Miyagi,Native,24-Jul-17,38.35186,141.058982,145.4512,38.419,Kanaya,Gravels on sandy flat,26.04599953,4.105000019,14.80200005,21.94099998,32.93700027,10.10299969,2.032999992,5.15500021,8.069999695,11.80000019,27.79999924,-3.099999905,30.89999962
MON,Nishi Mone Bay (A branch Bay of Kesennuma Bay),Japan,Miyagi,Native,30-May-17,38.90008,141.624736,145.517,40.071,Kanaya,Seawall at small rivermouth,23.21999931,7.263000011,14.04800034,15.95699978,33.39099884,2.411999941,0.428000003,1.04400003,1.983999968,11,27.10000038,-3.799999952,30.89999962
