"cnt" "all"
"1" "1" ">all.MAL_22"
"2" "1" ">all.MAL_11"
"3" "2" ">BOU_04.run1+2, >BOU_07.run1+2"
"4" "1" ">MAT_01.run1+2"
"5" "1" ">all.SAR_20"
"6" "2" ">all.AKK_11, >BAN_03.run1+2"
"7" "1" ">YUR_02.run1+2"
"8" "1" ">all.OTA_32"
"9" "2" ">TRO_26.run1+2, >WAD_23.run1+2"
"10" "591" ">AKK_04.run1+2, >AKK_06.run1+2, >AKK_07.run1+2, >AKK_10.run1+2, >AKK_12.run1+2, >AKK_13.run1+2, >AKK_22.run1+2, >AKK_30.run1+2, >ALB_01.run1+2, >ALB_03.run1+2, >ALB_05.run1+2, >ALB_07.run1+2, >ALB_09.run1+2, >ALB_12.run1+2, >ALB_14.run1+2, >ALB_18.run1+2, >ALB_21.run1+2, >ALB_27.run1+2, >all.AKK_01, >all.AKK_02, >all.AKK_03, >all.AKK_05, >all.AKK_08, >all.AKK_09, >all.AKK_14, >all.AKK_15, >all.AKK_16, >all.AKK_17, >all.AKK_18, >all.AKK_19, >all.AKK_20, >all.AKK_21, >all.AKK_23, >all.AKK_24, >all.AKK_25, >all.AKK_26, >all.AKK_27, >all.AKK_28, >all.BAN_11, >all.BAN_13, >all.BAN_14, >all.BAN_16, >all.BAN_18, >all.BAN_19, >all.BAN_20, >all.BAN_22, >all.BAN_23, >all.BAN_24, >all.BAN_25, >all.BAN_26, >all.BAN_28, >all.BAN_29, >all.CHI_01, >all.CHI_02, >all.CHI_03, >all.CHI_04, >all.GOS_01, >all.GOS_04, >all.GOS_06, >all.GOS_07, >all.GOS_18, >all.GOS_25, >all.GWG_02, >all.GWG_04, >all.GWG_05, >all.GWG_06, >all.GWG_07, >all.GWG_08, >all.GWG_10, >all.GWG_11, >all.GWG_12, >all.GWG_16, >all.GWG_17, >all.GWG_18, >all.GWG_19, >all.GWG_20, >all.GWG_25, >all.GWG_26, >all.GWG_27, >all.GWG_30, >all.HIR_01, >all.HIR_02, >all.HIR_03, >all.HIR_05, >all.HIR_07, >all.HIR_08, >all.HIR_09, >all.HIR_10, >all.HIR_11, >all.HIR_12, >all.HIR_13, >all.HIR_14, >all.HIR_18, >all.HIR_20, >all.HIR_22, >all.HIR_23, >all.HIR_24, >all.HIR_26, >all.HIR_29, >all.HIR_30, >all.KOJ_01, >all.KOJ_06, >all.KOJ_16, >all.KOJ_17, >all.KOJ_18, >all.KOJ_20, >all.KOJ_21, >all.KOJ_22, >all.KOJ_23, >all.KOJ_24, >all.KOJ_25, >all.KOJ_26, >all.KOJ_27, >all.KOJ_28, >all.KOJ_29, >all.KOJ_30, >all.MAL_01, >all.MAL_02, >all.MAL_04, >all.MAL_05, >all.MAL_06, >all.MAL_08, >all.MAL_13, >all.MAL_17, >all.MAL_23, >all.MAL_26, >all.MAT_03, >all.MAT_05, >all.MAT_08, >all.MAT_09, >all.MAT_11, >all.MAT_13, >all.MAT_15, >all.MAT_16, >all.MAT_17, >all.MAT_20, >all.MAT_21, >all.MAT_23, >all.MAT_26, >all.MAT_28, >all.MAT_29, >all.MAT_30, >all.MON_02, >all.MON_03, >all.MON_04, >all.MON_05, >all.MON_07, >all.MON_08, >all.MON_09, >all.MON_10, >all.MON_11, >all.MON_12, >all.MON_15, >all.MON_16, >all.MON_18, >all.MON_19, >all.MON_20, >all.MON_23, >all.MON_24, >all.MON_26, >all.MON_27, >all.MON_28, >all.MON_29, >all.MON_30, >all.MUN_06, >all.MUN_07, >all.MUN_08, >all.MUN_13, >all.MUN_14, >all.MUN_17, >all.MUN_19, >all.MUN_21, >all.MUN_22, >all.MUN_27, >all.OHK_02, >all.OHK_04, >all.OHK_06, >all.OHK_07, >all.OHK_08, >all.OHK_09, >all.OHK_10, >all.OHK_12, >all.OHK_15, >all.OHK_19, >all.OHK_21, >all.OHK_24, >all.OHK_28, >all.OHK_29, >all.OHK_30, >all.OKA_01, >all.OKA_02, >all.OKA_03, >all.OKA_04, >all.OKA_05, >all.OKA_06, >all.OKA_07, >all.OKA_08, >all.OKA_09, >all.OKA_10, >all.OKA_11, >all.OKA_20, >all.OKA_25, >all.OKA_31, >all.OKA_32, >all.OKA_34, >all.OKA_36, >all.OKA_38, >all.OKA_42, >all.OKA_43, >all.OKA_44, >all.OTA_01, >all.OTA_02, >all.OTA_04, >all.OTA_06, >all.OTA_08, >all.OTA_10, >all.OTA_12, >all.OTA_15, >all.OTA_16, >all.OTA_18, >all.OTA_19, >all.OTA_20, >all.OTA_21, >all.OTA_23, >all.OTA_24, >all.OTA_25, >all.OTA_28, >all.OTA_31, >all.SAM_01, >all.SAM_03, >all.SAM_05, >all.SAM_06, >all.SAM_07, >all.SAM_09, >all.SAM_12, >all.SAM_14, >all.SAM_15, >all.SAM_17, >all.SAM_18, >all.SAM_19, >all.SAM_21, >all.SAM_23, >all.SAM_24, >all.SAM_27, >all.SAM_28, >all.SAM_29, >all.SAM_30, >all.SAR_04, >all.SAR_05, >all.SAR_06, >all.SAR_08, >all.SAR_09, >all.SAR_12, >all.SAR_13, >all.SAR_14, >all.SAR_16, >all.SAR_17, >all.SAR_18, >all.SAR_19, >all.SAR_23, >all.SAR_25, >all.SAR_26, >all.SAR_27, >all.SAR_28, >all.WAK_10, >all.WAK_11, >all.WAK_14, >all.WAK_20, >all.WAK_24, >all.WAK_25, >all.WAK_27, >all.WAK_28, >all.YOJ_01, >all.YOJ_06, >all.YOJ_08, >all.YOJ_09, >all.YOJ_17, >all.YOJ_18, >all.YOJ_22, >all.YOJ_23, >all.YOJ_24, >all.YOJ_27, >all.YOJ_29, >all.YUR_03, >all.YUR_14, >all.YUR_21, >all.YUR_23, >all.YUR_24, >all.YUR_25, >all.YUR_26, >BAN_01.run1+2, >BAN_07.run1+2, >BAN_09.run1+2, >BAN_12.run1+2, >BAN_15.run1+2, >BAN_17.run1+2, >BAN_21.run1+2, >BAN_27.run1+2, >BAN_30.run1+2, >BHH_02.run1+2, >BHH_03.run1+2, >BHH_05.run1+2, >BHH_10.run1+2, >BHH_18.run1+2, >BHH_20.run1+2, >BHH_28.run1+2, >BHH_29.run1+2, >BHH_30.run1+2, >BOI_01.run1+2, >BOI_02.run1+2, >BOI_03.run1+2, >BOI_04.run1+2, >BOI_05.run1+2, >BOI_06.run1+2, >BOI_07.run1+2, >BOI_10.run1+2, >BOU_02.run1+2, >BOU_03.run1+2, >BOU_05.run1+2, >BOU_06.run1+2, >BOU_08.run1+2, >BOU_09.run1+2, >BOU_10.run1+2, >CLE_01.run1+2, >CLE_02.run1+2, >CLE_03.run1+2, >CLE_04.run1+2, >CLE_06.run1+2, >CLE_08.run1+2, >CLE_09.run1+2, >CLE_10.run1+2, >CLE_11.run1+2, >CLE_12.run1+2, >ESN_02.run1+2, >ESN_03.run1+2, >ESN_04.run1+2, >ESN_05.run1+2, >ESN_06.run1+2, >ESN_07.run1+2, >ESN_08.run1+2, >ESN_09.run1+2, >ESN_11.run1+2, >ESP_07.run1+2, >ESP_08.run1+2, >ESP_09.run1+2, >ESP_15.run1+2, >ESP_17.run1+2, >ESP_21.run1+2, >ESP_23.run1+2, >GAN_02.run1+2, >GAN_03.run1+2, >GAN_06.run1+2, >GAN_07.run1+2, >GAN_13.run1+2, >GAN_14.run1+2, >GAN_17.run1+2, >GAN_18.run1+2, >GAN_24.run1+2, >GOS_10.run1+2, >GOS_14.run1+2, >GOS_16.run1+2, >GOS_17.run1+2, >GOS_20.run1+2, >GOS_21.run1+2, >GOS_23.run1+2, >GOS_26.run1+2, >GOS_29.run1+2, >GOS_30.run1+2, >GRC_07.run1+2, >GRC_09.run1+2, >GRC_14.run1+2, >GRC_16.run1+2, >GRC_27.run1+2, >GRC_30.run1+2, >GWG_01.run1+2, >GWG_03.run1+2, >GWG_13.run1+2, >GWG_14.run1+2, >GWG_15.run1+2, >GWG_21.run1+2, >GWG_22.run1+2, >GWG_24.run1+2, >GWG_28.run1+2, >GWG_29.run1+2, >HIR_04.run1+2, >HIR_06.run1+2, >HIR_15.run1+2, >HIR_16.run1+2, >HIR_17.run1+2, >HIR_19.run1+2, >HIR_21.run1+2, >HIR_25.run1+2, >HIR_28.run1+2, >HOD_01.run1+2, >HOD_03.run1+2, >HOD_05.run1+2, >HOD_06.run1+2, >HOD_07.run1+2, >HOD_08.run1+2, >HOD_09.run1+2, >HOD_10.run1+2, >KOJ_02.run1+2, >KOJ_03.run1+2, >KOJ_04.run1+2, >KOJ_07.run1+2, >KOJ_09.run1+2, >KOJ_12.run1+2, >KOJ_13.run1+2, >KOJ_79.run1+2, >LDY_01.run1+2, >LDY_02.run1+2, >LDY_03.run1+2, >LDY_04.run1+2, >LDY_05.run1+2, >LDY_06.run1+2, >LDY_07.run1+2, >LDY_09.run1+2, >LDY_10.run1+2, >LHE_05.run1+2, >LHE_06.run1+2, >LHE_07.run1+2, >LHE_08.run1+2, >LHE_09.run1+2, >LHE_10.run1+2, >LHE_11.run1+2, >LHE_12.run1+2, >LHE_13.run1+2, >LHE_14.run1+2, >LOS_53.run1+2, >LOS_65.run1+2, >LOS_66.run1+2, >LOS_72.run1+2, >LOS_78.run1+2, >LOS_86.run1+2, >LOS_90.run1+2, >LOS_92.run1+2, >LOS_98.run1+2, >MAH_01.run1+2, >MAH_02.run1+2, >MAH_03.run1+2, >MAH_04.run1+2, >MAH_05.run1+2, >MAH_06.run1+2, >MAH_07.run1+2, >MAH_08.run1+2, >MAH_09.run1+2, >MAL_03.run1+2, >MAL_07.run1+2, >MAL_09.run1+2, >MAL_10.run1+2, >MAL_12.run1+2, >MAL_16.run1+2, >MAL_20.run1+2, >MAL_24.run1+2, >MAL_25.run1+2, >MAT_02.run1+2, >MAT_06.run1+2, >MAT_07.run1+2, >MAT_10.run1+2, >MAT_14.run1+2, >MAT_18.run1+2, >MAT_24.run1+2, >MAT_25.run1+2, >MAT_27.run1+2, >MON_01.run1+2, >MON_06.run1+2, >MON_14.run1+2, >MON_17.run1+2, >MON_22.run1+2, >MON_25.run1+2, >MON_29.run1+2, >NEW_06.run1+2, >NEW_10.run1+2, >NEW_12.run1+2, >NEW_17.run1+2, >NEW_19.run1+2, >NEW_21.run1+2, >NEW_26.run1+2, >NEW_28.run1+2, >OHK_01.run1+2, >OHK_06.run1+2, >OHK_14.run1+2, >OHK_23.run1+2, >OHK_30.run1+2, >OKA_02.run1+2, >OKA_06.run1+2, >OKA_12.run1+2, >OKA_19.run1+2, >OKA_22.run1+2, >OKA_24.run1+2, >OKA_31.run1+2, >OKA_33.run1+2, >OKA_35.run1+2, >OKA_39.run1+2, >OTA_03.run1+2, >OTA_05.run1+2, >OTA_07.run1+2, >OTA_11.run1+2, >OTA_13.run1+2, >OTA_14.run1+2, >OTA_17.run1+2, >OTA_29.run1+2, >OTA_30.run1+2, >PES_01.run1+2, >PES_02.run1+2, >PES_03.run1+2, >PES_04.run1+2, >PES_05.run1+2, >PES_06.run1+2, >PES_07.run1+2, >PES_08.run1+2, >PES_09.run1+2, >PES_10.run1+2, >SAM_04.run1+2, >SAM_08.run1+2, >SAM_11.run1+2, >SAM_13.run1+2, >SAM_16.run1+2, >SAM_22.run1+2, >SAM_25.run1+2, >SAR_01.run1+2, >SAR_02.run1+2, >SAR_03.run1+2, >SAR_07.run1+2, >SAR_10.run1+2, >SAR_15.run1+2, >SAR_17.run1+2, >SAR_21.run1+2, >SAR_24.run1+2, >SBB_06.run1+2, >SBB_07.run1+2, >SBB_10.run1+2, >SBB_15.run1+2, >SBB_19.run1+2, >SBB_20.run1+2, >SBB_23.run1+2, >SBB_27.run1+2, >SVA_06.run1+2, >SVA_10.run1+2, >SVA_17.run1+2, >SVA_20.run1+2, >SVA_27.run1+2, >SVA_33.run1+2, >SVA_37.run1+2, >SVA_43.run1+2, >TJE_01.run1+2, >TJE_02.run1+2, >TJE_03.run1+2, >TJE_04.run1+2, >TJE_05.run1+2, >TJE_06.run1+2, >TJE_07.run1+2, >TJE_08.run1+2, >TJE_09.run1+2, >TJE_10.run1+2, >TRO_04.run1+2, >TRO_13.run1+2, >TRO_18.run1+2, >TRO_25.run1+2, >TRO_27.run1+2, >TRO_28.run1+2, >TRO_45.run1+2, >TRO_49.run1+2, >WAD_01.run1+2, >WAD_09.run1+2, >WAD_10.run1+2, >WAD_14.run1+2, >WAD_16.run1+2, >WAD_25.run1+2, >WAD_26.run1+2, >WAD_40.run1+2, >WAD_43.run1+2, >WAK_01.run1+2, >WAK_03.run1+2, >WAK_10.run1+2, >WLB_01.run1+2, >WLB_02.run1+2, >WLB_03.run1+2, >WLB_04.run1+2, >WLB_05.run1+2, >WLB_06.run1+2, >WLB_07.run1+2, >WLB_08.run1+2, >WLB_09.run1+2, >WLB_10.run1+2, >YOJ_05.run1+2, >YUR_04.run1+2, >YUR_06.run1+2, >YUR_07.run1+2, >YUR_11.run1+2, >YUR_12.run1+2"
