gridIDs,pop,vars.lat,vars.lon,vars.coastline,vars.grid.for.model,vars.reg,vars.gridID,vars.plotted.Var2,vars.plotted.Var1
34282,AKK,43.5, 144.5,1,1,1_Asia,34282, 8, 6
 1417,ALA,33.5,-118.5,1,1,2_wNA, 1417,11, 1
 1417,ALB,33.5,-118.5,1,1,2_wNA, 1417,11, 1
33665,BAN,35.5, 139.5,1,1,1_Asia,33665, 6,20
16030,BOU,45.5,  -1.5,1,1,3_Eur,16030,18, 1
16029,ESN,46.5,  -1.5,1,1,3_Eur,16029,17,22
15282,ESP,43.5,  -7.5,1,1,3_Eur,15282,14,10
15157,GAN,43.5,  -8.5,1,1,3_Eur,15157,13,16
32291,GOS,34.5, 128.5,1,1,1_Asia,32291, 3,16
 1543,GRC,32.5,-117.5,1,1,2_wNA, 1543,11, 6
32166,GWA,34.5, 127.5,1,1,1_Asia,32166, 3,11
32166,GWG,34.5, 127.5,1,1,1_Asia,32166, 3,11
32791,HIR,34.5, 132.5,1,1,1_Asia,32791, 5, 3
  778,HOD,47.5,-123.5,1,1,2_wNA,  778,10, 1
33789,IWA,36.5, 140.5,1,1,1_Asia,33789, 7, 9
33541,IZU,34.5, 138.5,1,1,1_Asia,33541, 6,13
33665,KIS,35.5, 139.5,1,1,1_Asia,33665, 6,20
32291,KOJ,34.5, 128.5,1,1,1_Asia,32291, 3,16
  777,LDY,48.5,-123.5,1,1,2_wNA,  777, 9,22
16031,LHE,44.5,  -1.5,1,1,3_Eur,16031,18, 2
15270,LOS,55.5,  -7.5,1,1,3_Eur,15270,14, 6
33165,MAI,35.5, 135.5,1,1,1_Asia,33165, 5,20
33788,MAL,37.5, 140.5,1,1,1_Asia,33788, 7, 8
33912,MAT,38.5, 141.5,1,1,1_Asia,33912, 7,19
33912,MON,38.5, 141.5,1,1,1_Asia,33912, 7,19
 1542,NEW,33.5,-117.5,1,1,2_wNA, 1542,11, 5
33541,OHK,34.5, 138.5,1,1,1_Asia,33541, 6,13
32916,OKA,34.5, 133.5,1,1,1_Asia,32916, 5, 9
32667,OTA,33.5, 131.5,1,1,1_Asia,32667, 4,17
 1543,PES,32.5,-117.5,1,1,2_wNA, 1543,11, 6
  903,QB2,47.5,-122.5,1,1,2_wNA,  903,10, 9
  903,QUI,47.5,-122.5,1,1,2_wNA,  903,10, 9
33789,SAM,36.5, 140.5,1,1,1_Asia,33789, 7, 9
34156,SAR,44.5, 143.5,1,1,1_Asia,34156, 8, 2
17642,SVA,58.5,  11.5,1,1,3_Eur,17642,20,13
 1543,TJE,32.5,-117.5,1,1,2_wNA, 1543,11, 6
17267,TRO,58.5,   8.5,1,1,3_Eur,17267,19,14
17270,WAD,55.5,   8.5,1,1,3_Eur,17270,19,17
  654,WLB,46.5,-124.5,1,1,2_wNA,  654, 9,12
32544,YOJ,31.5, 130.5,1,1,1_Asia,32544, 4,12
33041,YUR,34.5, 134.5,1,1,1_Asia,33041, 5,15
