gridIDs,pop,vars.lat,vars.lon,vars.coastline,vars.grid.for.model,vars.reg,vars.gridID,vars.plotted.Var1,vars.plotted.Var2
33783,pop01,42.5, 140.5, 1, 1,1_Asia,33783, 3, 7
33666,pop02,34.5, 139.5, 1, 1,1_Asia,33666,21, 6
33291,pop03,34.5, 136.5, 1, 1,1_Asia,33291, 5, 6
32916,pop04,34.5, 133.5, 1, 1,1_Asia,32916, 9, 5
33166,pop05,34.5, 135.5, 1, 1,1_Asia,33166,21, 5
33042,pop06,33.5, 134.5, 1, 1,1_Asia,33042,16, 5
32791,pop07,34.5, 132.5, 1, 1,1_Asia,32791, 3, 5
35141,pop08,59.5, 151.5, 1, 0,1_Asia,35141,NA,NA
NA,pop09,NA,NA,NA,NA,NA,NA,NA,NA
  902,pop10,48.5,-122.5, 1, 1,2_wNA,  902, 8,10
  652,pop11,48.5,-124.5, 1, 1,2_wNA,  652,10, 9
  657,pop12,43.5,-124.5, 1, 1,2_wNA,  657,15, 9
  913,pop13,37.5,-122.5, 1, 1,2_wNA,  913,11,10
 1165,pop14,35.5,-120.5, 1, 1,2_wNA, 1165,17,10
 1542,pop15,33.5,-117.5, 1, 1,2_wNA, 1542, 5,11
 1542,pop16,33.5,-117.5, 1, 1,2_wNA, 1542, 5,11
 1922,pop17,28.5,-114.5, 1, 1,2_wNA, 1922,19,11
 1796,pop18,29.5,-115.5, 1, 1,2_wNA, 1796,12,11
16890,pop19,60.5,   5.5, 1, 0,3_Eur,16890,NA,NA
15521,pop20,54.5,  -5.5, 1, 1,3_Eur,15521,10,15
15521,pop21,54.5,  -5.5, 1, 1,3_Eur,15521,10,15
15024,pop22,51.5,  -9.5, 1, 1,3_Eur,15024, 3,13
15650,pop23,50.5,  -4.5, 1, 1,3_Eur,15650, 5,16
15525,pop24,50.5,  -5.5, 1, 1,3_Eur,15525,13,15
15525,pop25,50.5,  -5.5, 1, 1,3_Eur,15525,13,15
15650,pop26,50.5,  -4.5, 1, 1,3_Eur,15650, 5,16
15650,pop27,50.5,  -4.5, 1, 1,3_Eur,15650, 5,16
15775,pop28,50.5,  -3.5, 1, 1,3_Eur,15775,18,16
15775,pop29,50.5,  -3.5, 1, 1,3_Eur,15775,18,16
15775,pop30,50.5,  -3.5, 1, 1,3_Eur,15775,18,16
15900,pop31,50.5,  -2.5, 1, 1,3_Eur,15900, 8,17
15900,pop32,50.5,  -2.5, 1, 1,3_Eur,15900, 8,17
16524,pop33,51.5,   2.5, 1, 1,3_Eur,16524,19,18
16400,pop34,50.5,   1.5, 1, 1,3_Eur,16400,17,18
16400,pop35,50.5,   1.5, 1, 1,3_Eur,16400,17,18
16026,pop36,49.5,  -1.5, 1, 1,3_Eur,16026,19,17
15902,pop37,48.5,  -2.5, 1, 1,3_Eur,15902,10,17
15902,pop38,48.5,  -2.5, 1, 1,3_Eur,15902,10,17
15777,pop39,48.5,  -3.5, 1, 1,3_Eur,15777,19,16
15777,pop40,48.5,  -3.5, 1, 1,3_Eur,15777,19,16
15777,pop41,48.5,  -3.5, 1, 1,3_Eur,15777,19,16
15777,pop42,48.5,  -3.5, 1, 1,3_Eur,15777,19,16
15777,pop43,48.5,  -3.5, 1, 1,3_Eur,15777,19,16
15652,pop44,48.5,  -4.5, 1, 1,3_Eur,15652, 6,16
15652,pop45,48.5,  -4.5, 1, 1,3_Eur,15652, 6,16
15652,pop46,48.5,  -4.5, 1, 1,3_Eur,15652, 6,16
15652,pop47,48.5,  -4.5, 1, 1,3_Eur,15652, 6,16
15778,pop48,47.5,  -3.5, 1, 1,3_Eur,15778,20,16
15778,pop49,47.5,  -3.5, 1, 1,3_Eur,15778,20,16
15778,pop50,47.5,  -3.5, 1, 1,3_Eur,15778,20,16
16657,pop51,43.5,   3.5, 1, 0,3_Eur,16657,NA,NA
15157,pop52,43.5,  -8.5, 1, 1,3_Eur,15157,16,13
15159,pop53,41.5,  -8.5, 1, 1,3_Eur,15159,18,13
15159,pop54,41.5,  -8.5, 1, 1,3_Eur,15159,18,13
15167,pop55,33.5,  -8.5, 1, 1,3_Eur,15167, 1,14
