gridIDs,pop,vars.lat,vars.lon,vars.coastline,vars.grid.for.model,vars.reg,vars.gridID,vars.plotted.Var2,vars.plotted.Var1
32415,Pop1,35.5, 129.5,1,1,1_Asia,32415, 3,22
32039,Pop10,36.5, 126.5,1,1,1_Asia,32039, 3, 2
32039,Pop11,36.5, 126.5,1,1,1_Asia,32039, 3, 2
32041,Pop12,34.5, 126.5,1,1,1_Asia,32041, 3, 4
32041,Pop13,34.5, 126.5,1,1,1_Asia,32041, 3, 4
31566,Pop14, 9.5, 122.5,1,0,1_Asia,31566,NA,NA
33905,Pop15,45.5, 141.5,1,0,1_Asia,33905,NA,NA
33782,Pop16,43.5, 140.5,1,1,1_Asia,33782, 7, 2
33784,Pop17,41.5, 140.5,1,1,1_Asia,33784, 7, 4
33783,Pop18,42.5, 140.5,1,1,1_Asia,33783, 7, 3
33784,Pop19,41.5, 140.5,1,1,1_Asia,33784, 7, 4
32415,Pop2,35.5, 129.5,1,1,1_Asia,32415, 3,22
33784,Pop20,41.5, 140.5,1,1,1_Asia,33784, 7, 4
33662,Pop21,38.5, 139.5,1,1,1_Asia,33662, 6,18
32542,Pop22,33.5, 130.5,1,1,1_Asia,32542, 4,10
32417,Pop23,33.5, 129.5,1,1,1_Asia,32417, 4, 2
32668,Pop24,32.5, 131.5,1,1,1_Asia,32668, 4,18
32916,Pop25,34.5, 133.5,1,1,1_Asia,32916, 5, 9
33041,Pop26,34.5, 134.5,1,1,1_Asia,33041, 5,15
33041,Pop27,34.5, 134.5,1,1,1_Asia,33041, 5,15
33041,Pop28,34.5, 134.5,1,1,1_Asia,33041, 5,15
33166,Pop29,34.5, 135.5,1,1,1_Asia,33166, 5,21
32287,Pop3,38.5, 128.5,1,1,1_Asia,32287, 3,13
33291,Pop30,34.5, 136.5,1,1,1_Asia,33291, 6, 5
33541,Pop31,34.5, 138.5,1,1,1_Asia,33541, 6,13
33665,Pop32,35.5, 139.5,1,1,1_Asia,33665, 6,20
33665,Pop33,35.5, 139.5,1,1,1_Asia,33665, 6,20
33665,Pop34,35.5, 139.5,1,1,1_Asia,33665, 6,20
33790,Pop35,35.5, 140.5,1,1,1_Asia,33790, 7,10
33789,Pop36,36.5, 140.5,1,1,1_Asia,33789, 7, 9
33912,Pop37,38.5, 141.5,1,1,1_Asia,33912, 7,19
 1039,Pop38,36.5,-121.5,1,1,2_wNA, 1039,10,15
 1417,Pop39,33.5,-118.5,1,1,2_wNA, 1417,11, 1
32288,Pop4,37.5, 128.5,1,1,1_Asia,32288, 3,14
 1291,Pop40,34.5,-119.5,1,1,2_wNA, 1291,10,20
 1669,Pop41,31.5,-116.5,1,1,2_wNA, 1669,11, 8
32291,Pop5,34.5, 128.5,1,1,1_Asia,32291, 3,16
32415,Pop6,35.5, 129.5,1,1,1_Asia,32415, 3,22
32042,Pop7,33.5, 126.5,1,1,1_Asia,32042, 3, 5
15652,Pop70,48.5,  -4.5,1,1,3_Eur,15652,16, 6
15777,Pop71,48.5,  -3.5,1,1,3_Eur,15777,16,19
32038,Pop8,37.5, 126.5,1,1,1_Asia,32038, 3, 1
32039,Pop9,36.5, 126.5,1,1,1_Asia,32039, 3, 2
