gridIDs,pop,vars.lat,vars.lon,vars.coastline,vars.grid.for.model,vars.reg,vars.gridID,vars.plotted.Var1,vars.plotted.Var2,source,reg,pop2
33783,Muroran,42.5, 140.5, 1, 1,1_Asia,33783, 3, 7,hok,Japan,pop01
33666,Oshima,34.5, 139.5, 1, 1,1_Asia,33666,21, 6,tok,Japan,pop02
33291,Kashikojima,34.5, 136.5, 1, 1,1_Asia,33291, 5, 6,tok,Japan,pop03
32916,Inhoshima,34.5, 133.5, 1, 1,1_Asia,32916, 9, 5,sea,Japan,pop04
33166,Arida,34.5, 135.5, 1, 1,1_Asia,33166,21, 5,sea,Japan,pop05
33042,Anan,33.5, 134.5, 1, 1,1_Asia,33042,16, 5,sea,Japan,pop06
32791,Hiroshima,34.5, 132.5, 1, 1,1_Asia,32791, 3, 5,sea,Japan,pop07
35141,Sobol Bay,59.5, 151.5, 1, 0,1_Asia,35141,NA,NA,Russia,Russia,pop08
NA,Craig,NA,NA,NA,NA,NA,NA,NA,NA,PNW,PNW,pop09
  902,San Juan Island,48.5,-122.5, 1, 1,2_wNA,  902, 8,10,PNW,PNW,pop10
  652,Tatoosh Island,48.5,-124.5, 1, 1,2_wNA,  652,10, 9,PNW,PNW,pop11
  657,Coos Bay,43.5,-124.5, 1, 1,2_wNA,  657,15, 9,PNW,PNW,pop12
  913,San Francisco (Pier 39),37.5,-122.5, 1, 1,2_wNA,  913,11,10,Cali,Cali,pop13
 1165,San Luis Obispo,35.5,-120.5, 1, 1,2_wNA, 1165,17,10,Cali,Cali,pop14
 1542,Crystal Cove,33.5,-117.5, 1, 1,2_wNA, 1542, 5,11,Cali,Cali,pop15
 1542,Laguna Beach,33.5,-117.5, 1, 1,2_wNA, 1542, 5,11,Cali,Cali,pop16
 1922,Enseñada (Playa La Esmeralda),28.5,-114.5, 1, 1,2_wNA, 1922,19,11,Mexico,Mexico,pop17
 1796,Punta Baja,29.5,-115.5, 1, 1,2_wNA, 1796,12,11,Mexico,Mexico,pop18
16890,Øygarden,60.5,   5.5, 1, 0,3_Eur,16890,NA,NA,EU,EU,pop19
15521,Kircubbin,54.5,  -5.5, 1, 1,3_Eur,15521,10,15,EU,EU,pop20
15521,Carnson Point,54.5,  -5.5, 1, 1,3_Eur,15521,10,15,EU,EU,pop21
15024,Lough Hyne,51.5,  -9.5, 1, 1,3_Eur,15024, 3,13,EU,EU,pop22
15650,Widemouth,50.5,  -4.5, 1, 1,3_Eur,15650, 5,16,EU,EU,pop23
15525,Newquay,50.5,  -5.5, 1, 1,3_Eur,15525,13,15,EU,EU,pop24
15525,Porthleven,50.5,  -5.5, 1, 1,3_Eur,15525,13,15,EU,EU,pop25
15650,Looe,50.5,  -4.5, 1, 1,3_Eur,15650, 5,16,EU,EU,pop26
15650,Wembury,50.5,  -4.5, 1, 1,3_Eur,15650, 5,16,EU,EU,pop27
15775,Langerstone Point,50.5,  -3.5, 1, 1,3_Eur,15775,18,16,EU,EU,pop28
15775,Brixham,50.5,  -3.5, 1, 1,3_Eur,15775,18,16,EU,EU,pop29
15775,Torquay,50.5,  -3.5, 1, 1,3_Eur,15775,18,16,EU,EU,pop30
15900,Lyme Regis,50.5,  -2.5, 1, 1,3_Eur,15900, 8,17,EU,EU,pop31
15900,Osmington Mills,50.5,  -2.5, 1, 1,3_Eur,15900, 8,17,EU,EU,pop32
16524,Ostende,51.5,   2.5, 1, 1,3_Eur,16524,19,18,EU,EU,pop33
16400,Audresselles,50.5,   1.5, 1, 1,3_Eur,16400,17,18,EU,EU,pop34
16400,Wimereux,50.5,   1.5, 1, 1,3_Eur,16400,17,18,EU,EU,pop35
16026,Blainville sur Mer,49.5,  -1.5, 1, 1,3_Eur,16026,19,17,EU,EU,pop36
15902,Saint-Malo,48.5,  -2.5, 1, 1,3_Eur,15902,10,17,EU,EU,pop37
15902,Saint-Cast,48.5,  -2.5, 1, 1,3_Eur,15902,10,17,EU,EU,pop38
15777,Bréhat,48.5,  -3.5, 1, 1,3_Eur,15777,19,16,EU,EU,pop39
15777,Perros-Guirec,48.5,  -3.5, 1, 1,3_Eur,15777,19,16,EU,EU,pop40
15777,Trébeurden,48.5,  -3.5, 1, 1,3_Eur,15777,19,16,EU,EU,pop41
15777,Carantec,48.5,  -3.5, 1, 1,3_Eur,15777,19,16,EU,EU,pop42
15777,Roscoff,48.5,  -3.5, 1, 1,3_Eur,15777,19,16,EU,EU,pop43
15652,Cléder,48.5,  -4.5, 1, 1,3_Eur,15652, 6,16,EU,EU,pop44
15652,Aber Wrac'h,48.5,  -4.5, 1, 1,3_Eur,15652, 6,16,EU,EU,pop45
15652,Plouzané,48.5,  -4.5, 1, 1,3_Eur,15652, 6,16,EU,EU,pop46
15652,Camaret,48.5,  -4.5, 1, 1,3_Eur,15652, 6,16,EU,EU,pop47
15778,Concarneau,47.5,  -3.5, 1, 1,3_Eur,15778,20,16,EU,EU,pop48
15778,Ploemeur,47.5,  -3.5, 1, 1,3_Eur,15778,20,16,EU,EU,pop49
15778,Quiberon,47.5,  -3.5, 1, 1,3_Eur,15778,20,16,EU,EU,pop50
16657,Thau (Sète),43.5,   3.5, 1, 0,3_Eur,16657,NA,NA,EU,EU,pop51
15157,La Coruña,43.5,  -8.5, 1, 1,3_Eur,15157,16,13,EU,EU,pop52
15159,Viana de Castelo (Montedor),41.5,  -8.5, 1, 1,3_Eur,15159,18,13,EU,EU,pop53
