14	1528	55																											
																													
ind	pop	C08		C24		D05		D10		D33		D34		D41		Q02		Q03		Q04		T13		T15		T29		T30	
MURO01	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO02	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO03	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO04	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO05	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO06	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO07	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO08	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO09	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO10	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO11	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO12	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO13	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO14	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO15	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO16	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO17	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO18	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO19	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO20	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO21	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO22	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO23	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO24	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO25	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	87	132	132	130	130	139	139	176	176	174	174	144	149
MURO26	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO27	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO28	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO29	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO30	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO31	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
MURO32	pop01	125	125	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	176	176	174	174	149	149
OSHI01	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	149	149
OSHI02	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	149	149
OSHI03	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	149	149
OSHI04	pop02	137	137	102	102	187	187	210	210	291	291	189	189	103	103	78	78	139	139	130	130	139	139	173	173	175	175	144	144
OSHI05	pop02	137	137	102	102	191	191	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	149	149
OSHI06	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	149	149
OSHI07	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	149	149
OSHI08	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	149	149
OSHI09	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	144	144
OSHI10	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	149	149
OSHI11	pop02	137	137	102	102	187	187	210	210	291	291	189	189	103	103	78	78	139	139	130	130	139	139	173	173	175	175	144	144
OSHI12	pop02	137	137	102	102	187	187	210	210	291	291	187	189	103	103	78	78	132	132	130	130	139	139	173	173	175	175	144	144
OSHI13	pop02	137	137	102	102	191	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	173	173	175	175	149	149
OSHI14	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	149	149
OSHI15	pop02	137	137	102	102	187	191	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	173	173	175	175	144	144
OSHI16	pop02	137	137	102	102	187	191	210	210	291	291	187	187	103	103	78	78	132	139	130	130	139	139	173	173	175	175	144	144
OSHI17	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	149	149
OSHI18	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	149	149
OSHI19	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	149	149
OSHI20	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	173	173	175	175	149	149
OSHI21	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	144	144
OSHI22	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	173	173	175	175	144	144
OSHI23	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	132	139	130	130	139	139	173	173	175	175	149	149
OSHI24	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	149	149
OSHI25	pop02	137	137	102	102	187	191	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	176	175	175	144	144
OSHI26	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	87	132	132	130	130	139	139	176	176	175	175	149	149
OSHI27	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	149	149
OSHI28	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	173	173	175	175	149	149
OSHI29	pop02	137	137	102	102	187	187	210	210	291	291	187	189	103	103	78	78	139	139	130	130	139	139	173	173	175	175	144	144
OSHI30	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	132	132	130	130	139	139	173	173	175	175	149	149
OSHI31	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	149	149
OSHI32	pop02	137	137	102	102	187	187	210	210	291	291	187	187	103	103	78	78	139	139	130	130	139	139	173	173	175	175	149	149
KASH01	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH02	pop03	137	137	99	99	187	187	212	212	289	289	189	189	103	103	78	78	139	139	138	138	136	136	173	173	175	175	144	144
KASH03	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH04	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH05	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH06	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH07	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
KASH08	pop03	137	137	102	102	187	187	212	212	289	289	189	189	103	103	87	87	139	139	138	138	136	136	173	173	175	175	144	144
